Absolute performance profile for SolverTime
Filter: within 0.102% of known optimal value and not failed
            SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
3.430480                   1             0        0              0           1            0
3.521146                   1             0        0              0           1            0
3.611812                   1             0        0              0           1            0
3.702478                   1             0        0              0           1            0
3.793144                   1             0        0              0           1            0
3.883810                   1             0        0              0           1            0
3.974476                   1             0        0              0           1            0
4.065142                   1             0        0              1           1            0
4.155808                   1             0        0              1           1            0
4.246474                   1             0        0              1           1            0
4.337140                   1             0        0              1           1            0
4.427806                   1             0        0              1           1            0
4.518472                   1             0        0              1           1            0
4.609138                   1             0        0              1           1            0
4.699804                   1             0        0              1           1            0
4.790470                   1             0        0              1           1            0
4.881136                   1             0        0              1           1            0
4.971802                   1             0        1              1           2            0
5.062468                   1             0        1              1           2            0
5.153134                   1             0        1              1           2            0
5.243800                   1             0        1              1           2            0
5.334466                   1             0        1              1           2            0
5.425132                   1             0        1              1           2            0
5.515798                   1             0        1              1           2            0
5.606464                   1             0        1              1           2            0
5.697130                   1             0        1              1           2            0
5.787796                   1             0        1              1           2            0
5.878462                   1             0        1              1           2            0
5.969128                   1             0        1              1           2            0
6.059794                   1             0        1              1           2            0
6.150460                   1             0        1              1           2            0
6.241126                   1             0        1              1           2            0
6.331792                   1             0        1              1           2            0
6.422458                   1             0        1              1           2            0
6.513124                   1             0        1              1           2            0
6.603790                   1             0        1              1           2            0
6.694456                   1             0        1              1           2            0
6.785122                   1             0        1              1           2            0
6.875788                   1             0        1              1           2            0
6.966454                   1             0        1              1           2            0
7.057121                   1             0        1              1           2            0
7.147787                   1             0        1              1           2            0
7.238453                   1             0        1              1           2            0
7.329119                   1             0        1              1           2            0
7.419785                   1             0        1              1           2            0
7.510451                   1             0        1              1           2            0
7.601117                   1             0        1              1           2            0
7.691783                   1             0        1              1           2            0
7.782449                   2             0        1              1           2            0
7.873115                   2             0        1              1           2            0
7.963781                   2             0        1              1           2            0
8.054447                   2             0        1              1           2            0
8.145113                   2             0        1              2           2            0
8.235779                   2             0        1              2           2            0
8.326445                   2             0        1              2           2            0
8.417111                   2             0        1              2           2            0
8.507777                   2             0        1              2           2            0
8.598443                   2             0        1              2           2            0
8.689109                   2             0        1              2           2            0
8.779775                   2             0        1              2           2            0
8.870441                   2             0        1              2           2            0
8.961107                   2             0        1              2           2            0
9.051773                   2             0        1              2           2            0
9.142439                   2             0        1              2           2            0
9.233105                   2             0        1              2           2            0
9.323771                   2             0        1              2           2            0
9.414437                   2             0        1              2           2            0
9.505103                   2             0        1              2           2            0
9.595769                   2             0        1              2           2            0
9.686435                   2             0        1              2           2            0
9.777101                   2             0        1              2           2            0
9.867767                   2             0        1              2           2            0
9.958433                   2             0        1              2           2            0
10.049099                  2             0        1              2           2            0
10.139765                  2             0        1              2           2            0
10.230431                  2             0        1              2           2            0
10.321097                  2             0        1              2           2            0
10.411763                  2             0        1              2           2            0
10.502429                  2             0        1              2           2            0
10.593095                  2             0        1              2           2            0
10.683761                  2             0        1              2           2            0
10.774427                  2             0        1              2           2            0
10.865093                  2             0        1              2           2            0
10.955759                  2             0        1              2           2            0
11.046425                  2             0        1              2           2            0
11.137091                  2             0        1              2           2            0
11.227757                  2             0        1              2           2            0
11.318423                  2             0        1              2           2            0
11.409089                  2             0        1              2           2            0
11.499755                  2             0        1              2           2            0
11.590421                  2             0        1              2           2            0
11.681087                  2             0        1              2           2            0
11.771753                  2             0        1              2           2            0
11.862419                  2             0        1              2           2            0
11.953086                  2             0        1              2           2            0
12.043752                  2             0        1              2           2            0
12.134418                  2             0        1              2           2            0
12.225084                  2             0        1              2           2            0
12.315750                  2             0        1              2           2            0
12.406416                  2             0        1              2           2            0
12.497082                  2             0        1              2           2            0
12.587748                  2             0        1              2           2            0
12.678414                  2             0        1              2           2            0
12.769080                  2             0        1              2           2            0
12.859746                  2             0        1              2           2            0
12.950412                  2             0        1              2           2            0
13.041078                  2             0        1              2           2            0
13.131744                  2             0        1              2           2            0
13.222410                  2             0        1              2           2            0
13.313076                  2             0        1              2           2            0
13.403742                  2             0        1              2           2            0
13.494408                  2             0        1              2           2            0
13.585074                  2             0        1              2           2            0
13.675740                  2             0        1              2           2            0
13.766406                  2             0        1              2           2            0
13.857072                  2             0        1              2           2            0
13.947738                  2             0        1              2           2            0
14.038404                  2             0        1              2           2            0
14.129070                  2             0        1              2           2            0
14.219736                  2             0        1              2           2            0
14.310402                  2             0        1              2           2            0
