Relative performance profile for SolverTime
Filter: no fail
             SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
1.000000                    5             3        6              7          16            0
1.000747                    5             3        6              7          16            0
1.001495                    5             3        6              7          16            0
1.002244                    5             3        6              7          16            0
1.002993                    5             3        6              7          16            0
1.003743                    5             3        6              7          16            0
1.004493                    5             3        6              7          16            0
1.005244                    5             3        6              7          16            0
1.005995                    5             3        6              7          16            0
1.006747                    5             3        6              7          16            0
1.007499                    5             3        6              7          16            0
1.008252                    5             3        6              7          16            0
1.009006                    5             3        6              7          16            0
1.009760                    5             3        6              7          16            0
1.010515                    5             3        6              7          16            0
1.011270                    5             3        6              7          16            0
1.012026                    5             3        6              7          16            0
1.012782                    5             3        6              7          16            0
1.013539                    5             3        6              7          16            0
1.014297                    5             3        6              7          16            0
1.015055                    5             3        6              7          16            0
1.015814                    5             3        6              7          16            0
1.016573                    5             3        6              7          16            0
1.017333                    5             3        6              7          16            0
1.018093                    5             3        6              7          16            0
1.018854                    5             3        6              7          16            0
1.019616                    5             3        6              7          16            0
1.020378                    5             3        6              7          16            0
1.021140                    5             3        6              7          16            0
1.021903                    5             3        6              7          16            0
1.022667                    5             3        6              7          16            0
1.023432                    5             3        6              7          16            0
1.024197                    5             3        6              7          16            0
1.024962                    5             3        6              7          16            0
1.025728                    5             3        6              7          16            0
1.026495                    5             3        6              7          16            0
1.027262                    5             3        6              7          16            0
1.028030                    5             3        6              7          16            0
1.028798                    5             3        6              7          16            0
1.029567                    5             3        6              7          16            0
1.030337                    5             3        6              7          16            0
1.031107                    5             3        6              7          16            0
1.031877                    5             3        6              7          16            0
1.032649                    5             3        6              7          16            0
1.033420                    5             3        6              7          16            0
1.034193                    5             3        6              7          16            0
1.034966                    5             3        6              7          16            0
1.035739                    5             3        6              7          16            0
1.036514                    5             3        6              7          16            0
1.037288                    5             3        6              7          16            0
1.038064                    5             3        6              7          16            0
1.038839                    5             3        6              7          16            0
1.039616                    5             3        6              7          16            0
1.040393                    5             3        6              7          16            0
1.041170                    5             3        6              7          16            0
1.041949                    5             3        6              7          16            0
1.042727                    5             3        6              7          16            0
1.043507                    5             3        6              7          16            0
1.044287                    5             3        6              7          16            0
1.045067                    5             3        6              7          16            0
1.045848                    5             3        6              7          16            0
1.046630                    5             3        6              7          16            0
1.047412                    5             3        6              7          16            0
1.048195                    5             3        6              7          16            0
1.048979                    5             3        6              7          16            0
1.049763                    5             3        6              7          16            0
1.050547                    5             3        6              7          16            0
1.051332                    5             3        6              7          16            0
1.052118                    5             3        6              7          16            0
1.052905                    5             3        6              7          16            0
1.053692                    5             3        6              7          16            0
1.054479                    5             3        6              7          16            0
1.055267                    5             3        6              7          16            0
1.056056                    5             3        6              7          16            0
1.056845                    5             3        6              7          16            0
1.057635                    5             3        6              7          16            0
1.058426                    5             3        6              7          16            0
1.059217                    5             3        6              7          16            0
1.060008                    5             3        6              7          16            0
1.060801                    5             3        6              7          16            0
1.061594                    5             3        6              7          16            0
1.062387                    5             3        6              7          16            0
1.063181                    5             3        6              7          16            0
1.063976                    5             3        6              7          16            0
1.064771                    5             3        6              7          16            0
1.065567                    5             3        6              7          16            0
1.066363                    5             3        6              7          16            0
1.067160                    5             3        6              7          16            0
1.067958                    5             3        6              7          16            0
1.068756                    5             3        6              7          16            0
1.069555                    5             3        6              7          16            0
1.070354                    5             3        6              7          16            0
1.071154                    5             3        6              7          16            0
1.071955                    5             3        6              7          16            0
1.072756                    5             3        6              7          16            0
1.073558                    5             3        6              7          16            0
1.074360                    5             3        6              7          16            0
1.075163                    5             3        6              7          16            0
1.075967                    5             3        6              7          16            0
1.076771                    5             3        6              7          16            0
1.077576                    5             3        6              7          16            0
1.078381                    5             3        6              7          16            0
1.079187                    5             3        6              7          16            0
1.079994                    5             3        6              7          16            0
1.080801                    5             3        6              7          16            0
1.081609                    5             3        6              7          16            0
1.082417                    5             3        6              7          16            0
1.083226                    5             3        6              7          16            0
1.084036                    5             3        6              7          16            0
1.084846                    5             3        6              7          16            0
1.085657                    5             3        6              7          16            0
1.086468                    5             3        6              8          16            0
1.087281                    5             3        6              8          16            0
1.088093                    5             3        6              8          16            0
1.088906                    5             3        6              8          16            0
1.089720                    5             3        6              8          16            0
1.090535                    5             3        6              8          16            0
1.091350                    5             3        6              8          16            0
1.092166                    5             3        6              8          16            0
1.092982                    5             3        6              8          16            0
1.093799                    5             3        6              8          16            0
1.094616                    5             3        6              8          16            0
1.095434                    5             3        6              8          16            0
1.096253                    5             3        6              8          16            0
1.097073                    5             3        6              8          16            0
1.097893                    5             3        6              8          16            0
1.098713                    5             3        6              8          16            0
1.099534                    5             3        6              8          16            0
1.100356                    5             3        6              8          16            0
1.101179                    5             3        6              8          16            0
1.102002                    5             3        6              8          16            0
1.102825                    5             3        6              8          16            0
1.103650                    5             3        6              8          16            0
1.104474                    5             3        6              8          16            0
1.105300                    5             3        6              8          16            0
1.106126                    5             3        6              8          16            0
1.106953                    5             3        6              8          16            0
1.107780                    5             3        6              8          16            0
1.108608                    5             3        6              8          16            0
1.109437                    5             3        6              8          16            0
1.110266                    5             3        6              8          16            0
1.111096                    5             3        6              8          16            0
1.111926                    5             3        6              8          16            0
1.112757                    5             3        6              8          16            0
1.113589                    5             3        6              8          16            0
1.114421                    5             3        6              8          16            0
1.115254                    5             3        6              8          16            0
1.116088                    5             3        6              8          16            0
1.116922                    5             3        6              8          16            0
1.117757                    5             3        6              8          16            0
1.118592                    5             3        6              8          16            0
1.119428                    5             3        6              8          16            0
1.120265                    5             3        6              8          16            0
1.121102                    5             3        6              8          16            0
1.121940                    5             3        6              8          16            0
1.122779                    5             3        6              8          16            0
1.123618                    5             3        6              8          16            0
1.124458                    5             3        6              8          16            0
1.125298                    5             3        6              8          16            0
1.126139                    5             3        6              8          16            0
1.126981                    5             3        6              8          16            0
1.127823                    5             3        6              8          16            0
1.128666                    5             3        6              8          16            0
1.129510                    5             3        6              8          16            0
1.130354                    5             3        6              8          16            0
1.131199                    5             3        6              8          16            0
1.132044                    5             3        6              8          16            0
1.132891                    5             3        6              8          16            0
1.133737                    5             3        6              8          16            0
1.134585                    5             3        6              8          16            0
1.135433                    5             3        6              8          16            0
1.136281                    5             3        6              8          16            0
1.137131                    5             3        6              8          16            0
1.137980                    5             3        6              8          16            0
1.138831                    5             3        6              8          16            0
1.139682                    5             3        6              8          16            0
1.140534                    5             3        6              8          16            0
1.141387                    5             3        6              8          16            0
1.142240                    5             3        6              8          16            0
1.143093                    5             3        6              8          16            0
1.143948                    5             3        6              8          16            0
1.144803                    5             3        6              8          16            0
1.145658                    5             3        6              8          16            0
1.146515                    5             3        6              8          16            0
1.147372                    5             3        6              8          16            0
1.148229                    5             3        6              8          16            0
1.149087                    5             3        6              8          16            0
1.149946                    5             3        6              8          16            0
1.150806                    5             3        6              8          16            0
1.151666                    5             3        6              8          16            0
1.152527                    5             3        6              8          16            0
1.153388                    5             3        6              8          16            0
1.154250                    5             3        6              8          16            0
1.155113                    5             3        6              8          16            0
1.155976                    5             3        6              8          16            0
1.156840                    5             3        6              8          16            0
1.157705                    5             3        6              8          16            0
1.158570                    5             3        6              8          16            0
1.159436                    5             3        6              8          16            0
1.160303                    5             3        6              8          16            0
1.161170                    5             3        6              8          16            0
1.162038                    5             3        6              8          16            0
1.162906                    5             3        6              8          16            0
1.163775                    5             3        6              8          16            0
1.164645                    5             3        6              8          16            0
1.165516                    5             3        6              8          16            0
1.166387                    5             3        6              8          16            0
1.167259                    5             3        6              8          16            0
1.168131                    5             3        6              8          16            0
1.169004                    5             3        6              8          16            0
1.169878                    5             3        6              8          16            0
1.170752                    5             3        6              8          16            0
1.171627                    5             3        6              8          16            0
1.172503                    5             3        6              8          16            0
1.173379                    5             3        6              8          16            0
1.174256                    5             3        6              8          16            0
1.175134                    5             3        6              8          16            0
1.176012                    5             3        6              8          16            0
1.176891                    5             3        6              8          16            0
1.177771                    5             3        6              8          16            0
1.178651                    5             3        6              8          16            0
1.179532                    5             3        6              8          16            0
1.180414                    5             3        6              9          16            0
1.181296                    5             3        6              9          16            0
1.182179                    5             3        6              9          16            0
1.183063                    5             3        6              9          16            0
1.183947                    5             3        6              9          16            0
1.184832                    5             3        6              9          16            0
1.185717                    5             3        6              9          16            0
1.186604                    5             3        6              9          16            0
1.187490                    5             3        6              9          16            0
1.188378                    5             3        6              9          16            0
1.189266                    5             3        6              9          16            0
1.190155                    5             3        6              9          16            0
1.191045                    5             3        6              9          16            0
1.191935                    5             3        6              9          16            0
1.192826                    5             3        6              9          16            0
1.193717                    5             3        6              9          16            0
1.194609                    5             3        6              9          16            0
1.195502                    5             3        6              9          16            0
1.196396                    5             3        6              9          16            0
1.197290                    5             3        6              9          16            0
1.198185                    5             3        6              9          16            0
1.199080                    5             3        6              9          16            0
1.199977                    5             3        6              9          16            0
1.200874                    5             3        6              9          16            0
1.201771                    5             3        6              9          16            0
1.202669                    5             3        6              9          16            0
1.203568                    5             3        6              9          16            0
1.204468                    5             3        6              9          16            0
1.205368                    5             3        6              9          16            0
1.206269                    5             3        6              9          16            0
1.207171                    5             3        6              9          16            0
1.208073                    5             3        6              9          16            0
1.208976                    5             3        6              9          16            0
1.209879                    5             3        6              9          16            0
1.210784                    5             3        6              9          16            0
1.211689                    5             3        6              9          16            0
1.212594                    5             3        6              9          16            0
1.213501                    5             3        6              9          16            0
1.214408                    5             3        6              9          16            0
1.215315                    5             3        6              9          16            0
1.216224                    5             3        6              9          16            0
1.217133                    5             3        6              9          16            0
1.218042                    5             3        6              9          16            0
1.218953                    5             3        6              9          16            0
1.219864                    5             3        6              9          16            0
1.220776                    5             3        6              9          16            0
1.221688                    5             3        6              9          16            0
1.222601                    5             3        6              9          16            0
1.223515                    5             3        6              9          16            0
1.224429                    5             3        6              9          16            0
1.225345                    5             3        6              9          16            0
