Relative performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
           SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
1.000000                  5             0        1              0           6            0
1.000458                  5             0        1              0           6            0
1.000916                  5             0        1              0           6            0
1.001374                  5             0        1              0           6            0
1.001832                  5             0        1              0           6            0
1.002290                  5             0        1              0           6            0
1.002749                  5             0        1              0           6            0
1.003208                  5             0        1              0           6            0
1.003667                  5             0        1              0           6            0
1.004127                  5             0        1              0           6            0
1.004586                  5             0        1              0           6            0
1.005046                  5             0        1              0           6            0
1.005506                  5             0        1              0           6            0
1.005966                  5             0        1              0           6            0
1.006426                  5             0        1              0           6            0
1.006887                  5             0        1              0           6            0
1.007348                  5             0        1              0           6            0
1.007809                  5             0        1              0           6            0
1.008270                  5             0        1              0           6            0
1.008732                  5             0        1              0           6            0
1.009193                  5             0        1              0           6            0
1.009655                  5             0        1              0           6            0
1.010117                  5             0        1              0           6            0
1.010579                  5             0        1              0           6            0
1.011042                  5             0        1              0           6            0
1.011505                  5             0        1              0           6            0
1.011968                  5             0        1              0           6            0
1.012431                  5             0        1              0           6            0
1.012894                  5             0        1              0           6            0
1.013358                  5             0        1              0           6            0
1.013821                  5             0        1              0           6            0
1.014285                  5             0        1              0           6            0
1.014750                  5             0        1              0           6            0
1.015214                  5             0        1              0           6            0
1.015679                  5             0        1              0           6            0
1.016143                  5             0        1              0           6            0
1.016609                  5             0        1              0           6            0
1.017074                  5             0        1              0           6            0
1.017539                  5             0        1              0           6            0
1.018005                  5             0        1              0           6            0
1.018471                  5             0        1              0           6            0
1.018937                  5             0        1              0           6            0
1.019403                  5             0        1              0           6            0
1.019870                  5             0        1              0           6            0
1.020337                  5             0        1              0           6            0
1.020804                  5             0        1              0           6            0
1.021271                  5             0        1              0           6            0
1.021738                  5             0        1              0           6            0
1.022206                  5             0        1              0           6            0
1.022674                  5             0        1              0           6            0
1.023142                  5             0        1              0           6            0
1.023610                  5             0        1              0           6            0
1.024078                  5             0        1              0           6            0
1.024547                  5             0        1              0           6            0
1.025016                  5             0        1              0           6            0
1.025485                  5             0        1              0           6            0
1.025954                  5             0        1              0           6            0
1.026424                  5             0        1              0           6            0
1.026894                  5             0        1              0           6            0
1.027364                  5             0        1              0           6            0
1.027834                  5             0        1              0           6            0
1.028304                  5             0        1              0           6            0
1.028775                  5             0        1              0           6            0
1.029246                  5             0        1              0           6            0
1.029717                  5             0        1              0           6            0
1.030188                  5             0        1              0           6            0
1.030660                  5             0        1              0           6            0
