Relative performance profile for SolverTime
Filter: gap <= 1.0% and not failed
           SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
1.000000                  2             3        5              0          10            0
1.000453                  2             3        5              0          10            0
1.000906                  2             3        5              0          10            0
1.001360                  2             3        5              0          10            0
1.001813                  2             3        5              0          10            0
1.002267                  2             3        5              0          10            0
1.002721                  2             3        5              0          10            0
1.003176                  2             3        5              0          10            0
1.003630                  2             3        5              0          10            0
1.004085                  2             3        5              0          10            0
1.004540                  2             3        5              0          10            0
1.004995                  2             3        5              0          10            0
1.005450                  2             3        5              0          10            0
1.005906                  2             3        5              0          10            0
1.006361                  2             3        5              0          10            0
1.006817                  2             3        5              0          10            0
1.007273                  2             3        5              0          10            0
1.007730                  2             3        5              0          10            0
1.008186                  2             3        5              0          10            0
1.008643                  2             3        5              0          10            0
1.009100                  2             3        5              0          10            0
1.009557                  2             3        5              0          10            0
1.010014                  2             3        5              0          10            0
1.010472                  2             3        5              0          10            0
1.010930                  2             3        5              0          10            0
1.011388                  2             3        5              0          10            0
1.011846                  2             3        5              0          10            0
1.012304                  2             3        5              0          10            0
1.012763                  2             3        5              0          10            0
1.013222                  2             3        5              0          10            0
1.013681                  2             3        5              0          10            0
1.014140                  2             3        5              0          10            0
1.014600                  2             3        5              0          10            0
1.015059                  2             3        5              0          10            0
1.015519                  2             3        5              0          10            0
1.015979                  2             3        5              0          10            0
1.016439                  2             3        5              0          10            0
1.016900                  2             3        5              0          10            0
1.017361                  2             3        5              0          10            0
1.017821                  2             3        5              0          10            0
1.018283                  2             3        5              0          10            0
1.018744                  2             3        5              0          10            0
1.019205                  2             3        5              0          10            0
1.019667                  2             3        5              0          10            0
1.020129                  2             3        5              0          10            0
1.020591                  2             3        5              0          10            0
1.021054                  2             3        5              0          10            0
1.021516                  2             3        5              0          10            0
1.021979                  2             3        5              0          10            0
1.022442                  2             3        5              0          10            0
1.022905                  2             3        5              0          10            0
1.023369                  2             3        5              0          10            0
1.023832                  2             3        5              0          10            0
1.024296                  2             3        5              0          10            0
1.024760                  2             3        5              0          10            0
1.025224                  2             3        5              0          10            0
1.025689                  2             3        5              0          10            0
1.026154                  2             3        5              0          10            0
1.026618                  2             3        5              0          10            0
1.027084                  2             3        5              0          10            0
1.027549                  2             3        5              0          10            0
1.028014                  2             3        5              0          10            0
1.028480                  2             3        5              0          10            0
1.028946                  2             3        5              0          10            0
1.029412                  2             3        5              0          10            0
1.029879                  2             3        5              0          10            0
1.030345                  2             3        5              0          10            0
1.030812                  2             3        5              0          10            0
1.031279                  2             3        5              0          10            0
1.031746                  2             3        5              0          10            0
1.032214                  2             3        5              0          10            0
1.032681                  2             3        5              0          10            0
1.033149                  2             3        5              0          10            0
1.033617                  2             3        5              0          10            0
1.034085                  2             3        5              0          10            0
1.034554                  2             3        5              0          10            0
1.035023                  2             3        5              0          10            0
1.035491                  2             3        5              0          10            0
1.035961                  2             3        5              0          10            0
1.036430                  2             3        5              0          10            0
1.036899                  2             3        5              0          10            0
1.037369                  2             3        5              0          10            0
1.037839                  2             3        5              0          10            0
1.038309                  2             3        5              0          10            0
1.038780                  2             3        5              0          10            0
1.039250                  2             3        5              0          10            0
1.039721                  2             3        5              0          10            0
1.040192                  2             3        5              0          10            0
1.040663                  2             3        5              0          10            0
1.041135                  2             3        5              0          10            0
1.041607                  2             3        5              0          10            0
1.042078                  2             3        5              0          10            0
1.042551                  2             3        5              0          10            0
1.043023                  2             3        5              0          10            0
1.043495                  2             3        5              0          10            0
1.043968                  2             3        5              0          10            0
1.044441                  2             3        5              0          10            0
1.044914                  2             3        5              0          10            0
1.045388                  2             3        5              0          10            0
1.045861                  2             3        5              0          10            0
1.046335                  2             3        5              0          10            0
1.046809                  2             3        5              0          10            0
1.047283                  2             3        5              0          10            0
1.047758                  2             3        5              0          10            0
1.048233                  2             3        5              0          10            0
1.048707                  2             3        5              0          10            0
1.049183                  2             3        5              0          10            0
1.049658                  2             3        5              0          10            0
1.050133                  2             3        5              0          10            0
1.050609                  2             3        5              0          10            0
1.051085                  2             3        5              0          10            0
1.051561                  2             3        5              0          10            0
1.052038                  2             3        5              0          10            0
1.052514                  2             3        5              0          10            0
1.052991                  2             3        5              0          10            0
1.053468                  2             3        5              0          10            0
1.053945                  2             3        5              0          10            0
1.054423                  2             3        5              0          10            0
1.054901                  2             3        5              0          10            0
1.055379                  2             3        5              0          10            0
1.055857                  2             3        5              0          10            0
1.056335                  2             3        5              0          10            0
1.056814                  2             3        5              0          10            0
1.057292                  2             3        5              0          10            0
1.057771                  2             3        5              0          10            0
1.058251                  2             3        5              0          10            0
1.058730                  2             3        5              0          10            0
1.059210                  2             3        5              0          10            0
1.059689                  2             3        5              0          10            0
1.060170                  2             3        5              0          10            0
1.060650                  2             3        5              0          10            0
1.061130                  2             3        5              0          10            0
1.061611                  2             3        5              0          10            0
1.062092                  2             3        5              0          10            0
1.062573                  2             3        5              0          10            0
1.063055                  2             3        5              0          10            0
1.063536                  2             3        5              0          10            0
