Relative performance profile for NumberOfIterations
Filter: gap <= 0.102% and not failed
              SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
1.000000e+00                 3             2        7              3           9            0
1.001550e+00                 3             2        7              3           9            0
1.003103e+00                 3             2        7              3           9            0
1.004657e+00                 3             2        7              3           9            0
1.006215e+00                 3             2        7              3           9            0
1.007774e+00                 3             2        7              3           9            0
1.009336e+00                 3             2        7              3           9            0
1.010901e+00                 3             2        7              3           9            0
1.012468e+00                 3             2        7              3           9            0
1.014037e+00                 3             2        7              3           9            0
1.015609e+00                 3             2        7              3           9            0
1.017183e+00                 3             2        7              3           9            0
1.018760e+00                 3             2        7              3           9            0
1.020339e+00                 3             2        7              3           9            0
1.021921e+00                 3             2        7              3           9            0
1.023505e+00                 3             2        7              3           9            0
1.025091e+00                 3             2        7              3           9            0
1.026680e+00                 3             2        7              3           9            0
1.028272e+00                 3             2        7              3           9            0
1.029866e+00                 3             2        7              3           9            0
1.031462e+00                 3             2        7              3           9            0
1.033061e+00                 3             2        7              3           9            0
1.034662e+00                 3             2        7              3           9            0
1.036266e+00                 3             2        7              3           9            0
1.037872e+00                 3             2        7              3           9            0
1.039481e+00                 3             2        7              3           9            0
1.041092e+00                 3             2        7              3           9            0
1.042706e+00                 3             2        7              3           9            0
1.044322e+00                 3             2        7              3           9            0
1.045941e+00                 3             2        7              3           9            0
1.047562e+00                 3             2        7              3           9            0
1.049186e+00                 3             2        7              3           9            0
1.050812e+00                 3             2        7              3           9            0
1.052441e+00                 3             2        7              3           9            0
1.054073e+00                 3             2        7              3           9            0
1.055707e+00                 3             2        7              3           9            0
1.057343e+00                 3             2        7              3           9            0
1.058982e+00                 3             2        7              3           9            0
1.060623e+00                 3             2        7              3           9            0
1.062267e+00                 3             2        7              3           9            0
1.063914e+00                 3             2        7              3           9            0
1.065563e+00                 3             2        7              3           9            0
1.067215e+00                 3             2        7              3           9            0
1.068869e+00                 3             2        7              3           9            0
1.070526e+00                 3             2        7              3           9            0
1.072185e+00                 3             2        7              3           9            0
1.073847e+00                 3             2        7              3           9            0
1.075512e+00                 3             2        7              3           9            0
1.077179e+00                 3             2        7              3           9            0
1.078849e+00                 3             2        7              3           9            0
1.080521e+00                 3             2        7              3           9            0
1.082196e+00                 3             2        7              3           9            0
1.083873e+00                 3             2        7              3           9            0
1.085553e+00                 3             2        7              3           9            0
1.087236e+00                 3             2        7              3           9            0
1.088921e+00                 3             2        7              3           9            0
1.090609e+00                 3             2        7              3           9            0
1.092300e+00                 3             2        7              3           9            0
1.093993e+00                 3             2        7              3           9            0
1.095689e+00                 3             2        7              3           9            0
1.097387e+00                 3             2        7              3           9            0
1.099088e+00                 3             2        7              3           9            0
1.100792e+00                 3             2        7              3           9            0
1.102498e+00                 3             2        7              3           9            0
1.104207e+00                 3             2        7              3           9            0
1.105918e+00                 3             2        7              3           9            0
1.107633e+00                 3             2        7              3           9            0
1.109350e+00                 3             2        7              3           9            0
1.111069e+00                 3             2        7              3           9            0
1.112791e+00                 3             2        7              3           9            0
1.114516e+00                 3             2        7              3           9            0
1.116244e+00                 3             2        7              3           9            0
1.117974e+00                 3             2        7              3           9            0
