Absolute performance profile for PrimalGap
Filter: no fail
          SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
0.000000                 3             6        6              6           8            3
0.000200                 3            10        9              6          12            3
0.000400                 3            10        9              6          12            3
0.000600                 3            10        9              6          12            3
0.000800                 3            11        9              6          13            3
0.001000                 3            11       10              6          13            3
0.001200                 3            11       10              6          13            3
0.001400                 3            11       10              6          13            3
0.001600                 3            11       10              6          13            3
0.001800                 3            11       11              6          13            3
0.002000                 3            11       11              6          13            3
0.002200                 3            11       11              6          13            3
0.002400                 3            11       11              6          13            3
0.002600                 3            11       11              6          13            3
0.002800                 3            11       11              6          13            3
0.003000                 3            11       12              6          13            3
0.003200                 3            11       12              6          13            3
0.003400                 3            11       12              7          13            3
0.003600                 3            11       12              7          13            3
0.003800                 3            11       12              7          13            3
0.004000                 3            11       12              7          13            3
0.004200                 3            11       12              7          13            3
0.004400                 3            11       12              7          13            3
0.004600                 3            11       12              7          13            3
0.004800                 3            11       12              7          13            3
0.005001                 3            11       12              7          13            3
0.005201                 3            11       12              7          13            3
0.005401                 3            11       12              7          13            3
0.005601                 3            11       12              7          13            3
0.005801                 3            11       12              7          13            3
0.006001                 3            11       12              7          13            3
0.006201                 3            11       12              7          13            3
0.006401                 3            11       12              7          13            3
0.006601                 3            11       12              7          13            3
0.006801                 3            11       12              7          13            3
0.007001                 3            11       12              7          13            3
0.007201                 3            11       12              7          13            3
0.007401                 3            11       12              7          13            3
0.007601                 3            11       12              7          13            3
0.007801                 3            11       12              7          13            3
0.008001                 3            11       12              7          13            3
0.008201                 3            11       12              7          13            3
0.008401                 3            11       12              7          13            3
0.008601                 3            11       12              7          13            3
0.008801                 3            11       12              7          13            3
0.009001                 3            11       12              7          13            3
0.009201                 3            11       12              7          13            3
0.009401                 3            11       12              7          13            3
0.009601                 3            11       12              7          13            3
0.009801                 3            11       12              7          13            3
0.010001                 3            11       12              7          13            3
0.010201                 3            11       12              7          13            3
0.010401                 3            11       12              7          13            3
0.010601                 3            11       12              7          13            3
0.010801                 3            11       12              7          13            3
0.011001                 3            11       12              7          13            3
0.011201                 3            11       12              7          13            3
0.011401                 3            11       12              7          13            3
0.011601                 3            11       12              7          13            3
0.011801                 3            11       12              7          13            3
0.012001                 3            11       12              7          13            3
0.012201                 3            11       12              7          13            3
0.012401                 3            11       12              7          13            3
0.012601                 3            11       12              7          13            3
0.012801                 3            11       12              7          13            3
0.013001                 3            11       12              7          13            3
0.013201                 3            11       12              7          13            3
0.013401                 3            11       12              7          13            3
0.013601                 3            11       12              7          13            3
0.013801                 3            11       12              7          13            3
0.014001                 3            11       12              7          13            3
0.014201                 3            11       12              7          13            3
0.014401                 3            11       12              7          13            3
0.014601                 3            11       12              7          13            3
0.014801                 3            11       12              7          13            3
0.015002                 3            11       12              7          13            3
0.015202                 3            11       12              7          13            3
0.015402                 3            11       12              7          13            3
0.015602                 3            11       12              7          13            3
0.015802                 3            11       12              7          13            3
0.016002                 3            11       12              7          13            3
0.016202                 3            11       12              7          13            3
0.016402                 3            11       12              7          13            3
0.016602                 3            11       12              7          13            3
0.016802                 3            11       12              7          13            3
0.017002                 3            11       12              7          13            3
0.017202                 3            12       12              7          14            3
0.017402                 3            12       12              7          14            3
0.017602                 3            12       12              7          14            3
