                          count         mean          std          min  \
Direction                   326     0.576687     0.818221           -1   
NumberOfDiscreteVariables   326      167.926      527.011            1   
NumberOfEquations           326      1821.43      6082.87            1   
NumberOfNonZeros            326      9762.35      37000.4            3   
NumberOfNonlinearNonZeros   326      1715.32       9256.6            1   
NumberOfVariables           326      958.856       2841.1            3   
KnownPrimalBound            326       695490  6.22296e+06      -162735   
KnownDualBound              326       678481  6.18729e+06      -164097   
JulianDate                 2781      43947.5       131.26      43838.5   
TerminationStatus          2781     0.487594     0.933937            0   
PrimalBound                2666          NaN          NaN         -inf   
DualBound                  2781          NaN          NaN         -inf   
SolverTime                 2762      301.229      396.738            0   
NumberOfIterations         2740  1.91057e+06  5.51051e+07 -2.14747e+09   
NumberOfDomainViolations   2271      83252.2  1.76728e+06            0   
NumberOfNodes              2762       116705   1.3566e+06            0   
Fail                       2934          NaN          NaN          NaN   
FailReason                 2934          NaN          NaN          NaN   
Gap                        2723          inf          NaN  -0.00560619   
PrimalGap                  1971          inf          NaN  -0.00060288   
DualGap                    1971          inf          NaN     -4.89181   

                                25%          50%       75%          max  
Direction                         1            1         1            1  
NumberOfDiscreteVariables        24           73       128         5152  
NumberOfEquations                23          303    2048.5        77777  
NumberOfNonZeros                278         1165    7930.5       502001  
NumberOfNonlinearNonZeros        50          135     930.5       118496  
NumberOfVariables                77          183    963.25        35371  
KnownPrimalBound           0.252352      25.7671   874.472  1.01567e+08  
KnownDualBound             0.252352      25.7671   872.472  1.02377e+08  
JulianDate                  43845.6      43852.9   44123.5      44127.6  
TerminationStatus                 0            0         1            7  
PrimalBound                 1.53642      68.0097   5936.15          inf  
DualBound                         0         16.3       459          inf  
SolverTime                  0.97535      19.5507       900      1011.05  
NumberOfIterations                0            4   44739.2  1.85239e+09  
NumberOfDomainViolations          0            0         0  4.52055e+07  
NumberOfNodes                     0           30   2841.25  3.90528e+07  
Fail                            NaN          NaN       NaN          NaN  
FailReason                      NaN          NaN       NaN          NaN  
Gap                               0     0.001001    1.2022          inf  
PrimalGap                         0            0  0.104499          inf  
DualGap                           0  0.000962361  0.684918          inf  
