                            Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
4stufen                           1.0                       48.0               99.0             319.0                       87.0              150.0      1.163297e+05    1.061338e+05  False           
autocorr_bern20-03                1.0                       20.0                1.0              21.0                       20.0               21.0     -7.200000e+01   -7.200000e+01  False           
autocorr_bern20-05                1.0                       20.0                1.0              21.0                       20.0               21.0     -4.160000e+02   -4.160000e+02  False           
autocorr_bern20-10                1.0                       20.0                1.0              21.0                       20.0               21.0     -2.936000e+03   -2.936000e+03  False           
autocorr_bern20-15                1.0                       20.0                1.0              21.0                       20.0               21.0     -5.960000e+03   -5.960000e+03  False           
autocorr_bern25-03                1.0                       25.0                1.0              26.0                       25.0               26.0     -9.200000e+01   -9.200000e+01  False           
autocorr_bern25-06                1.0                       25.0                1.0              26.0                       25.0               26.0     -9.600000e+02   -9.600000e+02  False           
autocorr_bern25-13                1.0                       25.0                1.0              26.0                       25.0               26.0     -8.148000e+03   -8.148000e+03  False           
autocorr_bern30-04                1.0                       30.0                1.0              31.0                       30.0               31.0     -3.240000e+02   -3.240000e+02  False           
autocorr_bern30-08                1.0                       30.0                1.0              31.0                       30.0               31.0     -2.952000e+03   -3.220000e+03  False           
autocorr_bern35-04                1.0                       35.0                1.0              36.0                       35.0               36.0     -3.840000e+02   -3.840000e+02  False           
autocorr_bern40-05                1.0                       40.0                1.0              41.0                       40.0               41.0     -9.360000e+02   -1.021000e+03  False           
batch0812_nc                      1.0                       36.0              206.0             473.0                      232.0               77.0      2.687027e+06    2.687027e+06  False           
batch_nc                          1.0                       12.0               68.0             161.0                       82.0               35.0      2.855065e+05    2.855065e+05  False           
bchoco05                         -1.0                        5.0              104.0             336.0                       92.0               91.0      9.519030e-01    9.927049e-01  False           
bchoco06                         -1.0                        6.0              135.0             458.0                      148.0              119.0      9.627764e-01    9.991427e-01  False           
bchoco07                         -1.0                        7.0              154.0             539.0                      183.0              135.0      9.629924e-01    9.962795e-01  False           
blend029                         -1.0                       36.0              214.0             543.0                       64.0              103.0      1.335940e+01    1.335940e+01  False           
blend146                         -1.0                       87.0              625.0            1722.0                      256.0              223.0      4.529657e+01    4.604289e+01  False           
blend480                         -1.0                      124.0              885.0            2469.0                      376.0              313.0      9.226600e+00    9.226610e+00  False           
blend531                         -1.0                      104.0              737.0            2107.0                      358.0              273.0      2.003900e+01    2.055328e+01  False           
blend721                         -1.0                       87.0              628.0            1766.0                      256.0              223.0      1.352680e+01    1.352680e+01  False           
blend852                         -1.0                      120.0              861.0            2413.0                      376.0              305.0      5.396270e+01    5.396270e+01  False           
carton7                           1.0                      256.0              688.0            3980.0                      678.0              329.0      1.917295e+02    1.917295e+02  False           
casctanks                         1.0                       40.0              518.0            1606.0                      514.0              501.0      9.163479e+00    9.044167e+00  False           
cecil_13                          1.0                      162.0              899.0            2812.0                      360.0              841.0     -1.156565e+05   -1.156565e+05  False           
chp_shorttermplan1a               1.0                      144.0             2069.0            6119.0                      576.0             1009.0      2.148424e+02    2.148391e+02  False           
chp_shorttermplan1b               1.0                      288.0             3851.0           11427.0                     1152.0             1681.0      2.541370e+02    2.466409e+02  False           
chp_shorttermplan2a               1.0                      240.0             3897.0           10161.0                     1152.0             1585.0      2.458004e+05    2.457998e+05  False           
chp_shorttermplan2b               1.0                      192.0             2553.0            7673.0                     1440.0             1393.0     -1.627352e+05   -1.640968e+05  False           
chp_shorttermplan2d               1.0                      528.0             6839.0           19601.0                     2784.0             3121.0      4.893821e+05    4.479428e+05  False           
crudeoil_lee1_05                 -1.0                       40.0             1241.0            4787.0                      640.0              536.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_06                 -1.0                       48.0             1504.0            6335.0                      768.0              643.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_07                 -1.0                       56.0             1777.0            8125.0                      896.0              750.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_08                 -1.0                       64.0             2060.0           10177.0                     1024.0              857.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_09                 -1.0                       72.0             2353.0           12511.0                     1152.0              964.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_10                 -1.0                       80.0             2656.0           15147.0                     1280.0             1071.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee2_05                 -1.0                       70.0             2582.0           11074.0                     1680.0             1156.0      9.616988e+01    9.616988e+01  False           
crudeoil_lee2_06                 -1.0                       84.0             3118.0           14545.0                     2016.0             1387.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_07                 -1.0                       98.0             3671.0           18520.0                     2352.0             1618.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_08                 -1.0                      112.0             4241.0           23037.0                     2688.0             1849.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_09                 -1.0                      126.0             4828.0           28134.0                     3024.0             2080.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_10                 -1.0                      140.0             5432.0           33849.0                     3360.0             2311.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee3_05                 -1.0                       70.0             2787.0           11959.0                     1960.0             1281.0      8.544891e+01    8.544891e+01  False           
crudeoil_lee3_06                 -1.0                       84.0             3360.0           15691.0                     2352.0             1537.0      8.544891e+01    8.544891e+01  False           
crudeoil_lee3_07                 -1.0                       98.0             3950.0           19955.0                     2744.0             1793.0      8.544891e+01    8.544891e+01  False           
crudeoil_lee3_08                 -1.0                      112.0             4557.0           24789.0                     3136.0             2049.0      8.544891e+01    8.553645e+01  False           
crudeoil_lee3_09                 -1.0                      126.0             5181.0           30231.0                     3528.0             2305.0      8.544891e+01    8.625000e+01  False           
crudeoil_lee3_10                 -1.0                      140.0             5822.0           36319.0                     3920.0             2561.0      8.544891e+01    8.643333e+01  False           
crudeoil_lee4_05                 -1.0                       95.0             4242.0           17809.0                     3040.0             1956.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_06                 -1.0                      114.0             5094.0           23221.0                     3648.0             2347.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_07                 -1.0                      133.0             5966.0           29355.0                     4256.0             2738.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_08                 -1.0                      152.0             6858.0           36258.0                     4864.0             3129.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_09                 -1.0                      171.0             7770.0           43977.0                     5472.0             3520.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_10                 -1.0                      190.0             8702.0           52559.0                     6080.0             3911.0      1.325476e+02    1.325476e+02  False           
crudeoil_li01                    -1.0                       48.0              696.0            2022.0                      112.0              345.0      5.122565e+03    5.175851e+03  False           
crudeoil_li02                    -1.0                      105.0             5005.0           15763.0                      108.0             1298.0      1.015674e+08    1.023769e+08  False           
crudeoil_li03                    -1.0                      116.0             2443.0            8169.0                      384.0              965.0      3.483817e+03    3.543738e+03  False           
crudeoil_li05                    -1.0                      116.0             1917.0            6107.0                      384.0              941.0      3.129841e+03    3.354220e+03  False           
crudeoil_li06                    -1.0                      116.0             2437.0            8139.0                      384.0              965.0      3.355000e+03    3.355007e+03  False           
crudeoil_li11                    -1.0                      132.0             3506.0           11630.0                      384.0             1178.0      4.686793e+03    4.735590e+03  False           
crudeoil_li21                    -1.0                      160.0             4682.0           19034.0                      384.0             1349.0      4.799576e+03    4.875846e+03  False           
crudeoil_pooling_ct2             -1.0                      108.0              733.0            2524.0                      140.0              404.0      1.024622e+04    1.025536e+04  False           
crudeoil_pooling_ct4             -1.0                      138.0              925.0            3211.0                      190.0              534.0      1.325826e+04    1.364630e+04  False           
crudeoil_pooling_dt1              1.0                      916.0             5779.0           25884.0                     1140.0             3713.0      2.095853e+05    2.095643e+05  False           
