Absolute performance profile for SolverTime
Filter: no fail
            couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.005000               6            0        0       0             9            0          53        4            0          53            0
0.096009              24           19       38      30            26            7          54       19           32          70            5
0.187017              29           49       49      34            36           25          54       24           62          87            7
0.278026              32           64       52      45            39           32          54       29           76         106            7
0.369034              36           73       56      58            41           40          54       36           82         123            7
0.460043              37           79       62      70            42           43          54       41          101         140            8
0.551052              37           83       67      75            45           45          54       46          111         149            8
0.642060              38           90       71      77            50           46          54       46          122         155            9
0.733069              39           97       72      79            51           51          54       48          128         159           11
0.824077              44           98       73      79            54           52          54       48          130         161           11
0.915086              45          101       73      83            60           55          54       50          134         166           11
1.006095              46          102       75      85            61           57          71       51          135         170           12
1.097103              47          103       77      86            63           59          76       51          138         173           12
1.188112              48          106       79      88            64           62          76       52          144         180           13
1.279120              51          108       79      88            65           64          76       53          146         180           13
1.370129              52          108       81      92            66           65          76       53          149         184           13
1.461138              52          111       84      93            68           65          76       54          153         185           14
1.552146              52          114       87      94            69           66          76       54          155         186           15
1.643155              53          115       88      96            71           68          76       55          158         190           15
1.734163              53          116       90      98            73           69          76       55          161         192           15
1.825172              53          117       90     102            75           69          76       55          163         197           15
1.916181              54          120       92     103            76           71          76       56          164         198           15
2.007189              55          122       92     104            77           72          82       57          165         199           16
2.098198              56          122       93     104            77           74          85       58          165         199           17
2.189206              56          123       95     104            77           75          85       59          169         201           17
2.280215              59          126       95     105            77           75          85       59          170         204           17
2.371224              59          126       96     105            77           75          85       59          172         204           17
2.462232              59          127       97     105            77           76          85       59          174         204           17
2.553241              59          131       98     106            78           76          85       60          176         205           17
2.644249              59          134       99     108            80           76          85       62          178         207           17
2.735258              59          135      100     108            81           76          85       64          178         207           17
2.826267              60          136      100     108            81           77          85       64          178         208           17
2.917275              60          137      101     108            81           77          85       64          178         208           17
3.008284              60          137      101     108            81           78          85       65          182         211           17
3.099292              60          137      101     108            82           78          86       65          182         211           17
3.190301              60          138      102     109            83           78          86       65          183         213           17
3.281310              61          139      102     109            83           78          86       65          187         214           17
3.372318              63          139      102     110            83           80          86       66          188         214           17
3.463327              64          141      104     111            84           81          86       67          189         214           18
3.554335              64          143      105     111            85           81          86       67          189         217           18
3.645344              64          143      105     111            86           82          86       68          189         217           19
3.736353              64          143      105     111            86           82          86       69          190         217           19
3.827361              64          144      105     111            87           82          86       69          192         219           19
3.918370              64          145      107     111            88           82          86       69          194         220           19
4.009378              64          149      109     111            90           82          90       69          195         223           19
4.100387              64          151      109     112            90           83          90       69          195         223           19
4.191396              64          152      111     112            92           83          91       70          196         223           19
4.282404              64          154      111     112            92           83          91       72          196         223           19
4.373413              64          156      111     112            93           83          91       72          196         224           19
4.464421              64          156      111     113            94           83          91       72          197         224           19
4.555430              64          156      111     114            94           84          91       72          197         226           19
4.646439              64          156      111     114            95           84          91       72          199         227           19
4.737447              64          156      111     115            96           84          91       72          199         227           19
4.828456              64          157      111     115            98           87          91       72          200         229           19
4.919464              65          159      111     115            99           88          91       72          200         230           20
5.010473              65          161      111     115            99           88          95       72          201         232           20
5.101482              65          161      111     115            99           88          96       72          201         232           20
5.192490              65          162      111     115           100           88          96       74          201         232           20
5.283499              65          163      111     116           100           88          96       74          201         232           20
5.374507              65          163      111     116           100           88          96       74          202         232           20
5.465516              66          163      111     117           100           89          96       74          202         232           21
5.556525              66          163      112     117           101           89          96       74          202         232           21
5.647533              66          163      114     117           102           90          96       75          203         233           21
5.738542              66          165      114     117           102           90          96       75          205         235           21
5.829550              68          165      117     117           103           90          96       75          205         236           21
5.920559              69          165      118     117           103           90          96       75          205         236           21
6.011568              69          167      121     117           103           92          98       75          205         236           21
6.102576              69          167      121     117           103           92          99       75          205         236           21
6.193585              69          167      121     117           103           93          99       75          206         236           21
6.284593              69          167      121     117           103           93          99       75          206         236           21
6.375602              69          167      122     117           104           96          99       75          207         236           21
6.466611              69          167      122     117           104           96          99       75          207         236           21
6.557619              69          168      123     117           104           98          99       75          207         237           21
6.648628              69          169      123     117           104           99          99       75          208         238           22
6.739636              69          170      123     117           104           99          99       75          208         239           22
6.830645              69          170      124     117           105          100          99       75          209         240           23
6.921654              70          170      125     117           105          100          99       75          209         240           23
7.012662              70          170      125     117           105          100         100       75          209         240           23
7.103671              70          170      126     117           105          100         100       75          209         240           23
7.194679              71          170      126     117           106          100         100       75          209         240           24
7.285688              71          170      126     117           106          100         100       75          209         240           24
7.376697              71          170      126     118           106          101         100       75          210         241           24
7.467705              72          171      126     118           106          101         100       75          211         241           24
7.558714              72          171      126     118           107          102         100       75          211         241           24
7.649722              72          171      127     118           107          103         100       75          211         241           24
7.740731              72          172      127     118           107          104         100       75          211         241           24
7.831740              72          173      127     119           107          104         100       76          211         242           24
7.922748              72          174      127     120           108          105         100       78          211         242           25
8.013757              72          175      128     120           109          105         101       78          211         242           25
8.104765              72          176      129     120           109          106         103       78          211         244           25
8.195774              72          176      129     120           109          106         103       78          211         244           25
8.286783              73          176      130     120           109          106         103       78          212         244           25
8.377791              73          177      130     120           109          106         103       78          212         244           25
8.468800              73          178      130     120           109          106         103       79          212         246           25
8.559808              73          178      130     120           110          106         103       79          213         246           25
8.650817              73          178      130     120           110          107         103       79          213         246           25
8.741826              73          178      131     121           110          107         103       79          213         247           25
8.832834              74          178      133     121           110          107         103       79          213         247           25
8.923843              74          178      134     121           110          107         103       79          213         247           25
9.014851              74          178      135     121           110          110         106       79          214         249           26
9.105860              74          178      136     122           111          111         106       79          215         251           26
9.196869              74          178      136     122           111          112         106       79          215         251           27
9.287877              74          178      136     123           112          113         106       79          215         252           27
9.378886              74          178      136     123           112          113         106       79          215         252           27
9.469894              74          178      136     123           113          113         106       79          215         252           27
9.560903              74          179      136     123           113          113         106       79          215         252           27
9.651912              74          179      138     123           113          113         106       79          216         252           27
9.742920              74          179      138     123           114          113         106       79          217         252           27
9.833929              74          179      138     123           114          113         106       79          217         252           27
9.924937              74          180      138     123           114          115         106       80          217         252           27
10.015946             74          181      138     123           114          115         106       80          217         253           27
10.106955             75          181      139     123           114          115         106       80          217         253           27
10.197963             75          182      140     123           115          115         106       80          217         253           27
10.288972             75          184      140     123           115          116         106       80          217         253           27
10.379980             75          184      140     123           115          116         106       80          217         253           27
10.470989             75          184      140     123           115          116         106       80          217         253           27
10.561998             76          184      140     123           115          116         106       80          217         253           27
10.653006             76          184      140     123           115          116         106       80          217         253           27
10.744015             76          184      140     123           115          117         106       80          217         253           27
10.835024             76          185      141     123           115          119         106       80          217         254           27
10.926032             76          185      141     123           115          123         106       80          217         254           27
11.017041             76          185      142     123           115          123         107       80          217         254           27
11.108049             76          185      143     123           115          129         108       80          218         255           27
11.199058             76          185      143     124           115          135         108       80          218         255           27
11.290067             76          185      143     124           115          139         108       80          218         255           27
11.381075             76          185      143     124           115          144         108       80          218         255           27
11.472084             76          185      144     124           115          144         108       80          219         256           27
11.563092             77          185      144     124           115          146         108       80          219         256           28
11.654101             77          186      144     124           115          147         108       80          219         256           28
11.745110             77          186      145     124           116          147         108       82          219         256           28
11.836118             77          186      145     124           116          147         108       82          219         256           28
11.927127             77          186      145     124           116          147         108       82          219         256           28
12.018135             77          186      145     124           117          147         108       82          220         257           28
12.109144             77          186      145     124           117          147         108       82          220         257           28
12.200153             77          186      146     124           117          147         108       82          220         257           28
12.291161             77          187      146     124           117          147         108       82          220         257           28
12.382170             77          188      146     124           117          147         108       82          221         259           28
12.473178             77          188      146     124           117          147         108       82          221         259           28
12.564187             77          188      147     124           117          147         108       83          221         259           28
12.655196             77          189      147     124           119          147         108       83          221         259           28
12.746204             77          190      147     124           119          148         108       83          221         259           28
12.837213             77          190      147     124           119          149         108       83          221         259           28
12.928221             77          190      147     124           120          149         108       83          221         259           28
13.019230             77          191      147     124           120          149         108       83          221         259           28
13.110239             77          191      147     124           120          149         108       83          221         259           28
13.201247             77          191      147     124           121          149         108       83          221         259           28
13.292256             77          192      147     124           121          149         108       83          221         259           28
13.383264             77          192      148     124           122          149         108       83          222         259           28
13.474273             77          192      148     124           122          149         108       83          223         259           28
13.565282             77          192      148     124           123          149         108       83          223         259           28
13.656290             77          192      148     124           124          149         108       83          223         259           28
13.747299             77          192      148     124           124          149         108       83          223         259           28
13.838307             77          192      149     125           124          149         108       83          223         259           28
13.929316             77          193      149     126           124          149         108       83          224         261           28
14.020325             77          194      151     127           125          149         110       84          224         263           28
14.111333             78          194      151     127           126          149         110       84          224         263           28
14.202342             78          194      151     127           126          149         110       84          224         263           28
14.293350             78          194      151     127           126          149         110       84          224         263           28
14.384359             78          194      151     127           126          149         110       84          225         263           28
14.475368             78          194      151     127           126          149         110       84          225         263           28
14.566376             78          195      151     127           127          149         110       84          225         263           28
14.657385             78          195      152     127           127          149         110       84          225         263           28
14.748393             78          195      153     127           127          149         110       84          225         263           28
14.839402             78          195      153     127           127          149         110       84          225         263           28
14.930411             78          195      154     127           127          149         110       85          225         263           28
15.021419             78          195      154     128           127          150         112       85          225         264           28
15.112428             78          196      155     128           127          150         112       85          225         264           28
15.203436             78          197      155     128           127          150         112       86          225         264           28
15.294445             78          198      155     128           127          150         112       86          225         264           28
15.385454             78          199      155     128           127          150         112       86          225         265           28
15.476462             78          199      155     128           127          150         112       86          225         265           28
15.567471             78          199      155     128           127          152         112       86          225         265           28
15.658479             78          199      156     128           127          153         112       86          225         266           28
15.749488             78          199      157     128           127          153         112       86          225         266           28
15.840497             78          199      157     128           127          154         112       86          225         266           28
15.931505             78          199      158     128           127          154         112       86          225         266           28
16.022514             78          199      159     128           127          154         112       86          225         266           28
16.113522             78          199      159     128           127          154         112       86          225         266           28
16.204531             78          200      160     128           127          154         112       86          225         266           28
16.295540             78          200      160     128           127          154         112       86          225         266           28
16.386548             78          201      160     128           127          154         112       86          225         267           28
16.477557             78          202      160     128           127          154         112       86          225         268           28
16.568565             78          202      160     128           127          154         112       86          225         268           28
16.659574             78          203      160     128           127          154         112       87          225         268           28
16.750583             78          203      160     128           127          154         112       87          226         268           28
16.841591             78          205      161     128           127          154         112       87          226         268           28
16.932600             78          206      161     128           127          154         112       87          226         269           28
17.023608             78          207      161     128           127          154         114       87          226         269           28
17.114617             78          208      161     128           127          155         114       87          226         269           28
17.205626             78          208      161     128           129          155         114       87          227         270           28
17.296634             78          210      161     128           129          155         114       87          227         270           28
17.387643             78          210      161     128           129          155         114       87          227         270           28
17.478651             78          211      161     129           129          155         114       87          227         270           28
17.569660             78          212      161     129           129          155         114       87          227         270           28
17.660669             78          212      161     129           129          156         114       87          227         270           28
17.751677             78          215      161     129           129          157         114       87          227         273           28
17.842686             78          215      161     129           129          158         114       87          227         273           28
17.933694             78          216      161     129           129          158         114       87          227         273           28
18.024703             78          219      161     129           129          158         115       87          227         274           28
18.115712             78          219      161     129           129          158         115       87          227         274           28
18.206720             78          219      161     129           130          158         115       87          227         275           28
18.297729             78          219      162     129           130          158         115       88          227         275           28
18.388737             78          219      162     129           130          158         115       88          227         275           28
18.479746             78          219      162     129           130          160         115       88          227         275           28
18.570755             78          219      163     129           130          160         115       88          227         275           28
18.661763             78          220      163     129           130          160         115       88          227         276           28
18.752772             78          220      163     129           130          160         115       88          227         276           28
18.843780             78          221      163     129           130          161         115       88          227         276           28
18.934789             78          223      163     129           130          161         115       88          227         278           28
19.025798             78          223      163     129           130          162         117       88          227         278           28
19.116806             78          224      163     129           130          162         117       88          227         278           28
19.207815             78          224      163     129           130          162         117       88          227         278           28
19.298823             78          225      163     129           130          162         117       88          227         279           28
19.389832             78          225      163     129           130          162         117       88          227         279           28
19.480841             78          226      163     129           130          162         117       88          227         280           28
19.571849             78          226      163     129           130          162         117       88          227         280           28
19.662858             78          227      163     129           130          162         117       88          227         281           28
19.753866             78          227      163     129           130          162         117       88          228         281           28
19.844875             78          227      163     129           130          162         117       89          228         281           28
19.935884             78          227      163     129           130          162         117       89          228         281           28
20.026892             78          227      163     129           130          163         118       89          228         282           28
20.117901             78          228      163     129           130          163         118       89          228         282           28
20.208909             78          229      163     129           130          163         118       89          228         282           28
20.299918             78          229      163     130           130          163         118       89          229         282           28
20.390927             78          229      163     130           130          163         118       89          229         282           28
20.481935             78          229      163     130           130          163         118       89          229         282           28
20.572944             78          229      163     130           130          163         118       89          229         282           28
20.663952             78          231      163     130           130          163         118       89          229         283           28
20.754961             78          231      163     130           130          163         118       89          229         283           28
