Absolute performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.005000               6            0        0       0             9            0          48        4            0          49            0
0.095015              24            9       35      30            26            6          49       19           18          67            5
0.185029              29           18       45      34            36            8          49       24           30          77            5
0.275044              32           23       47      41            39            9          49       28           35          85            6
0.365058              36           24       51      53            41            9          49       35           37          99            6
0.455073              37           25       56      63            42           11          49       40           52         114            6
0.545088              37           25       61      69            44           11          49       44           60         117            6
0.635102              38           26       65      71            50           11          49       45           70         124            6
0.725117              39           27       66      73            51           11          49       47           73         126            8
0.815131              44           27       67      73            54           13          49       47           73         127            8
0.905146              45           27       67      76            59           13          49       48           75         133            8
0.995161              46           27       68      79            61           13          49       50           76         136            8
1.085175              47           27       69      80            63           15          71       50           78         141            8
1.175190              47           28       71      82            64           17          71       50           79         143            8
1.265204              50           28       71      82            65           17          71       52           81         143            9
1.355219              52           28       73      85            66           17          71       52           84         146            9
1.445234              52           28       75      87            68           17          71       53           84         148            9
1.535248              52           28       78      88            68           17          71       53           85         150           10
1.625263              53           28       80      90            71           17          71       54           87         154           11
1.715277              53           29       81      91            73           17          71       54           89         155           11
1.805292              53           30       81      96            73           17          71       54           91         160           11
1.895307              54           32       82      97            75           18          71       54           91         162           11
1.985321              55           33       83      98            76           18          71       54           93         162           12
2.075336              56           33       83      98            76           20          79       55           93         163           13
2.165350              56           33       84      98            76           20          79       57           93         163           13
2.255365              58           34       85      98            76           20          79       57           96         164           13
2.345380              59           34       86      99            76           20          79       57           97         165           13
2.435394              59           34       87      99            76           20          79       57           99         165           13
2.525409              59           35       88     100            76           20          79       57          100         165           13
2.615423              59           36       89     100            77           20          79       58          101         166           13
2.705438              59           39       90     102            80           20          79       62          102         170           13
2.795453              60           39       90     102            80           20          79       62          102         170           13
2.885467              60           39       91     102            80           20          79       62          102         170           13
2.975482              60           39       91     102            80           21          79       62          103         171           13
3.065496              60           39       91     102            80           21          79       63          104         172           13
3.155511              60           39       91     102            82           21          80       63          104         172           13
3.245526              61           39       92     103            82           21          80       63          107         173           13
3.335540              63           40       92     104            82           21          80       63          107         173           13
3.425555              63           41       94     105            83           21          80       65          108         173           13
3.515569              64           42       95     105            83           21          80       65          108         174           14
3.605584              64           42       95     105            84           22          80       66          108         174           14
3.695599              64           42       95     105            85           22          80       67          108         174           14
3.785613              64           43       95     105            86           22          80       67          110         176           14
3.875628              64           43       97     105            86           22          80       67          110         177           14
3.965642              64           43       97     105            88           22          80       67          111         177           14
4.055657              64           44       97     106            89           22          84       67          111         180           14
4.145672              64           44       97     106            89           22          85       68          111         180           14
4.235686              64           45       97     106            91           22          85       68          112         181           14
4.325701              64           46       97     106            91           22          85       70          112         181           14
4.415715              64           46       97     106            92           22          85       70          113         181           14
4.505730              64           46       97     107            93           22          85       70          113         181           14
4.595745              64           46       97     108            93           22          85       70          113         182           14
