Absolute performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
            couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.005000               6            0        0       0             9            0          53        4            0          53            0
0.096009              24           14       38      30            26            6          54       19           28          68            5
0.187017              29           33       48      34            36           16          54       23           49          77            6
0.278026              32           42       51      45            39           21          54       28           58          94            6
0.369034              36           49       55      56            41           26          54       35           63         109            6
0.460043              37           51       60      68            42           29          54       40           79         123            7
0.551052              37           52       65      73            45           29          54       45           86         127            7
0.642060              38           56       69      75            50           29          54       45           95         130            7
0.733069              39           58       70      77            51           31          54       47          100         132            9
0.824077              44           59       70      77            54           32          54       47          101         133            9
0.915086              45           60       70      79            60           35          54       49          102         138            9
1.006095              46           60       72      80            61           37          70       50          103         141           10
1.097103              47           61       73      80            63           39          75       50          105         143           10
1.188112              48           62       75      82            64           41          75       51          106         145           11
1.279120              51           63       75      82            65           41          75       52          107         146           11
1.370129              52           63       77      86            66           41          75       52          110         150           11
1.461138              52           63       80      87            68           41          75       53          111         151           12
1.552146              52           63       83      88            69           41          75       53          111         152           13
1.643155              53           63       84      89            71           42          75       54          114         155           13
1.734163              53           64       86      89            72           42          75       54          115         155           13
1.825172              53           65       86      92            73           42          75       54          117         159           13
1.916181              54           68       87      93            74           43          75       54          117         160           13
2.007189              55           69       87      94            75           43          80       55          118         160           14
2.098198              56           69       87      94            75           45          83       55          118         160           15
2.189206              56           69       88      94            75           45          83       56          120         160           15
2.280215              59           71       88      94            75           45          83       56          121         161           15
2.371224              59           71       89      94            75           45          83       56          123         161           15
2.462232              59           71       90      94            75           46          83       56          124         161           15
2.553241              59           72       91      95            76           46          83       56          125         161           15
2.644249              59           75       92      97            77           46          83       58          127         163           15
2.735258              59           76       92      97            78           46          83       60          127         163           15
2.826267              60           76       92      97            78           46          83       60          127         163           15
2.917275              60           76       93      97            78           46          83       60          127         163           15
3.008284              60           76       93      97            78           47          83       61          128         164           15
3.099292              60           76       93      97            79           47          84       61          128         164           15
3.190301              60           77       94      98            80           47          84       61          129         166           15
3.281310              61           78       94      98            80           47          84       61          132         166           15
3.372318              63           78       94      99            80           49          84       62          132         166           15
3.463327              64           80       96      99            81           50          84       63          133         166           16
3.554335              64           80       97      99            82           50          84       63          133         167           16
3.645344              64           80       97      99            83           51          84       64          133         167           17
3.736353              64           80       97      99            83           51          84       65          134         167           17
3.827361              64           81       97      99            84           51          84       65          135         168           17
3.918370              64           82       99      99            85           51          84       65          135         168           17
4.009378              64           82      101      99            87           51          87       65          135         169           17
4.100387              64           82      101     100            87           52          87       65          135         169           17
