Relative performance profile for SolverTime
Filter: gap <= 10.0% and not failed
               couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000                 14           10       49      90            32            1          75       22           31         305            0
1.001211                 17           13       51      93            41            1          84       28           34         305            0
1.002423                 19           13       51      93            41            1          84       28           39         305            0
1.003637                 19           13       51      95            41            1          84       28           39         305            0
1.004853                 19           13       51      95            41            1          84       28           39         305            0
1.006070                 19           13       51      96            41            1          84       28           39         305            0
1.007288                 19           13       52      96            41            1          84       28           39         305            0
1.008508                 19           13       52      96            41            1          84       28           39         305            0
1.009729                 19           13       52      96            41            1          84       28           39         305            0
1.010952                 19           13       52      96            41            1          84       28           40         305            0
1.012176                 19           13       52      96            41            1          84       28           40         305            0
1.013402                 19           13       52      97            41            1          84       28           40         305            0
1.014629                 19           13       52      97            41            1          84       28           40         305            0
1.015857                 19           13       52      97            41            1          84       28           40         305            0
1.017088                 19           13       52      97            41            1          84       28           40         305            0
1.018319                 19           13       52      97            41            1          84       28           40         305            0
1.019552                 19           13       53      97            41            1          84       28           40         305            0
1.020787                 19           13       53      97            41            1          84       28           40         305            0
1.022023                 19           13       53      97            41            1          84       28           40         305            0
1.023261                 19           13       53      97            41            1          84       28           40         305            0
1.024500                 19           13       53      97            41            1          84       28           40         305            0
1.025741                 19           13       53      97            41            1          84       28           40         305            0
1.026983                 19           13       53      97            41            1          84       28           40         305            0
1.028226                 19           13       53      97            41            1          84       28           40         305            0
1.029472                 19           13       53      97            41            1          84       28           40         305            0
1.030718                 19           13       53      97            41            1          84       28           41         305            0
1.031966                 19           13       53      98            41            1          84       28           41         305            0
1.033216                 19           13       53      98            41            1          84       28           41         305            0
1.034467                 19           13       53      98            41            1          84       28           41         305            0
1.035720                 19           13       53      98            41            1          84       28           41         305            0
1.036974                 19           13       53      98            41            1          84       28           41         305            0
1.038230                 19           13       53      98            41            1          84       28           41         305            0
1.039487                 19           13       53      98            41            1          84       28           41         305            0
1.040746                 19           13       53      98            41            1          84       28           41         305            0
1.042006                 19           13       53      98            41            1          84       28           41         305            0
1.043268                 19           13       53      98            41            1          84       28           41         305            0
1.044532                 19           13       53      98            41            1          84       28           41         305            0
1.045796                 19           13       53      98            41            1          84       28           41         305            0
1.047063                 19           13       53      98            41            1          84       28           41         305            0
1.048331                 19           13       53      98            41            1          84       28           41         305            0
1.049600                 19           13       53      98            41            1          84       28           43         305            0
1.050871                 19           13       53      98            41            1          84       28           43         305            0
1.052144                 19           13       53      98            41            1          84       28           43         305            0
1.053418                 19           13       53      98            41            1          84       28           43         305            0
1.054694                 20           13       53      98            41            1          84       28           43         305            0
1.055971                 20           13       53      98            41            1          84       28           43         305            0
1.057250                 20           13       53      98            41            1          84       28           43         305            0
1.058530                 20           13       53      98            41            1          84       28           43         305            0
1.059812                 20           13       53      98            41            1          84       28           43         305            0
1.061095                 20           13       53      98            41            1          84       28           43         305            0
1.062380                 20           13       53      98            41            1          84       28           43         305            0
1.063667                 20           13       53      98            41            1          84       28           43         305            0
1.064955                 20           13       53      98            41            1          84       28           43         305            0
1.066244                 20           13       53      98            41            1          84       28           43         305            0
1.067536                 20           13       53      98            41            1          84       28           43         305            0
1.068828                 20           13       53      99            41            1          84       28           43         305            0
1.070123                 20           13       53      99            41            1          84       28           43         305            0
1.071419                 20           13       53      99            41            1          84       28           44         305            0
1.072716                 20           13       53      99            41            1          84       28           44         305            0
1.074015                 20           13       53      99            41            1          84       28           45         305            0
1.075316                 20           13       53     100            41            1          84       28           45         305            0
1.076618                 20           13       53     100            41            1          84       28           45         305            0
1.077922                 20           13       53     101            41            1          84       28           45         305            0
1.079227                 20           13       53     101            41            1          84       28           46         305            0
