Relative performance profile for SolverTime
Filter: within 1.0% of known optimal value and not failed
               couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000                 14            5       24      65            25            1          61        8           23         207            0
1.001211                 14            5       24      65            25            1          61        8           23         207            0
1.002423                 14            5       24      65            25            1          61        8           23         207            0
1.003637                 14            5       24      66            25            1          61        8           23         207            0
1.004853                 14            5       24      66            25            1          61        8           23         207            0
1.006070                 14            5       24      67            25            1          61        8           23         207            0
1.007288                 14            5       24      67            25            1          61        8           23         207            0
1.008508                 14            5       24      67            25            1          61        8           23         207            0
1.009729                 14            5       24      67            25            1          61        8           23         207            0
1.010952                 14            5       24      67            25            1          61        8           23         207            0
1.012176                 14            5       24      67            25            1          61        8           23         207            0
1.013402                 14            5       24      68            25            1          61        8           23         207            0
1.014629                 14            5       24      68            25            1          61        8           23         207            0
1.015857                 14            5       24      68            25            1          61        8           23         207            0
1.017088                 14            5       24      68            25            1          61        8           23         207            0
1.018319                 14            5       24      68            25            1          61        8           23         207            0
1.019552                 14            5       24      68            25            1          61        8           23         207            0
1.020787                 14            6       24      68            25            1          61        8           23         207            0
1.022023                 14            6       24      68            25            1          61        8           23         207            0
1.023261                 14            6       24      68            25            1          61        8           23         207            0
1.024500                 14            6       24      68            25            1          61        8           23         207            0
1.025741                 14            6       24      68            25            1          61        8           23         207            0
1.026983                 14            6       24      68            25            1          61        8           23         207            0
1.028226                 14            6       24      68            25            1          61        8           23         207            0
1.029472                 14            6       24      68            25            1          61        8           23         207            0
1.030718                 14            6       24      68            25            1          61        8           23         207            0
1.031966                 14            6       24      69            25            1          61        8           23         207            0
1.033216                 14            6       24      69            25            1          61        8           23         207            0
1.034467                 14            6       24      69            25            1          61        8           23         207            0
1.035720                 14            6       24      69            25            1          61        8           23         207            0
1.036974                 14            6       24      69            25            1          61        8           23         207            0
1.038230                 14            6       24      69            25            1          61        8           23         207            0
1.039487                 14            6       24      69            25            1          61        8           23         207            0
1.040746                 14            6       24      69            25            1          61        8           23         207            0
1.042006                 14            6       24      69            25            1          61        8           23         207            0
1.043268                 14            6       24      69            25            1          61        8           23         207            0
1.044532                 14            6       24      69            25            1          61        8           23         207            0
1.045796                 14            6       24      69            25            1          61        8           23         207            0
1.047063                 14            6       24      69            25            1          61        8           23         207            0
1.048331                 14            6       24      69            25            1          61        8           23         207            0
1.049600                 14            6       24      69            25            1          61        8           25         207            0
1.050871                 14            6       24      69            25            1          61        8           25         207            0
1.052144                 14            6       24      69            25            1          61        8           25         207            0
1.053418                 14            6       24      69            25            1          61        8           25         207            0
1.054694                 15            6       24      69            25            1          61        8           25         207            0
1.055971                 15            6       24      69            25            1          61        8           25         207            0
1.057250                 15            6       24      69            25            1          61        8           25         207            0
1.058530                 15            6       24      69            25            1          61        8           25         207            0
1.059812                 15            6       24      69            25            1          61        8           25         207            0
1.061095                 15            6       24      69            25            1          61        8           25         207            0
1.062380                 15            6       24      69            25            1          61        8           25         207            0
1.063667                 15            6       24      69            25            1          61        8           25         207            0
1.064955                 15            6       24      69            25            1          61        8           25         207            0
1.066244                 15            6       24      69            25            1          61        8           26         207            0
1.067536                 15            6       24      69            25            1          61        8           26         207            0
1.068828                 15            6       24      70            25            1          61        8           26         207            0
1.070123                 15            6       24      70            25            1          61        8           26         207            0
1.071419                 15            6       24      70            25            1          61        8           27         207            0
1.072716                 15            6       24      70            25            1          61        8           27         207            0
1.074015                 15            6       24      70            25            1          61        8           27         207            0
1.075316                 15            6       24      71            25            1          61        8           27         207            0
1.076618                 15            6       24      71            25            1          61        8           27         207            0
1.077922                 15            6       24      72            25            1          61        8           27         207            0
1.079227                 15            6       24      72            25            1          61        8           27         207            0
1.080534                 15            6       24      72            25            1          61        8           27         207            0
1.081842                 15            6       24      72            25            1          61        8           27         207            0
1.083152                 15            6       24      72            25            1          61        8           28         207            0
1.084464                 15            6       24      72            25            1          61        8           28         207            0
1.085777                 15            6       24      72            25            1          61        8           28         207            0
1.087092                 15            6       24      72            25            1          61        8           28         207            0
1.088409                 15            6       24      72            25            1          61        8           28         207            0
1.089727                 15            6       24      72            25            1          61        8           28         207            0
1.091046                 15            6       24      72            25            1          61        8           28         207            0
1.092367                 15            6       24      72            25            1          61        8           28         207            0
1.093690                 15            6       24      72            25            1          61        8           28         207            0
1.095015                 15            6       24      72            25            1          61        8           28         207            0
1.096341                 15            6       24      72            25            1          61        8           28         207            0
1.097668                 15            6       24      72            25            1          61        8           28         207            0
1.098998                 15            6       24      72            25            1          61        8           28         207            0
1.100328                 15            6       24      72            25            1          61        8           28         207            0
1.101661                 15            6       24      72            25            1          61        8           28         207            0
1.102995                 15            6       24      72            25            1          61        8           28         207            0
1.104331                 15            6       24      72            25            1          61        8           28         207            0
1.105668                 15            6       24      72            25            1          61        8           28         207            0
1.107007                 15            6       24      72            25            1          61        8           29         207            0
1.108347                 15            6       24      72            25            1          61        8           29         207            0
1.109690                 15            6       24      72            25            1          61        8           29         207            0
1.111033                 15            6       24      72            25            1          61        8           29         207            0
1.112379                 15            6       24      72            25            1          61        8           29         207            0
1.113726                 15            6       24      72            25            1          61        8           29         207            0
1.115075                 15            6       24      72            25            1          61        8           29         207            0
1.116425                 15            6       24      72            25            1          61        8           29         207            0
1.117777                 15            6       24      72            25            1          61        8           29         207            0
1.119130                 15            6       24      72            25            1          62        8           29         207            0
1.120486                 15            6       24      72            25            1          62        8           29         207            0
1.121843                 15            6       24      72            25            1          62        8           29         207            0
1.123201                 15            6       24      72            25            1          62        8           29         207            0
1.124561                 15            6       24      72            25            1          62        8           29         207            0
1.125923                 15            6       24      72            25            1          62        8           29         207            0
1.127287                 15            6       24      72            25            1          62        8           29         207            0
1.128652                 15            6       24      72            25            1          62        8           29         207            0
1.130018                 15            6       24      72            25            1          62        8           29         207            0
1.131387                 15            6       24      72            25            1          62        8           29         207            0
1.132757                 15            6       24      73            25            1          62        8           29         207            0
1.134129                 15            6       24      73            25            1          62        8           29         207            0
1.135502                 15            6       24      73            25            1          62        8           29         207            0
1.136877                 15            6       24      73            25            1          62        8           29         207            0
1.138254                 15            7       24      73            25            1          62        8           29         207            0
1.139632                 15            7       24      73            25            1          62        8           29         207            0
