Relative performance profile for NumberOfNodes
Filter: gap <= 0.102% and not failed
               couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000                 22           73      113      42            61           21         109       95           77         265            4
1.001324                 22           73      113      42            61           21         109       95           77         265            4
1.002649                 22           73      113      42            61           21         109       95           77         265            4
1.003976                 22           73      113      42            61           21         109       95           77         265            4
1.005305                 22           73      113      42            61           21         110       95           77         265            4
1.006636                 22           73      113      42            61           21         110       95           77         265            4
1.007969                 22           73      113      42            61           21         110       95           77         265            4
1.009303                 22           73      113      43            61           21         110       95           77         265            4
1.010639                 22           73      113      43            61           21         110       95           77         265            4
1.011977                 22           73      113      43            61           21         110       95           77         265            4
1.013316                 22           73      113      43            61           21         110       95           77         265            4
1.014657                 22           73      113      43            61           21         110       95           77         265            4
1.016001                 22           73      113      43            62           21         110       95           77         265            4
1.017345                 22           73      113      43            62           21         110       95           77         265            4
1.018692                 22           73      113      43            62           21         110       95           77         265            4
1.020040                 22           73      113      43            62           21         110       95           77         265            4
1.021391                 22           73      113      43            62           21         110       95           77         265            4
1.022743                 22           73      113      43            62           21         110       95           77         265            4
1.024097                 22           73      113      43            62           21         110       95           77         265            4
1.025452                 22           73      113      43            62           21         110       95           77         265            4
1.026810                 22           73      114      43            62           21         110       95           77         265            4
1.028169                 22           73      114      43            62           21         110       95           77         265            4
1.029530                 22           73      114      43            62           21         110       95           77         265            4
1.030892                 22           73      114      43            62           21         110       95           77         265            4
1.032257                 22           73      114      43            62           21         110       95           77         265            4
1.033623                 22           73      114      43            62           21         110       95           77         265            4
1.034992                 22           73      114      43            62           21         110       95           77         265            4
1.036362                 22           73      114      43            62           21         110       95           77         265            4
1.037733                 22           73      114      43            62           21         110       95           77         265            4
1.039107                 22           73      114      43            62           21         110       95           77         265            4
1.040483                 22           73      114      43            62           21         110       95           77         265            4
1.041860                 22           73      114      43            62           21         110       95           77         265            4
1.043239                 22           73      114      43            62           21         110       95           77         265            4
1.044620                 22           73      114      43            62           21         110       95           77         265            4
1.046003                 22           73      114      43            62           21         110       95           77         265            4
1.047387                 22           73      114      43            62           21         110       95           77         265            4
1.048774                 22           73      114      43            62           21         110       95           77         265            4
1.050162                 22           73      114      43            62           21         110       95           77         265            4
1.051552                 22           73      114      43            62           21         110       95           77         265            4
1.052944                 22           73      114      43            62           21         110       95           77         265            4
1.054338                 22           73      114      43            62           21         110       95           77         265            4
1.055733                 22           73      114      43            62           21         110       95           77         265            4
1.057131                 22           73      114      43            62           21         110       95           77         265            4
1.058530                 22           73      114      43            62           21         110       95           77         265            4
1.059931                 22           73      114      43            62           21         110       95           77         265            4
1.061334                 22           73      114      43            62           21         110       95           77         265            4
1.062739                 22           73      114      43            62           21         110       95           77         265            4
1.064146                 22           73      114      43            62           21         110       95           77         265            4
1.065555                 22           73      114      43            62           21         110       95           77         265            4
1.066965                 22           73      115      43            62           21         110       95           77         265            4
1.068377                 22           73      115      43            62           21         110       95           77         265            4
1.069792                 22           73      115      43            62           21         110       95           77         265            4
1.071208                 22           73      115      44            62           21         110       95           77         265            4
1.072626                 22           73      115      44            62           21         110       95           77         265            4
1.074045                 22           73      115      44            62           21         110       95           77         265            4
1.075467                 22           73      115      44            62           21         110       95           77         265            4
1.076891                 22           73      115      44            62           21         110       95           77         265            4
1.078316                 22           73      115      44            62           21         110       95           77         265            4
1.079744                 22           73      115      44            62           21         110       95           77         265            4
1.081173                 22           73      115      44            62           21         110       95           77         265            4
1.082604                 22           73      115      44            62           21         110       95           77         265            4
1.084037                 22           73      115      44            62           21         110       95           77         265            4
1.085472                 22           73      115      44            62           21         110       95           77         265            4
1.086909                 22           73      115      44            62           21         110       95           77         265            4
1.088348                 22           73      115      44            62           21         110       95           77         265            4
1.089788                 22           73      115      45            62           21         110       95           77         265            4
1.091231                 22           73      115      45            62           21         110       95           77         265            4
1.092675                 22           73      115      45            62           21         110       95           77         265            4
1.094122                 22           73      115      45            62           21         110       95           77         265            4
1.095570                 22           73      116      45            62           21         110       96           77         265            4
1.097020                 22           73      116      45            62           21         110       96           77         265            4
1.098472                 22           73      116      45            62           21         110       96           77         265            4
1.099926                 22           73      116      45            62           21         110       96           77         265            4
1.101382                 22           73      116      45            62           21         110       96           77         265            4
1.102840                 22           73      116      45            62           21         110       96           77         265            4
1.104300                 22           73      116      45            62           21         110       96           77         265            4
1.105762                 22           73      116      45            62           21         110       96           77         265            4
1.107225                 22           73      116      45            62           21         110       96           77         265            4
1.108691                 22           73      116      45            62           21         110       96           77         265            4
1.110159                 22           73      116      45            62           21         110       96           77         265            4
1.111628                 22           73      116      45            62           21         110       96           77         265            4
1.113100                 22           73      116      45            62           21         110       96           77         265            4
1.114573                 22           73      116      45            62           21         110       96           77         265            4
1.116048                 22           73      116      45            62           21         110       96           77         265            4
1.117526                 22           73      116      45            62           21         110       96           77         265            4
1.119005                 22           73      116      45            62           21         110       96           77         265            4
1.120486                 22           73      116      45            62           21         110       96           77         265            4
1.121969                 22           73      116      45            62           21         110       96           77         265            4
1.123454                 22           73      116      45            62           21         110       96           77         265            4
1.124942                 22           73      116      45            62           21         110       96           77         265            4
1.126431                 22           73      116      45            62           21         110       96           77         265            4
1.127922                 22           73      116      45            62           21         110       96           77         265            4
