Relative performance profile for NumberOfIterations
Filter: gap <= 0.102% and not failed
              couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000e+00            19           92      193      17            13           85           6       12          158         265            0
1.001752e+00            19           92      193      17            13           85           6       12          158         265            0
1.003508e+00            19           92      193      17            13           85           6       12          158         265            0
1.005266e+00            19           92      193      17            13           85           6       12          158         265            0
1.007028e+00            19           92      193      17            13           85           6       12          158         265            0
1.008792e+00            19           92      193      17            13           85           6       12          158         265            0
1.010560e+00            19           92      193      17            13           85           6       12          158         265            0
1.012331e+00            19           92      193      17            13           85           6       12          158         265            0
1.014105e+00            19           92      193      17            13           85           6       12          158         265            0
1.015882e+00            19           92      193      17            13           85           6       12          158         265            0
1.017662e+00            19           92      193      17            13           85           6       12          158         265            0
1.019445e+00            19           92      193      17            13           85           6       12          158         265            0
1.021231e+00            19           92      193      17            13           85           6       12          158         265            0
1.023021e+00            19           92      193      17            13           85           6       12          158         265            0
1.024813e+00            19           92      193      17            13           85           6       12          158         265            0
1.026609e+00            19           92      193      17            13           85           6       12          158         265            0
1.028408e+00            19           92      193      17            13           85           6       12          158         265            0
1.030210e+00            19           92      193      17            13           85           6       12          158         265            0
1.032015e+00            19           92      193      17            13           85           6       12          158         265            0
1.033824e+00            19           92      193      17            13           85           6       12          158         265            0
1.035635e+00            19           92      193      17            13           85           6       12          158         265            0
1.037450e+00            19           92      193      17            13           85           6       12          158         265            0
1.039268e+00            19           92      193      17            13           85           6       12          158         265            0
1.041089e+00            19           92      193      17            13           85           6       12          158         265            0
1.042913e+00            19           92      193      17            13           85           6       12          158         265            0
1.044741e+00            19           92      193      17            13           85           6       12          158         265            0
1.046571e+00            19           92      193      17            13           85           6       12          158         265            0
1.048405e+00            19           92      193      17            13           85           6       12          158         265            0
1.050242e+00            19           92      193      17            13           85           6       12          158         265            0
1.052083e+00            19           92      193      17            13           85           6       12          158         265            0
1.053926e+00            19           92      193      17            13           85           6       12          158         265            0
1.055773e+00            19           92      193      17            13           85           6       12          158         265            0
1.057623e+00            19           92      193      17            13           85           6       12          158         265            0
1.059476e+00            19           92      193      17            13           85           6       12          158         265            0
1.061333e+00            19           92      193      17            13           85           6       12          158         265            0
1.063193e+00            19           92      193      17            13           85           6       12          158         265            0
1.065056e+00            19           92      193      17            13           85           6       12          158         265            0
1.066922e+00            19           92      193      17            13           85           6       12          158         265            0
1.068792e+00            19           92      193      17            13           85           6       12          158         265            0
1.070664e+00            19           92      193      17            13           85           6       12          158         265            0
1.072540e+00            19           92      193      17            13           85           6       12          158         265            0
1.074420e+00            19           92      193      17            13           85           6       12          158         265            0
1.076303e+00            19           92      193      17            13           85           6       12          158         265            0
1.078189e+00            19           92      193      17            13           85           6       12          158         265            0
1.080078e+00            19           92      193      17            13           85           6       12          158         265            0
1.081970e+00            19           92      193      17            13           85           6       12          158         265            0
1.083866e+00            19           92      193      17            13           85           6       12          158         265            0
1.085766e+00            19           92      193      17            13           85           6       12          158         265            0
1.087668e+00            19           92      193      17            13           85           6       12          158         265            0
1.089574e+00            19           92      193      17            13           85           6       12          158         265            0
1.091483e+00            19           92      193      17            13           85           6       12          158         265            0
1.093396e+00            19           92      193      17            13           85           6       12          158         265            0
1.095312e+00            19           92      193      17            13           85           6       12          158         265            0
1.097231e+00            19           92      193      17            13           85           6       12          158         265            0
1.099154e+00            19           92      193      17            13           85           6       12          158         265            0
1.101080e+00            19           92      193      17            13           85           6       12          158         265            0
1.103009e+00            19           92      193      17            13           85           6       12          158         265            0
1.104942e+00            19           92      193      17            13           85           6       12          158         265            0
1.106878e+00            19           92      193      17            13           85           6       12          158         265            0
1.108818e+00            19           92      193      17            13           85           6       12          158         265            0
1.110761e+00            19           92      193      17            13           85           6       12          158         265            0
1.112707e+00            19           92      193      17            13           85           6       12          158         265            0
1.114657e+00            19           92      193      17            13           85           6       12          158         265            0
1.116610e+00            19           92      193      17            13           85           6       12          158         265            0
1.118567e+00            19           92      193      17            13           85           6       12          158         265            0
1.120527e+00            19           92      193      17            13           85           6       12          158         265            0
1.122490e+00            19           92      193      17            13           85           6       12          158         265            0
1.124457e+00            19           92      193      17            13           85           6       12          158         265            0
1.126428e+00            19           92      193      17            13           85           6       12          158         265            0
1.128401e+00            19           92      193      17            13           85           6       12          158         265            0
1.130379e+00            19           92      193      17            13           85           6       12          158         265            0
1.132359e+00            19           92      193      17            13           85           6       12          158         265            0
1.134344e+00            19           92      193      17            13           85           6       12          158         265            0
1.136331e+00            19           92      193      17            13           85           6       12          158         265            0
1.138323e+00            19           92      193      17            13           85           6       12          158         265            0
1.140317e+00            19           92      193      17            13           85           6       12          158         265            0
1.142315e+00            19           92      193      17            13           85           6       12          158         265            0
1.144317e+00            19           92      193      17            13           85           6       12          158         265            0
1.146322e+00            19           92      193      17            13           85           6       12          158         265            0
1.148331e+00            19           92      193      17            13           85           6       12          158         265            0
1.150343e+00            19           92      193      17            13           85           6       12          158         265            0
1.152359e+00            19           92      193      17            13           85           6       12          158         265            0
1.154378e+00            19           92      193      17            13           85           6       12          158         265            0
1.156401e+00            19           92      193      17            13           85           6       12          158         265            0
1.158427e+00            19           92      193      17            13           85           6       12          158         265            0
1.160457e+00            19           92      193      17            13           85           6       12          158         265            0
1.162491e+00            19           92      193      17            13           85           6       12          158         265            0
1.164528e+00            19           92      193      17            13           85           6       12          158         265            0
1.166568e+00            19           92      193      17            13           85           6       12          158         265            0
1.168612e+00            19           92      193      17            13           85           6       12          158         265            0
1.170660e+00            19           92      193      17            13           85           6       12          158         265            0
1.172711e+00            19           92      193      17            13           85           6       12          158         265            0
1.174766e+00            19           92      193      17            13           85           6       12          158         265            0
1.176825e+00            19           92      193      17            13           85           6       12          158         265            0
1.178887e+00            19           92      193      17            13           85           6       12          158         265            0
1.180953e+00            19           92      193      17            13           85           6       12          158         265            0
1.183022e+00            19           92      193      17            13           85           6       12          158         265            0
1.185095e+00            19           92      193      17            13           85           6       12          158         265            0
1.187172e+00            19           92      193      17            13           85           6       12          158         265            0
1.189252e+00            19           92      193      17            13           85           6       12          158         265            0
1.191336e+00            19           92      193      17            13           85           6       12          158         265            0
1.193423e+00            19           92      193      17            13           85           6       12          158         265            0
1.195515e+00            19           92      193      17            13           85           6       12          158         265            0
1.197610e+00            19           92      193      17            13           85           6       12          158         265            0
1.199708e+00            19           92      193      17            13           85           6       12          158         265            0
1.201810e+00            19           92      193      17            13           85           6       12          158         265            0
1.203916e+00            19           92      193      17            13           85           6       12          158         265            0
1.206026e+00            19           92      193      17            13           85           6       12          158         265            0
1.208139e+00            19           92      193      17            13           85           6       12          158         265            0
1.210256e+00            19           92      193      17            13           85           6       12          158         265            0
1.212377e+00            19           92      193      17            13           85           6       12          158         265            0
1.214501e+00            19           92      193      17            13           85           6       12          158         265            0
1.216630e+00            19           92      193      17            13           85           6       12          158         265            0
1.218761e+00            19           92      193      17            13           85           6       12          158         265            0
1.220897e+00            19           92      193      17            13           85           6       12          158         265            0
1.223036e+00            19           92      193      17            13           85           6       12          158         265            0
1.225179e+00            19           92      193      17            13           85           6       12          158         265            0
1.227326e+00            19           92      193      17            13           85           6       12          158         265            0
1.229477e+00            19           92      193      17            13           85           6       12          158         265            0
1.231631e+00            19           92      193      17            13           85           6       12          158         265            0
1.233790e+00            19           92      193      17            13           85           6       12          158         265            0
1.235951e+00            19           92      193      17            13           85           6       12          158         265            0
1.238117e+00            19           92      193      17            13           85           6       12          158         265            0
1.240287e+00            19           92      193      17            13           85           6       12          158         265            0
1.242460e+00            19           92      193      17            13           85           6       12          158         265            0
1.244637e+00            19           92      193      17            13           85           6       12          158         265            0
1.246818e+00            19           92      193      17            13           85           6       12          158         265            0
1.249003e+00            19           92      193      17            13           85           6       12          158         265            0
1.251192e+00            19           92      193      17            13           85           6       12          158         265            0
1.253384e+00            19           92      193      17            13           85           6       12          158         265            0
1.255580e+00            19           92      193      17            13           85           6       12          158         265            0
1.257780e+00            19           92      193      17            13           85           6       12          158         265            0
1.259984e+00            19           92      193      17            13           85           6       12          158         265            0
1.262192e+00            19           92      193      17            13           85           6       12          158         265            0
1.264404e+00            19           92      193      17            13           85           6       12          158         265            0
1.266620e+00            19           92      193      17            13           85           6       12          158         265            0
1.268839e+00            19           92      193      17            13           85           6       12          158         265            0
1.271062e+00            19           92      193      17            13           85           6       12          158         265            0
1.273290e+00            19           92      193      17            13           85           6       12          158         265            0
1.275521e+00            19           92      193      17            13           85           6       12          158         265            0
1.277756e+00            19           92      193      17            13           85           6       12          158         265            0
1.279995e+00            19           92      193      17            13           85           6       12          158         265            0
1.282238e+00            19           92      193      17            13           85           6       12          158         265            0
1.284485e+00            19           92      193      17            13           85           6       12          158         265            0
1.286736e+00            19           92      193      17            13           85           6       12          158         265            0
1.288990e+00            19           92      193      17            13           85           6       12          158         265            0
1.291249e+00            19           92      193      17            13           85           6       12          158         265            0
1.293512e+00            19           92      193      17            13           85           6       12          158         265            0
1.295778e+00            19           92      193      17            13           85           6       12          158         265            0
1.298049e+00            19           92      193      17            13           85           6       12          158         265            0
1.300323e+00            19           92      193      17            13           85           6       12          158         265            0
1.302602e+00            19           92      193      17            13           85           6       12          158         265            0
1.304884e+00            19           92      193      17            13           85           6       12          158         265            0
1.307171e+00            19           92      193      17            13           85           6       12          158         265            0
1.309461e+00            19           92      193      17            13           85           6       12          158         265            0
1.311756e+00            19           92      193      17            13           85           6       12          158         265            0
1.314055e+00            19           92      193      17            13           85           6       12          158         265            0
1.316357e+00            19           92      193      17            13           85           6       12          158         265            0
1.318664e+00            19           92      193      17            13           85           6       12          158         265            0
1.320974e+00            19           92      193      17            13           85           6       12          158         265            0
1.323289e+00            19           92      193      17            13           85           6       12          158         265            0
1.325608e+00            19           92      193      17            13           85           6       12          158         265            0
1.327931e+00            19           92      193      17            13           85           6       12          158         265            0
1.330258e+00            19           92      193      17            13           85           6       12          158         265            0
1.332589e+00            19           92      193      17            13           85           6       12          158         265            0
1.334924e+00            19           92      193      17            13           85           6       12          158         265            0
1.337263e+00            19           92      193      17            13           85           6       12          158         265            0
1.339606e+00            19           92      193      17            13           85           6       12          158         265            0
1.341954e+00            19           92      193      17            13           85           6       12          158         265            0
1.344305e+00            19           92      193      17            13           85           6       12          158         265            0
1.346661e+00            19           92      193      17            13           85           6       12          158         265            0
1.349020e+00            19           92      193      17            13           85           6       12          158         265            0
1.351384e+00            19           92      193      17            13           85           6       12          158         265            0
1.353752e+00            19           92      193      17            13           85           6       12          158         265            0
1.356125e+00            19           92      193      17            13           85           6       12          158         265            0
1.358501e+00            19           92      193      17            13           85           6       12          158         265            0
1.360881e+00            19           92      193      17            13           85           6       12          158         265            0
1.363266e+00            19           92      193      17            13           85           6       12          158         265            0
1.365655e+00            19           92      193      17            13           85           6       12          158         265            0
1.368048e+00            19           92      193      17            13           85           6       12          158         265            0
1.370445e+00            19           92      193      17            13           85           6       12          158         265            0
1.372846e+00            19           92      193      17            13           85           6       12          158         265            0
1.375252e+00            19           92      193      17            13           85           6       12          158         265            0
1.377662e+00            19           92      193      17            13           85           6       12          158         265            0
1.380076e+00            19           92      193      17            13           85           6       12          158         265            0
1.382494e+00            19           92      193      17            13           85           6       12          158         265            0
1.384917e+00            19           92      193      17            13           85           6       12          158         265            0
1.387344e+00            19           92      193      17            13           85           6       12          158         265            0
1.389775e+00            19           92      193      17            13           85           6       12          158         265            0
1.392210e+00            19           92      193      17            13           85           6       12          158         265            0
1.394649e+00            19           92      193      17            13           85           6       12          158         265            0
1.397093e+00            19           92      193      17            13           85           6       12          158         265            0
1.399541e+00            19           92      193      17            13           85           6       12          158         265            0
1.401994e+00            19           92      193      17            13           85           6       12          158         265            0
1.404450e+00            19           92      193      17            13           85           6       12          158         265            0
1.406911e+00            19           92      193      17            13           85           6       12          158         265            0
1.409377e+00            19           92      193      17            13           85           6       12          158         265            0
1.411846e+00            19           92      193      17            13           85           6       12          158         265            0
1.414320e+00            19           92      193      17            13           85           6       12          158         265            0
1.416799e+00            19           92      193      17            13           85           6       12          158         265            0
1.419281e+00            19           92      193      17            13           85           6       12          158         265            0
1.421768e+00            19           92      193      17            13           85           6       12          158         265            0
1.424260e+00            19           92      193      17            13           85           6       12          158         265            0
1.426755e+00            19           92      193      17            13           85           6       12          158         265            0
1.429255e+00            19           92      193      17            13           85           6       12          158         265            0
1.431760e+00            19           92      193      17            13           85           6       12          158         265            0
1.434269e+00            19           92      193      17            13           85           6       12          158         265            0
1.436782e+00            19           92      193      17            13           85           6       12          158         265            0
1.439300e+00            19           92      193      17            13           85           6       12          158         265            0
1.441822e+00            19           92      193      17            13           85           6       12          158         265            0
1.444348e+00            19           92      193      17            13           85           6       12          158         265            0
1.446879e+00            19           92      193      17            13           85           6       12          158         265            0
1.449414e+00            19           92      193      17            13           85           6       12          158         265            0
1.451954e+00            19           92      193      17            13           85           6       12          158         265            0
1.454498e+00            19           92      193      17            13           85           6       12          158         265            0
1.457047e+00            19           92      193      17            13           85           6       12          158         265            0
1.459600e+00            19           92      193      17            13           85           6       12          158         265            0
1.462158e+00            19           92      193      17            13           85           6       12          158         265            0
1.464720e+00            19           92      193      17            13           85           6       12          158         265            0
1.467287e+00            19           92      193      17            13           85           6       12          158         265            0
1.469858e+00            19           92      193      17            13           85           6       12          158         265            0
1.472433e+00            19           92      193      17            13           85           6       12          158         265            0
1.475014e+00            19           92      193      17            13           85           6       12          158         265            0
1.477598e+00            19           92      193      17            13           85           6       12          158         265            0
1.480187e+00            19           92      193      17            13           85           6       12          158         265            0
1.482781e+00            19           92      193      17            13           85           6       12          158         265            0
1.485379e+00            19           92      193      17            13           85           6       12          158         265            0
1.487982e+00            19           92      193      17            13           85           6       12          158         265            0
1.490589e+00            19           92      193      17            13           85           6       12          158         265            0
1.493201e+00            19           92      193      17            13           85           6       12          158         265            0
1.495818e+00            19           92      193      17            13           85           6       12          158         265            0
1.498439e+00            19           92      193      17            13           85           6       12          158         265            0
1.501065e+00            19           92      193      17            13           85           6       12          158         265            0
1.503695e+00            19           92      193      17            13           85           6       12          158         265            0
1.506330e+00            19           92      193      17            13           85           6       12          158         265            0
1.508969e+00            19           92      193      17            13           85           6       12          158         265            0
1.511614e+00            19           92      193      17            13           85           6       12          158         265            0
1.514262e+00            19           92      193      17            13           85           6       12          158         265            0
1.516916e+00            19           92      193      17            13           85           6       12          158         265            0
1.519574e+00            19           92      193      17            13           85           6       12          158         265            0
1.522237e+00            19           92      193      17            13           85           6       12          158         265            0
1.524904e+00            19           92      193      17            13           85           6       12          158         265            0
1.527576e+00            19           92      193      17            13           85           6       12          158         265            0
1.530253e+00            19           92      193      17            13           85           6       12          158         265            0
1.532934e+00            19           92      193      17            13           85           6       12          158         265            0
1.535620e+00            19           92      193      17            13           85           6       12          158         265            0
1.538311e+00            19           92      193      17            13           85           6       12          158         265            0
1.541007e+00            19           92      193      17            13           85           6       12          158         265            0
1.543707e+00            19           92      193      17            13           85           6       12          158         265            0
1.546412e+00            19           92      193      17            13           85           6       12          158         265            0
1.549122e+00            19           92      193      17            13           85           6       12          158         265            0
1.551836e+00            19           92      193      17            13           85           6       12          158         265            0
1.554556e+00            19           92      193      17            13           85           6       12          158         265            0
1.557280e+00            19           92      193      17            13           85           6       12          158         265            0
1.560008e+00            19           92      193      17            13           85           6       12          158         265            0
1.562742e+00            19           92      193      17            13           85           6       12          158         265            0
1.565480e+00            19           92      193      17            13           85           6       12          158         265            0
1.568224e+00            19           92      193      17            13           85           6       12          158         265            0
1.570972e+00            19           92      193      17            13           85           6       12          158         265            0
1.573724e+00            19           92      193      17            13           85           6       12          158         265            0
1.576482e+00            19           92      193      17            13           85           6       12          158         265            0
1.579244e+00            19           92      193      17            13           85           6       12          158         265            0
1.582012e+00            19           92      193      17            13           85           6       12          158         265            0
1.584784e+00            19           92      193      17            13           85           6       12          158         265            0
1.587561e+00            19           92      193      17            13           85           6       12          158         265            0
1.590343e+00            19           92      193      17            13           85           6       12          158         265            0
1.593129e+00            19           92      193      17            13           85           6       12          158         265            0
1.595921e+00            19           92      193      17            13           85           6       12          158         265            0
1.598718e+00            19           92      193      17            13           85           6       12          158         265            0
1.601519e+00            19           92      193      17            13           85           6       12          158         265            0
1.604325e+00            19           92      193      17            13           85           6       12          158         265            0
1.607137e+00            19           92      193      17            13           85           6       12          158         265            0
1.609953e+00            19           92      193      17            13           85           6       12          158         265            0
1.612774e+00            19           92      193      17            13           85           6       12          158         265            0
1.615600e+00            19           92      193      17            13           85           6       12          158         265            0
1.618431e+00            19           92      193      17            13           85           6       12          158         265            0
1.621267e+00            19           92      193      17            13           85           6       12          158         265            0
1.624108e+00            19           92      193      17            13           85           6       12          158         265            0
1.626954e+00            19           92      193      17            13           85           6       12          158         265            0
1.629805e+00            19           92      193      17            13           85           6       12          158         265            0
1.632660e+00            19           92      193      17            13           85           6       12          158         265            0
1.635521e+00            19           92      193      17            13           85           6       12          158         265            0
1.638387e+00            19           92      193      17            13           85           6       12          158         265            0
1.641258e+00            19           92      193      17            13           85           6       12          158         265            0
1.644134e+00            19           92      193      17            13           85           6       12          158         265            0
1.647015e+00            19           92      193      17            13           85           6       12          158         265            0
1.649901e+00            19           92      193      17            13           85           6       12          158         265            0
1.652792e+00            19           92      193      17            13           85           6       12          158         265            0
1.655688e+00            19           92      193      17            13           85           6       12          158         265            0
1.658590e+00            19           92      193      17            13           85           6       12          158         265            0
1.661496e+00            19           92      193      17            13           85           6       12          158         265            0
1.664407e+00            19           92      193      17            13           85           6       12          158         265            0
1.667324e+00            19           92      193      17            13           85           6       12          158         265            0
1.670245e+00            19           92      193      17            13           85           6       12          158         265            0
1.673172e+00            19           92      193      17            13           85           6       12          158         265            0
1.676104e+00            19           92      193      17            13           85           6       12          158         265            0
1.679041e+00            19           92      193      17            13           85           6       12          158         265            0
1.681983e+00            19           92      193      17            13           85           6       12          158         265            0
1.684931e+00            19           92      193      17            13           85           6       12          158         265            0
1.687883e+00            19           92      193      17            13           85           6       12          158         265            0
1.690841e+00            19           92      193      17            13           85           6       12          158         265            0
1.693804e+00            19           92      193      17            13           85           6       12          158         265            0
1.696772e+00            19           92      193      17            13           85           6       12          158         265            0
1.699745e+00            19           92      193      17            13           85           6       12          158         265            0
1.702723e+00            19           92      193      17            13           85           6       12          158         265            0
