Absolute performance profile for Gap
Filter: no fail
          couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.000000           108           92       14      82           115           85           0       83          158         223            0
0.000200           114           92       17      96           140           85           0      115          158         242            0
0.000400           118           92       19      99           149           85           0      119          158         246            0
0.000600           122           92       19     109           153           85           0      127          158         248            0
0.000800           130           92       22     123           159           85           0      129          158         248            0
0.001000           140           92      127     141           194           85          67      136          158         263            1
0.001200           140           92      196     142           196           85         164      136          158         265           23
0.001400           140           92      197     144           196           85         165      136          158         266           23
0.001600           141           92      198     144           196           85         166      137          158         266           23
0.001800           141           92      198     145           196           85         168      137          158         266           23
0.002000           141           92      198     145           197           85         169      137          158         266           23
0.002200           141           92      198     146           200           85         169      137          158         266           23
0.002400           141           92      199     146           200           85         169      137          158         266           23
0.002600           141           92      199     146           200           85         169      137          158         266           23
0.002800           141           92      199     146           200           85         170      137          158         266           23
0.003000           141           92      199     146           202           85         170      137          158         267           23
0.003200           142           92      199     146           202           85         172      137          158         268           24
0.003400           142           92      200     146           202           85         173      137          158         268           24
0.003600           142           92      201     146           202           85         175      138          158         268           24
0.003800           142           92      201     146           202           85         176      138          159         269           24
0.004000           142           92      204     146           202           85         177      140          159         269           24
0.004200           144           92      205     146           203           85         178      140          159         269           24
0.004400           144           92      205     146           204           85         179      142          159         270           24
0.004600           144           92      206     146           205           85         181      142          159         270           24
0.004800           145           92      206     146           206           85         181      142          159         270           24
0.005001           145           92      206     146           206           86         181      143          159         270           24
0.005201           145           92      206     146           206           86         181      143          159         270           24
0.005401           145           92      207     146           206           86         182      143          159         270           24
0.005601           145           92      207     146           206           86         184      143          159         270           24
0.005801           145           92      207     146           206           86         185      143          159         270           24
0.006001           145           92      207     146           206           86         185      143          159         270           24
0.006201           145           92      207     147           206           86         185      143          160         270           24
0.006401           145           92      207     147           206           86         185      143          160         270           24
0.006601           145           92      207     147           206           86         185      143          160         270           24
0.006801           145           92      207     147           206           86         185      143          160         270           24
0.007001           145           92      207     147           206           86         186      143          160         270           24
0.007201           145           92      207     147           206           86         186      143          161         271           24
0.007401           145           92      207     147           206           86         186      144          161         271           24
0.007601           145           92      207     147           206           86         186      144          161         271           24
0.007801           145           92      207     147           206           86         186      144          161         271           24
0.008001           145           92      207     147           206           86         186      144          161         271           24
0.008201           145           92      207     147           206           86         186      144          161         271           24
0.008401           145           92      207     148           206           86         186      144          161         271           24
