                            Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
autocorr_bern20-03                1.0                       20.0                1.0              21.0                       20.0               21.0     -7.200000e+01   -7.200000e+01  False           
autocorr_bern25-03                1.0                       25.0                1.0              26.0                       25.0               26.0     -9.200000e+01   -9.200000e+01  False           
blend029                         -1.0                       36.0              214.0             543.0                       64.0              103.0      1.335940e+01    1.335940e+01  False           
blend146                         -1.0                       87.0              625.0            1722.0                      256.0              223.0      4.529657e+01    4.604289e+01  False           
blend480                         -1.0                      124.0              885.0            2469.0                      376.0              313.0      9.226600e+00    9.226610e+00  False           
blend531                         -1.0                      104.0              737.0            2107.0                      358.0              273.0      2.003900e+01    2.055328e+01  False           
blend721                         -1.0                       87.0              628.0            1766.0                      256.0              223.0      1.352680e+01    1.352680e+01  False           
blend852                         -1.0                      120.0              861.0            2413.0                      376.0              305.0      5.396270e+01    5.396270e+01  False           
carton7                           1.0                      256.0              688.0            3980.0                      678.0              329.0      1.917295e+02    1.917295e+02  False           
crudeoil_lee1_05                 -1.0                       40.0             1241.0            4787.0                      640.0              536.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_06                 -1.0                       48.0             1504.0            6335.0                      768.0              643.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_07                 -1.0                       56.0             1777.0            8125.0                      896.0              750.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_08                 -1.0                       64.0             2060.0           10177.0                     1024.0              857.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_09                 -1.0                       72.0             2353.0           12511.0                     1152.0              964.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_10                 -1.0                       80.0             2656.0           15147.0                     1280.0             1071.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee2_05                 -1.0                       70.0             2582.0           11074.0                     1680.0             1156.0      9.616988e+01    9.616988e+01  False           
crudeoil_lee2_06                 -1.0                       84.0             3118.0           14545.0                     2016.0             1387.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_07                 -1.0                       98.0             3671.0           18520.0                     2352.0             1618.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_08                 -1.0                      112.0             4241.0           23037.0                     2688.0             1849.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_09                 -1.0                      126.0             4828.0           28134.0                     3024.0             2080.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_10                 -1.0                      140.0             5432.0           33849.0                     3360.0             2311.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee3_05                 -1.0                       70.0             2787.0           11959.0                     1960.0             1281.0      8.544891e+01    8.544891e+01  False           
