Absolute performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
            couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.005000               3            0        0       0             5            0          25        4            0          25            0
0.096009               8            8       14      30            10            6          26        8           17          34            5
0.187017               9           18       17      34            14           10          26       10           28          37            6
0.278026              10           23       17      45            16           10          26       14           33          49            6
0.369034              11           26       20      56            16           10          26       18           35          61            6
0.460043              11           27       24      68            16           12          26       20           50          75            7
0.551052              11           28       28      73            18           12          26       24           56          78            7
0.642060              11           30       30      75            21           12          26       24           65          80            7
0.733069              12           31       30      77            22           14          26       26           68          81            9
0.824077              13           31       30      77            24           15          26       26           69          81            9
0.915086              13           31       30      79            26           15          26       28           70          83            9
1.006095              13           31       31      80            26           16          34       28           71          84           10
1.097103              14           32       32      80            27           18          39       28           73          86           10
1.188112              15           33       32      82            28           20          39       28           74          87           11
1.279120              17           34       32      82            28           20          39       29           75          88           11
1.370129              18           34       34      86            29           20          39       29           78          92           11
1.461138              18           34       36      87            31           20          39       29           78          93           12
1.552146              18           34       37      88            32           20          39       29           78          93           13
1.643155              18           34       37      89            33           20          39       29           81          94           13
1.734163              18           35       38      89            34           20          39       29           82          94           13
1.825172              18           36       38      92            34           20          39       29           83          97           13
1.916181              19           38       39      93            35           21          39       29           83          98           13
2.007189              20           39       39      94            35           21          42       30           84          98           14
2.098198              21           39       39      94            35           23          45       30           84          98           15
2.189206              21           39       40      94            35           23          45       30           85          98           15
2.280215              22           40       40      94            35           23          45       30           86          99           15
2.371224              22           40       41      94            35           23          45       30           88          99           15
2.462232              22           40       42      94            35           23          45       30           89          99           15
2.553241              22           40       42      95            36           23          45       30           90          99           15
2.644249              22           43       43      97            36           23          45       32           92         101           15
2.735258              22           44       43      97            37           23          45       32           92         101           15
2.826267              23           44       43      97            37           23          45       32           92         101           15
2.917275              23           44       43      97            37           23          45       32           92         101           15
3.008284              23           44       43      97            37           23          45       33           93         102           15
3.099292              23           44       43      97            38           23          46       33           93         102           15
3.190301              23           45       44      98            39           23          46       33           93         103           15
3.281310              23           46       44      98            39           23          46       33           96         103           15
3.372318              24           46       44      99            39           24          46       34           96         103           15
3.463327              25           48       45      99            39           24          46       35           97         103           16
3.554335              25           48       45      99            40           24          46       35           97         103           16
3.645344              25           48       45      99            41           25          46       35           97         103           17
3.736353              25           48       45      99            41           25          46       35           97         103           17
3.827361              25           49       45      99            42           25          46       35           98         104           17
3.918370              25           49       46      99            43           25          46       35           98         104           17
4.009378              25           49       48      99            43           25          46       35           98         104           17
4.100387              25           49       48     100            43           25          46       35           98         104           17
4.191396              25           50       50     100            44           25          47       35           99         104           17
4.282404              25           51       50     100            44           25          47       35           99         104           17
4.373413              25           51       50     100            44           25          47       35           99         104           17
4.464421              25           51       50     101            45           25          47       35          100         104           17
4.555430              25           51       50     102            45           25          47       35          100         105           17
4.646439              25           51       50     102            45           25          47       35          100         105           17
4.737447              25           51       50     102            45           25          47       35          100         105           17
4.828456              25           51       50     102            46           26          47       35          100         105           17
4.919464              26           52       50     102            47           26          47       35          100         105           17
5.010473              26           52       50     102            47           26          48       35          101         105           17
5.101482              26           52       50     102            47           26          49       35          101         105           17
5.192490              26           53       50     102            48           26          49       35          101         105           17
5.283499              26           53       50     103            48           26          49       35          101         106           17
5.374507              26           53       50     103            48           26          49       35          102         106           17
5.465516              27           53       50     103            48           26          49       35          102         106           17
5.556525              27           53       50     103            48           26          49       35          102         106           17
5.647533              27           53       51     103            49           26          49       36          102         106           17
5.738542              27           53       51     103            49           26          49       36          102         106           17
5.829550              28           53       53     103            49           26          49       36          102         106           17
5.920559              29           53       54     103            49           26          49       36          102         106           17
6.011568              29           54       57     103            49           26          50       36          102         106           17
6.102576              29           54       57     103            49           26          51       36          102         106           17
6.193585              29           54       57     103            49           27          51       36          102         106           17
6.284593              29           54       57     103            49           27          51       36          102         106           17
6.375602              29           54       58     103            49           27          51       36          102         106           17
6.466611              29           54       58     103            49           27          51       36          102         106           17
6.557619              29           54       58     103            49           28          51       36          102         106           17
6.648628              29           55       58     103            49           29          51       36          102         106           18
6.739636              29           55       58     103            49           29          51       36          102         106           18
6.830645              29           55       59     103            49           30          51       36          103         106           19
6.921654              29           55       59     103            49           30          51       36          103         106           19
7.012662              29           55       59     103            49           30          51       36          103         106           19
7.103671              29           55       59     103            49           30          51       36          103         106           19
7.194679              30           55       59     103            49           30          51       36          103         106           20
7.285688              30           55       59     103            49           30          51       36          103         106           20
7.376697              30           55       59     103            49           31          51       36          103         106           20
7.467705              30           56       59     103            49           31          51       36          104         106           20
7.558714              30           56       59     103            50           31          51       36          104         106           20
7.649722              30           56       60     103            50           31          51       36          104         106           20
7.740731              30           57       60     103            50           31          51       36          104         106           20
7.831740              30           57       60     104            50           31          51       36          104         107           20
7.922748              30           58       60     104            51           31          51       37          104         107           20
8.013757              30           59       60     104            51           31          52       37          104         107           20
8.104765              30           59       60     104            51           31          53       37          104         107           20
8.195774              30           59       60     104            51           31          53       37          104         107           20
8.286783              30           59       60     104            51           31          53       37          104         107           20
8.377791              30           60       60     104            51           31          53       37          104         107           20
8.468800              30           60       60     104            51           31          53       37          104         107           20
8.559808              30           60       60     104            52           31          53       37          104         107           20
8.650817              30           60       60     104            52           31          53       37          104         107           20
8.741826              30           60       60     104            52           31          53       37          104         107           20
8.832834              30           60       61     104            52           31          53       37          104         107           20
8.923843              30           60       62     104            52           31          53       37          104         107           20
9.014851              30           60       62     104            52           32          54       37          104         107           20
9.105860              30           60       62     105            53           32          54       37          104         108           20
9.196869              30           60       62     105            53           33          54       37          104         108           21
9.287877              30           60       62     105            53           33          54       37          104         108           21
9.378886              30           60       62     105            53           33          54       37          104         108           21
9.469894              30           60       62     105            53           33          54       37          104         108           21
9.560903              30           61       62     105            53           33          54       37          104         108           21
9.651912              30           61       63     105            53           33          54       37          105         108           21
9.742920              30           61       63     105            54           33          54       37          106         108           21
9.833929              30           61       63     105            54           33          54       37          106         108           21
9.924937              30           62       63     105            54           34          54       38          106         108           21
10.015946             30           62       63     105            54           34          54       38          106         108           21
10.106955             30           62       64     105            54           34          54       38          106         108           21
10.197963             30           62       64     105            54           34          54       38          106         108           21
10.288972             30           63       64     105            54           34          54       38          106         108           21
10.379980             30           63       64     105            54           34          54       38          106         108           21
10.470989             30           63       64     105            54           34          54       38          106         108           21
10.561998             30           63       64     105            54           34          54       38          106         108           21
10.653006             30           63       64     105            54           34          54       38          106         108           21
10.744015             30           63       64     105            54           35          54       38          106         108           21
10.835024             30           63       65     105            54           36          54       38          106         108           21
10.926032             30           63       65     105            54           40          54       38          106         108           21
11.017041             30           63       66     105            54           40          54       38          106         108           21
11.108049             30           63       67     105            54           46          55       38          106         108           21
11.199058             30           63       67     105            54           51          55       38          106         108           21
11.290067             30           63       67     105            54           55          55       38          106         108           21
11.381075             30           63       67     105            54           60          55       38          106         108           21
11.472084             30           63       68     105            54           60          55       38          106         108           21
11.563092             31           63       68     105            54           62          55       38          106         108           22
11.654101             31           63       68     105            54           63          55       38          106         108           22
11.745110             31           63       68     105            54           63          55       38          106         108           22
11.836118             31           63       68     105            54           63          55       38          106         108           22
11.927127             31           63       68     105            54           63          55       38          106         108           22
12.018135             31           63       68     105            55           63          55       38          106         108           22
12.109144             31           63       68     105            55           63          55       38          106         108           22
12.200153             31           63       69     105            55           63          55       38          106         108           22
12.291161             31           64       69     105            55           63          55       38          106         108           22
12.382170             31           64       69     105            55           63          55       38          106         108           22
12.473178             31           64       69     105            55           63          55       38          106         108           22
12.564187             31           64       69     105            55           63          55       38          106         108           22
12.655196             31           64       69     105            56           63          55       38          106         108           22
12.746204             31           65       69     105            56           63          55       38          106         108           22
12.837213             31           65       69     105            56           64          55       38          106         108           22
12.928221             31           65       69     105            57           64          55       38          106         108           22
13.019230             31           66       69     105            57           64          55       38          106         108           22
13.110239             31           66       69     105            57           64          55       38          106         108           22
13.201247             31           66       69     105            57           64          55       38          106         108           22
13.292256             31           67       69     105            57           64          55       38          106         108           22
13.383264             31           67       70     105            58           64          55       38          106         108           22
13.474273             31           67       70     105            58           64          55       38          106         108           22
13.565282             31           67       70     105            58           64          55       38          106         108           22
13.656290             31           67       70     105            58           64          55       38          106         108           22
13.747299             31           67       70     105            58           64          55       38          106         108           22
13.838307             31           67       71     105            58           64          55       38          106         108           22
13.929316             31           67       71     105            58           64          55       38          107         109           22
14.020325             31           68       73     106            58           64          57       38          107         111           22
14.111333             32           68       73     106            59           64          57       38          107         111           22
14.202342             32           68       73     106            59           64          57       38          107         111           22
14.293350             32           68       73     106            59           64          57       38          107         111           22
14.384359             32           68       73     106            59           64          57       38          107         111           22
14.475368             32           68       73     106            59           64          57       38          107         111           22
14.566376             32           69       73     106            60           64          57       38          107         111           22
14.657385             32           69       73     106            60           64          57       38          107         111           22
14.748393             32           69       74     106            60           64          57       38          107         111           22
14.839402             32           69       74     106            60           64          57       38          107         111           22
14.930411             32           69       74     106            60           64          57       38          107         111           22
15.021419             32           69       74     106            60           65          57       38          107         111           22
15.112428             32           70       75     106            60           65          57       38          107         111           22
15.203436             32           71       75     106            60           65          57       38          107         111           22
15.294445             32           72       75     106            60           65          57       38          107         111           22
15.385454             32           72       75     106            60           65          57       38          107         111           22
15.476462             32           72       75     106            60           65          57       38          107         111           22
15.567471             32           72       75     106            60           67          57       38          107         111           22
15.658479             32           72       76     106            60           67          57       38          107         111           22
15.749488             32           72       77     106            60           67          57       38          107         111           22
15.840497             32           72       77     106            60           68          57       38          107         111           22
15.931505             32           72       78     106            60           68          57       38          107         111           22
16.022514             32           72       79     106            60           68          57       38          107         111           22
16.113522             32           72       79     106            60           68          57       38          107         111           22
16.204531             32           73       80     106            60           68          57       38          107         111           22
16.295540             32           73       80     106            60           68          57       38          107         111           22
16.386548             32           73       80     106            60           68          57       38          107         111           22
16.477557             32           73       80     106            60           68          57       38          107         111           22
16.568565             32           73       80     106            60           68          57       38          107         111           22
16.659574             32           73       80     106            60           68          57       39          107         111           22
16.750583             32           73       80     106            60           68          57       39          107         111           22
16.841591             32           75       81     106            60           68          57       39          107         111           22
16.932600             32           75       81     106            60           68          57       39          107         111           22
17.023608             32           76       81     106            60           68          58       39          107         111           22
17.114617             32           77       81     106            60           68          58       39          107         111           22
17.205626             32           77       81     106            61           68          58       39          107         111           22
17.296634             32           78       81     106            61           68          58       39          107         111           22
17.387643             32           78       81     106            61           68          58       39          107         111           22
17.478651             32           79       81     106            61           68          58       39          107         111           22
17.569660             32           80       81     106            61           68          58       39          107         111           22
17.660669             32           80       81     106            61           68          58       39          107         111           22
17.751677             32           80       81     106            61           68          58       39          107         111           22
