Relative performance profile for SolverTime
Filter: no fail
              couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000                 3           26        7      79             7            9          30       11           22         182            0
1.001125                 3           27        8      80             7            9          30       11           23         182            0
1.002250                 3           27        8      80             7            9          31       12           23         182            0
1.003377                 3           27        8      81             7            9          31       12           23         182            0
1.004506                 3           27        8      81             7           10          31       12           23         182            0
1.005635                 3           27        8      82             7           10          31       12           23         182            0
1.006766                 3           27        8      82             7           10          31       12           23         182            0
1.007898                 3           27        8      82             7           10          31       12           23         182            0
1.009032                 3           27        8      82             7           10          31       12           23         182            0
1.010167                 3           27        8      82             7           10          31       12           24         182            0
1.011303                 4           27        8      82             7           10          31       12           24         182            1
1.012440                 4           27        8      82             7           10          31       12           24         182            1
1.013578                 4           27        8      83             7           10          31       12           24         182            1
1.014718                 4           27        8      83             7           10          31       12           24         182            1
1.015859                 4           27        8      83             7           10          31       12           24         182            1
1.017002                 4           27        8      83             7           10          31       12           24         182            1
1.018145                 4           27        8      83             7           10          31       12           24         182            1
1.019290                 4           27        8      83             7           10          31       12           24         182            1
1.020436                 4           27        9      83             7           10          31       12           24         182            1
1.021584                 4           27        9      83             7           10          31       12           24         182            1
1.022733                 4           27        9      83             7           10          31       12           24         182            1
1.023883                 4           27        9      83             7           10          31       12           24         182            1
1.025034                 4           27        9      83             7           10          31       12           24         182            1
1.026187                 4           27        9      83             7           10          31       12           24         182            1
1.027341                 4           27        9      83             7           10          31       12           24         182            1
1.028496                 4           27        9      83             7           10          31       12           24         182            1
1.029653                 4           27        9      83             7           10          31       12           24         182            1
1.030811                 4           27        9      83             7           10          31       12           25         182            1
1.031970                 4           27        9      84             7           10          31       12           25         182            1
1.033130                 4           27        9      84             7           10          31       12           25         182            1
1.034292                 4           27        9      84             7           10          31       12           25         182            1
1.035455                 4           27        9      84             7           10          31       12           25         182            1
