Relative performance profile for SolverTime
Filter: gap <= 1.0% and not failed
              couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000                 3            2        8      87             8            0          31       13           26         166            0
1.001125                 3            2        9      87             9            0          32       15           26         166            0
1.002250                 3            2        9      87             9            0          32       15           28         166            0
1.003377                 3            2        9      89             9            0          32       15           28         166            0
1.004506                 4            2        9      89             9            0          33       15           28         166            0
1.005635                 4            2        9      90             9            0          33       15           28         166            0
1.006766                 4            2        9      90             9            0          33       15           28         166            0
1.007898                 4            2        9      90             9            0          33       15           28         166            0
1.009032                 4            2        9      90             9            0          33       15           28         166            0
1.010167                 4            2        9      90             9            0          33       15           29         166            0
1.011303                 4            2        9      90             9            0          33       15           29         166            0
1.012440                 4            2        9      90             9            0          33       15           29         166            0
1.013578                 4            2        9      91             9            0          33       15           29         166            0
1.014718                 4            2        9      91             9            0          33       15           29         166            0
1.015859                 4            2        9      91             9            0          33       15           29         166            0
1.017002                 4            2        9      91             9            0          33       15           29         166            0
1.018145                 4            2        9      91             9            0          33       15           29         166            0
1.019290                 4            2        9      91             9            0          33       15           29         166            0
1.020436                 4            2       10      91             9            0          33       15           29         166            0
1.021584                 4            2       10      91             9            0          33       15           29         166            0
1.022733                 4            2       10      91             9            0          33       15           29         166            0
1.023883                 4            2       10      91             9            0          33       15           29         166            0
1.025034                 4            2       10      91             9            0          33       15           29         166            0
1.026187                 4            2       10      91             9            0          33       15           29         166            0
1.027341                 4            2       10      91             9            0          33       15           29         166            0
1.028496                 4            2       10      91             9            0          33       15           29         166            0
1.029653                 4            2       10      91             9            0          33       15           29         166            0
1.030811                 4            2       10      91             9            0          33       15           30         166            0
1.031970                 4            2       10      92             9            0          33       15           30         166            0
1.033130                 4            2       10      92             9            0          33       15           30         166            0
1.034292                 4            2       10      92             9            0          33       15           30         166            0
1.035455                 4            2       10      92             9            0          33       15           30         166            0
1.036620                 4            2       10      92             9            0          33       15           30         166            0
1.037786                 4            2       10      92             9            0          33       15           30         166            0
1.038953                 4            2       10      92             9            0          33       15           30         166            0
1.040121                 4            2       10      92             9            0          33       15           30         166            0
1.041291                 4            2       10      92             9            0          33       15           30         166            0
1.042462                 4            2       10      92             9            0          33       15           30         166            0
1.043634                 4            2       10      92             9            0          33       15           30         166            0
1.044807                 4            2       10      92             9            0          33       15           30         166            0
1.045982                 4            2       10      92             9            0          33       15           30         166            0
1.047159                 4            2       10      92             9            0          33       15           30         166            0
1.048336                 4            2       10      92             9            0          33       15           30         166            0
1.049515                 4            2       10      92             9            0          33       15           32         166            0
1.050695                 4            2       10      92             9            0          33       15           32         166            0
1.051877                 4            2       10      92             9            0          33       15           32         166            0
1.053060                 4            2       10      92             9            0          33       15           32         166            0
1.054244                 4            2       10      92             9            0          33       15           32         166            0
1.055430                 4            2       10      92             9            0          33       15           32         166            0
1.056616                 4            2       10      92             9            0          33       15           32         166            0
1.057805                 4            2       10      92             9            0          33       15           32         166            0
1.058994                 4            2       10      92             9            0          33       15           32         166            0
1.060185                 4            2       10      92             9            0          33       15           32         166            0
1.061377                 4            2       10      92             9            0          33       15           32         166            0
1.062571                 4            2       10      92             9            0          33       15           32         166            0
1.063766                 4            2       10      92             9            0          33       15           32         166            0
1.064962                 4            2       10      92             9            0          33       15           32         166            0
1.066160                 4            2       10      92             9            0          33       15           32         166            0
1.067359                 4            2       10      92             9            0          33       15           32         166            0
1.068559                 4            2       10      93             9            0          33       15           32         166            0
1.069760                 4            2       10      93             9            0          33       15           32         166            0
1.070963                 4            2       10      93             9            0          33       15           32         166            0
1.072168                 4            2       10      93             9            0          33       15           33         166            0
1.073374                 4            2       10      93             9            0          33       15           34         166            0
1.074581                 4            2       10      94             9            0          33       15           34         166            0
1.075789                 4            2       10      94             9            0          33       15           34         166            0
1.076999                 4            2       10      94             9            0          33       15           34         166            0
1.078210                 4            2       10      95             9            0          33       15           34         166            0
1.079422                 4            2       10      95             9            0          33       15           35         166            0
1.080636                 4            2       10      95             9            0          33       15           35         166            0
1.081851                 4            2       10      95             9            0          33       15           35         166            0
1.083068                 4            2       10      96             9            0          33       15           36         166            0
1.084286                 4            2       10      96             9            0          33       15           36         166            0
1.085505                 4            2       10      96             9            0          33       15           36         166            0
1.086726                 4            2       10      96             9            0          33       15           36         166            0
1.087948                 4            2       10      96             9            0          33       15           36         166            0
1.089172                 4            2       10      96             9            0          33       15           36         166            0
1.090396                 4            2       10      96             9            0          33       15           36         166            0
1.091623                 4            2       10      96             9            0          33       15           36         166            0
1.092850                 4            2       10      96             9            0          33       15           36         166            0
1.094079                 4            2       10      96             9            0          33       15           36         166            0
1.095309                 4            2       10      96             9            0          33       15           36         166            0
1.096541                 4            2       10      96             9            0          33       15           36         166            0
1.097774                 4            2       10      96             9            0          33       15           36         166            0
1.099009                 4            2       10      96             9            0          33       15           36         166            0
1.100245                 4            2       10      96             9            0          33       15           36         166            0
1.101482                 4            2       10      96             9            0          33       15           36         166            0
1.102721                 4            2       10      96             9            0          33       15           36         166            0
1.103961                 4            2       10      96             9            0          33       15           36         166            0
1.105202                 4            2       10      96             9            0          33       15           36         166            0
1.106445                 4            2       10      96             9            0          33       15           37         166            0
1.107689                 4            2       10      96             9            0          33       15           37         166            0
1.108935                 4            2       10      96             9            0          33       15           37         166            0
1.110182                 4            2       10      96             9            0          33       15           37         166            0
1.111430                 4            2       10      96             9            0          33       15           37         166            0
1.112680                 4            2       10      96             9            0          33       15           37         166            0
1.113932                 4            2       10      96             9            0          33       15           37         166            0
1.115184                 4            2       10      96             9            0          33       15           37         166            0
1.116438                 4            2       10      96             9            0          33       15           37         166            0
1.117694                 4            2       10      96             9            0          33       15           37         166            0
1.118951                 4            2       10      96             9            0          33       15           37         166            0
1.120209                 4            2       10      97             9            0          33       15           37         166            0
1.121469                 4            2       10      97             9            0          33       15           37         166            0
1.122730                 4            2       10      97             9            0          33       15           38         166            0
1.123992                 4            2       10      97             9            0          33       15           38         166            0
1.125256                 4            2       10      97             9            0          33       15           38         166            0
1.126522                 4            2       10      97             9            0          33       15           38         166            0
1.127789                 4            2       10      97             9            0          33       15           38         166            0
1.129057                 4            2       10      97             9            0          33       15           38         166            0
1.130326                 4            2       10      97             9            0          33       15           38         166            0
1.131598                 4            2       10      97             9            0          33       15           38         166            0
1.132870                 4            2       10      98             9            0          33       15           38         166            0
1.134144                 4            2       10      98             9            0          33       15           38         166            0
1.135419                 4            2       10      98             9            0          33       15           38         166            0
1.136696                 4            2       11      98             9            0          33       15           38         166            0
1.137975                 4            2       11      98             9            0          33       15           38         166            0
1.139254                 4            2       11      98             9            0          33       15           38         166            0
1.140535                 4            2       11      98             9            0          33       15           38         166            0
1.141818                 4            2       11      98             9            0          33       15           38         166            0
1.143102                 4            2       11      98             9            0          33       15           38         166            0
1.144388                 4            2       11      99             9            0          33       15           38         166            0
1.145674                 4            2       11      99             9            0          33       15           38         166            0
1.146963                 4            2       11      99             9            0          33       15           38         166            0
1.148253                 4            2       11      99             9            0          33       15           38         166            0
1.149544                 4            2       11      99             9            0          33       15           38         166            0
1.150837                 4            2       11      99             9            0          33       15           38         166            0
1.152131                 4            2       11      99             9            0          33       15           38         166            0
1.153426                 4            2       11      99             9            0          33       15           38         166            0
1.154723                 4            2       11      99             9            0          33       15           38         166            0
1.156022                 4            2       11      99             9            0          33       15           38         166            0
1.157322                 4            2       11      99             9            0          33       15           38         166            0
1.158623                 4            2       11      99             9            0          33       15           38         166            0
1.159926                 4            2       11      99             9            0          33       15           38         166            0
1.161231                 4            2       11      99             9            0          34       15           38         166            0
1.162537                 4            2       11      99             9            0          34       15           38         166            0
1.163844                 4            2       11      99             9            0          34       15           38         166            0
1.165153                 4            2       11      99             9            0          34       15           38         166            0
1.166463                 4            2       11     100             9            0          34       15           39         166            0
1.167775                 4            2       11     100             9            0          34       15           39         166            0
1.169088                 4            2       11     101             9            0          34       15           39         166            0
1.170403                 4            2       11     101             9            0          34       15           39         166            0
1.171719                 4            2       11     101             9            0          34       15           39         166            0
1.173036                 4            2       11     101             9            0          34       15           39         166            0
1.174356                 4            2       11     101             9            0          34       15           39         166            0
1.175676                 4            2       11     101             9            0          34       15           39         166            0
1.176998                 4            2       11     101             9            0          34       15           39         166            0
1.178322                 4            2       11     101             9            0          34       15           39         166            0
1.179647                 4            2       11     101             9            0          34       15           39         166            0
1.180974                 4            2       11     102             9            0          34       15           39         166            0
1.182302                 4            2       11     102             9            0          34       15           39         166            0
1.183631                 4            2       11     102             9            0          34       15           39         166            0
1.184962                 4            2       11     102             9            0          34       15           39         166            0
1.186295                 4            2       11     102             9            0          34       15           39         166            0
1.187629                 4            2       11     103             9            0          34       15           39         166            0
1.188964                 4            2       11     103             9            0          34       15           39         166            0
1.190301                 4            2       11     103             9            0          34       15           39         166            0
1.191640                 4            2       11     103             9            0          35       15           39         166            0
1.192980                 4            2       11     103             9            0          35       15           39         166            0
1.194322                 4            2       11     103             9            0          35       15           39         166            0
1.195665                 4            2       11     103             9            0          35       15           39         166            0
1.197009                 4            2       11     103             9            0          35       15           39         166            0
1.198355                 4            2       11     103             9            0          35       15           39         166            0
1.199703                 4            2       11     103             9            0          35       15           39         166            0
1.201052                 4            2       11     103             9            0          35       15           39         166            0
1.202403                 4            2       11     103             9            0          35       15           39         166            0
