Relative performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
              couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000                 3            1        8      64             5            0          28        7           14         118            0
1.001125                 3            1        8      64             5            0          29        7           14         118            0
1.002250                 3            1        8      65             5            0          29        7           15         118            0
1.003377                 3            1        8      66             5            0          29        7           15         118            0
1.004506                 3            1        8      66             5            0          29        7           15         118            0
1.005635                 3            1        8      67             5            0          29        7           15         118            0
1.006766                 3            1        8      67             5            0          29        7           15         118            0
1.007898                 3            1        8      67             5            0          29        7           15         118            0
1.009032                 3            1        8      67             5            0          29        7           15         118            0
1.010167                 3            1        8      67             5            0          29        7           15         118            0
1.011303                 3            1        8      67             5            0          29        7           15         118            0
1.012440                 3            1        8      67             5            0          29        7           15         118            0
1.013578                 3            1        8      68             5            0          29        7           15         118            0
1.014718                 3            1        8      68             5            0          29        7           15         118            0
1.015859                 3            1        8      68             5            0          29        7           15         118            0
1.017002                 3            1        8      68             5            0          29        7           15         118            0
1.018145                 3            1        8      68             5            0          29        7           15         118            0
1.019290                 3            1        8      68             5            0          29        7           15         118            0
1.020436                 3            1        8      68             5            0          29        7           15         118            0
1.021584                 3            1        8      68             5            0          29        7           15         118            0
1.022733                 3            1        8      68             5            0          29        7           15         118            0
1.023883                 3            1        8      68             5            0          29        7           15         118            0
1.025034                 3            1        8      68             5            0          29        7           15         118            0
1.026187                 3            1        8      68             5            0          29        7           15         118            0
1.027341                 3            1        8      68             5            0          29        7           15         118            0
1.028496                 3            1        8      68             5            0          29        7           15         118            0
1.029653                 3            1        8      68             5            0          29        7           15         118            0
1.030811                 3            1        8      68             5            0          29        7           15         118            0
1.031970                 3            1        8      69             5            0          29        7           15         118            0
1.033130                 3            1        8      69             5            0          29        7           15         118            0
1.034292                 3            1        8      69             5            0          29        7           15         118            0
1.035455                 3            1        8      69             5            0          29        7           15         118            0
1.036620                 3            1        8      69             5            0          29        7           15         118            0
1.037786                 3            1        8      69             5            0          29        7           15         118            0
1.038953                 3            1        8      69             5            0          29        7           15         118            0
1.040121                 3            1        8      69             5            0          29        7           15         118            0
1.041291                 3            1        8      69             5            0          29        7           15         118            0
1.042462                 3            1        8      69             5            0          29        7           15         118            0
1.043634                 3            1        8      69             5            0          29        7           15         118            0
1.044807                 3            1        8      69             5            0          29        7           15         118            0
1.045982                 3            1        8      69             5            0          29        7           15         118            0
1.047159                 3            1        8      69             5            0          29        7           15         118            0
1.048336                 3            1        8      69             5            0          29        7           15         118            0
1.049515                 3            1        8      69             5            0          29        7           17         118            0
1.050695                 3            1        8      69             5            0          29        7           17         118            0
1.051877                 3            1        8      69             5            0          29        7           17         118            0
1.053060                 3            1        8      69             5            0          29        7           17         118            0
1.054244                 3            1        8      69             5            0          29        7           17         118            0
1.055430                 3            1        8      69             5            0          29        7           17         118            0
1.056616                 3            1        8      69             5            0          29        7           17         118            0
1.057805                 3            1        8      69             5            0          29        7           17         118            0
1.058994                 3            1        8      69             5            0          29        7           17         118            0
1.060185                 3            1        8      69             5            0          29        7           17         118            0
1.061377                 3            1        8      69             5            0          29        7           17         118            0
1.062571                 3            1        8      69             5            0          29        7           17         118            0
1.063766                 3            1        8      69             5            0          29        7           17         118            0
1.064962                 3            1        8      69             5            0          29        7           17         118            0
1.066160                 3            1        8      69             5            0          29        7           17         118            0
1.067359                 3            1        8      69             5            0          29        7           17         118            0
1.068559                 3            1        8      70             5            0          29        7           17         118            0
1.069760                 3            1        8      70             5            0          29        7           17         118            0
1.070963                 3            1        8      70             5            0          29        7           17         118            0
1.072168                 3            1        8      70             5            0          29        7           18         118            0
1.073374                 3            1        8      70             5            0          29        7           18         118            0
1.074581                 3            1        8      71             5            0          29        7           18         118            0
1.075789                 3            1        8      71             5            0          29        7           18         118            0
1.076999                 3            1        8      71             5            0          29        7           18         118            0
1.078210                 3            1        8      72             5            0          29        7           18         118            0
1.079422                 3            1        8      72             5            0          29        7           18         118            0
1.080636                 3            1        8      72             5            0          29        7           18         118            0
1.081851                 3            1        8      72             5            0          29        7           18         118            0
1.083068                 3            1        8      72             5            0          29        7           19         118            0
1.084286                 3            1        8      72             5            0          29        7           19         118            0
1.085505                 3            1        8      72             5            0          29        7           19         118            0
1.086726                 3            1        8      72             5            0          29        7           19         118            0
1.087948                 3            1        8      72             5            0          29        7           19         118            0
1.089172                 3            1        8      72             5            0          29        7           19         118            0
1.090396                 3            1        8      72             5            0          29        7           19         118            0
1.091623                 3            1        8      72             5            0          29        7           19         118            0
1.092850                 3            1        8      72             5            0          29        7           19         118            0
1.094079                 3            1        8      72             5            0          29        7           19         118            0
1.095309                 3            1        8      72             5            0          29        7           19         118            0
1.096541                 3            1        8      72             5            0          29        7           19         118            0
1.097774                 3            1        8      72             5            0          29        7           19         118            0
1.099009                 3            1        8      72             5            0          29        7           19         118            0
1.100245                 3            1        8      72             5            0          29        7           19         118            0
1.101482                 3            1        8      72             5            0          29        7           19         118            0
1.102721                 3            1        8      72             5            0          29        7           19         118            0
1.103961                 3            1        8      72             5            0          29        7           19         118            0
1.105202                 3            1        8      72             5            0          29        7           19         118            0
1.106445                 3            1        8      72             5            0          29        7           20         118            0
1.107689                 3            1        8      72             5            0          29        7           20         118            0
1.108935                 3            1        8      72             5            0          29        7           20         118            0
1.110182                 3            1        8      72             5            0          29        7           20         118            0
1.111430                 3            1        8      72             5            0          29        7           20         118            0
1.112680                 3            1        8      72             5            0          29        7           20         118            0
1.113932                 3            1        8      72             5            0          29        7           20         118            0
1.115184                 3            1        8      72             5            0          29        7           20         118            0
1.116438                 3            1        8      72             5            0          29        7           20         118            0
1.117694                 3            1        8      72             5            0          29        7           20         118            0
1.118951                 3            1        8      72             5            0          29        7           20         118            0
1.120209                 3            1        8      72             5            0          29        7           20         118            0
1.121469                 3            1        8      72             5            0          29        7           20         118            0
1.122730                 3            1        8      72             5            0          29        7           20         118            0
1.123992                 3            1        8      72             5            0          29        7           20         118            0
