Absolute performance profile for Gap
Filter: no fail
          couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.000000            67           82       10      82            72           75           0       51          146         151            0
0.000200            68           82       12      96            82           75           0       59          146         154            0
0.000400            70           82       14      99            91           75           0       61          146         155            0
0.000600            71           82       14     109            92           75           0       65          146         156            0
0.000800            72           82       17     123            94           75           0       65          146         156            0
0.001000            78           82       73     141           112           75          42       70          146         160            1
0.001200            78           82      115     142           114           75         102       70          146         161           23
0.001400            78           82      115     144           114           75         103       70          146         162           23
0.001600            79           82      115     144           114           75         103       71          146         162           23
0.001800            79           82      115     145           114           75         104       71          146         162           23
0.002000            79           82      115     145           115           75         105       71          146         162           23
0.002200            79           82      115     146           117           75         105       71          146         162           23
0.002400            79           82      115     146           117           75         105       71          146         162           23
0.002600            79           82      115     146           117           75         105       71          146         162           23
0.002800            79           82      115     146           117           75         106       71          146         162           23
0.003000            79           82      115     146           119           75         106       71          146         163           23
0.003200            80           82      115     146           119           75         107       71          146         163           24
0.003400            80           82      116     146           119           75         108       71          146         163           24
0.003600            80           82      117     146           119           75         109       71          146         163           24
0.003800            80           82      117     146           119           75         109       71          146         163           24
0.004000            80           82      120     146           119           75         110       73          146         163           24
0.004200            82           82      121     146           119           75         111       73          146         163           24
0.004400            82           82      121     146           120           75         112       73          146         164           24
0.004600            82           82      122     146           121           75         113       73          146         164           24
0.004800            82           82      122     146           122           75         113       73          146         164           24
0.005001            82           82      122     146           122           76         113       73          146         164           24
0.005201            82           82      122     146           122           76         113       73          146         164           24
0.005401            82           82      123     146           122           76         114       73          146         164           24
0.005601            82           82      123     146           122           76         114       73          146         164           24
0.005801            82           82      123     146           122           76         114       73          146         164           24
0.006001            82           82      123     146           122           76         114       73          146         164           24
0.006201            82           82      123     147           122           76         114       73          147         164           24
0.006401            82           82      123     147           122           76         114       73          147         164           24
0.006601            82           82      123     147           122           76         114       73          147         164           24
0.006801            82           82      123     147           122           76         114       73          147         164           24
0.007001            82           82      123     147           122           76         115       73          147         164           24
0.007201            82           82      123     147           122           76         115       73          148         165           24
0.007401            82           82      123     147           122           76         115       73          148         165           24
0.007601            82           82      123     147           122           76         115       73          148         165           24
0.007801            82           82      123     147           122           76         115       73          148         165           24
0.008001            82           82      123     147           122           76         115       73          148         165           24
0.008201            82           82      123     147           122           76         115       73          148         165           24
0.008401            82           82      123     148           122           76         115       73          148         165           24
0.008601            82           82      123     148           122           76         115       73          148         165           24
0.008801            82           82      123     148           122           76         115       73          148         165           24
0.009001            82           82      123     148           122           76         115       73          148         165           24
0.009201            82           82      125     148           124           76         115       74          148         165           24
0.009401            83           82      125     148           124           76         116       74          148         165           24
0.009601            83           82      126     148           124           76         116       74          149         165           24
0.009801            83           82      126     148           124           76         116       74          149         165           24
0.010001            84           82      126     148           124           76         116       74          150         166           24
0.010201            85           82      126     148           124           76         116       74          150         166           24
0.010401            86           83      126     148           124           76         116       74          150         166           24
0.010601            86           83      126     148           124           76         116       74          150         166           24
0.010801            86           84      126     148           124           77         117       75          150         166           24
0.011001            86           84      127     148           124           77         118       75          150         166           24
0.011201            86           84      127     148           124           77         118       76          150         166           24
0.011401            86           84      127     148           125           77         119       76          150         166           24
0.011601            86           84      127     148           125           77         122       76          150         166           24
0.011801            86           84      127     148           125           77         122       76          150         166           24
0.012001            86           84      127     148           125           77         122       76          150         166           24
0.012201            86           84      128     150           125           77         123       76          150         168           24
0.012401            86           84      128     150           125           77         123       76          151         168           24
0.012601            86           84      128     150           125           77         123       76          151         168           24
