Absolute performance profile for PrimalGap
Filter: no fail
          couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.000000            78           70       81      80            88           75          80       47           84         102           26
0.000200            83           88       98     104           105           85         101       62          107         118           29
0.000400            84           90       99     104           106           85         101       63          108         118           31
0.000600            84           92      105     111           106           89         106       63          110         118           31
0.000800            84           93      106     112           106           89         106       64          113         118           31
0.001000            84           93      110     112           106           89         107       66          115         118           32
0.001200            84           93      110     112           106           89         108       66          115         118           32
0.001400            84           93      110     112           106           89         108       66          115         118           32
0.001600            84           93      110     112           106           89         108       66          115         118           32
0.001800            84           93      111     112           106           89         108       66          115         118           32
0.002000            84           93      112     112           106           89         108       66          115         118           32
0.002200            85           94      113     112           106           89         108       66          115         118           33
0.002400            85           94      113     112           107           89         108       66          115         118           33
0.002600            85           94      113     112           107           89         108       66          115         118           33
0.002800            85           94      113     112           107           89         108       66          115         118           33
0.003000            85           94      113     112           107           89         108       66          115         118           33
0.003200            85           94      113     112           107           89         108       66          115         118           33
0.003400            85           94      113     112           107           89         108       66          115         118           33
0.003600            85           94      113     112           107           89         108       66          115         118           33
0.003800            85           94      113     112           107           89         108       66          115         118           33
0.004000            85           94      113     112           107           89         108       66          115         118           33
0.004200            85           94      113     112           107           89         108       66          115         118           33
0.004400            86           94      113     112           107           89         108       66          115         118           33
0.004600            86           94      113     112           108           89         108       66          115         118           33
0.004800            86           94      113     112           109           89         108       66          115         118           33
0.005001            86           94      113     112           109           89         108       66          115         118           33
0.005201            86           94      113     112           109           89         108       66          115         118           33
0.005401            86           94      113     112           109           90         108       66          115         118           33
0.005601            86           94      113     112           109           90         108       66          115         118           33
0.005801            86           94      113     112           109           90         108       66          115         118           33
0.006001            86           94      113     112           109           90         108       66          115         118           33
0.006201            86           94      113     112           109           90         108       66          115         118           33
0.006401            86           94      113     112           109           90         108       66          115         118           33
0.006601            86           95      113     112           109           90         108       66          115         118           33
0.006801            86           95      113     112           109           91         108       66          115         118           34
0.007001            86           95      113     112           109           91         108       66          115         118           34
0.007201            86           95      113     112           109           91         109       66          115         118           34
0.007401            86           95      113     112           109           91         109       66          115         118           34
0.007601            86           95      113     112           109           91         109       66          115         118           34
0.007801            86           95      113     112           109           91         109       66          115         118           34
0.008001            86           95      113     112           109           91         109       66          115         118           34
0.008201            86           95      113     112           109           91         109       66          115         118           34
0.008401            86           95      113     112           109           91         109       66          115         118           34
0.008601            86           96      113     112           109           91         109       66          115         118           34
0.008801            86           96      113     112           109           91         109       66          115         118           34
0.009001            86           96      113     112           109           91         109       66          115         118           34
0.009201            86           96      113     112           109           91         109       66          115         118           34
0.009401            86           96      113     112           109           91         109       66          115         118           34
0.009601            86           96      113     112           109           91         109       66          115         118           34
0.009801            86           96      113     112           109           91         109       66          115         118           34
0.010001            86           96      113     112           109           91         109       66          115         118           34
0.010201            86           96      113     112           109           91         109       66          115         118           34
0.010401            86           96      113     112           109           91         109       66          115         118           34
0.010601            86           96      113     112           109           91         109       66          115         118           34
0.010801            86           96      113     112           109           91         109       66          115         118           34
0.011001            86           96      113     112           109           91         109       66          115         118           34
0.011201            86           96      113     112           109           91         109       67          115         118           34
0.011401            86           96      113     112           109           91         109       67          115         118           34
0.011601            86           96      113     112           109           91         109       67          115         118           34
0.011801            86           96      113     112           109           91         109       67          115         118           34
0.012001            86           96      114     112           109           91         109       67          115         118           34
0.012201            86           96      114     112           109           91         109       67          115         118           34
0.012401            86           96      114     112           109           92         109       67          115         118           34
0.012601            86           96      114     112           109           92         109       67          115         118           34
0.012801            87           96      114     112           109           92         109       67          115         118           35
