                           sbbNC  couenneNCcbc  SHOTcpx1910  baronNC   aecpNC  bbbNCcbc   gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
crudeoil_lee1_06           4.499       378.026    10.210415     2.31   13.564   910.000    0.252         1.846    10.908960     0.439       1.004  109.855     0.816288       0.252   910.000000
crudeoil_lee1_10          57.405       901.017    16.969345    10.80   28.920   615.007    0.672        12.618    40.765514     1.411       1.025  910.000     1.351000       0.672   910.000000
crudeoil_lee2_05          65.808        64.961    14.497016     6.31    4.235   894.998    0.389        12.854    10.672885     1.514       0.042  900.018     1.102020       0.042   900.018000
crudeoil_lee2_06         158.809       464.533     7.385545    16.20   21.643   375.621    0.498         7.837    15.539545     1.948       1.012  900.021     1.248595       0.498   900.021000
crudeoil_lee2_07         477.851       617.964    12.977277     5.94   20.859   310.816    0.913        14.025    19.952862     3.384       3.071  900.030     2.171674       0.913   900.030000
crudeoil_lee2_09         902.539       652.134    17.499537    21.54   20.722   405.245    3.163        70.729    30.001116     3.002       6.087  900.044     7.442929       3.002   902.539000
crudeoil_lee4_08         902.925       904.380    19.110251    37.86  453.998   571.745    1.311        64.396    23.354167    10.170       5.029  900.060     2.640491       1.311   904.380000
crudeoil_li06            910.000       900.010    58.801463    33.43  900.567   910.000   32.789       506.144   274.041634    71.223      52.004  900.174    73.089731      32.789   910.000000
crudeoil_li21            909.948       900.034   354.934309   900.00  900.507   379.813  900.214       900.001   568.943109    48.437     900.010  900.059   900.393271      48.437   909.948000
crudeoil_pooling_ct2       0.172       900.078     2.899595     1.91   74.246   904.662    1.682       900.005    64.113789     0.028       2.003  900.024     1.733229       0.028   904.662000
crudeoil_pooling_ct4       0.154       903.962     4.341138     0.79  116.488   899.728    0.888       900.009    96.319894     0.010       1.003  900.091     0.568128       0.010   903.962000
crudeoil_pooling_dt1     783.407       901.472   144.728275   145.21  902.018   910.000  223.876       570.355   162.457363   900.044      99.038  900.655   901.440155      99.038   910.000000
edgecross10-020            0.146         1.220     0.144005     0.14    0.409     0.564    0.023         0.768     0.390640     0.005      10.001    0.551     0.132470       0.005    10.001000
edgecross10-040            0.152        33.067     0.710366     2.11    0.435     0.327    0.392         5.571    15.490959     0.026       5.001   29.512     1.305317       0.026    33.067000
edgecross10-050            0.147        88.409     2.700098     8.82    0.397     0.489    1.792        34.153    56.860614     0.005      21.002  109.924     6.773333       0.005   109.924000
edgecross10-060            0.149        92.269     5.150666    13.80    0.428     0.341    4.031       434.815     7.608890     0.005      93.002  280.532     3.772457       0.005   434.815000
edgecross10-070            0.148       372.205    22.198222    35.57    0.374     0.434   13.937       122.401   251.029985     0.005     578.001  648.138   155.807106       0.005   648.138000
edgecross10-080            0.148       173.749     1.964081    16.79    0.713     0.370    5.216       135.638    46.179619     0.005      75.001  162.324     4.591297       0.005   173.749000
edgecross10-090            0.147        11.533     0.283246     0.40    0.383     0.051    0.189         0.756     4.796272     0.005       1.000    9.919     0.485243       0.005    11.533000
edgecross14-039            0.154       900.106     4.243477     3.19    0.742     2.020    2.522       900.000     8.613252     0.010      95.004  391.904     2.228016       0.010   900.106000
edgecross14-058            0.158       245.239    15.028017   105.39    1.068     2.238    9.099       277.293   257.261436     0.014      85.002  782.112    34.301522       0.014   782.112000
