                           sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc    gurobi  scipNCsoplex  SHOTcbc1910   dicoptNC  antigoneNC   lglobal  SHOTgur2310  virt. best  virt. worst
autocorr_bern20-03             9             1            1        1      69         1         9            21            1          9           4         1            1           1           69
autocorr_bern25-03            10             1            1        1      67         1        11            26            1         10           4         1            1           1           67
crudeoil_lee1_06            9253        181343            1        1     111      4555      4518         33185            1       1335           4    152767            1           1       181343
crudeoil_lee1_10           60071        234766            1        1     102      2855     15884        166399            1       2200          27  39079397            1           1     39079397
crudeoil_lee2_05           80338          1899            1        1      22       116      4737        346800            1       2891          43  43858694            1           1     43858694
crudeoil_lee2_06          159394          4222            1        1      70         1      9535        130233            1       2939           4  46670609            1           1     46670609
crudeoil_lee2_07          345781          2105            1        1      32         1     23291        177311            1       4877          64  31659765            1           1     31659765
crudeoil_lee2_09          417503          6566            1        1      21         1    132624        935557            1       1691          40  22779340            1           1     22779340
crudeoil_lee4_08          370410          4230            1        1     318         1     18790        793380            1      25107           4  28345300            1           1     28345300
crudeoil_li06             899246        340957            1        1     267     11186   2051277       8892848            1    4971267           4    174305            1           1      8892848
crudeoil_li21             548361       1281358            1        1     356         1  56876902      10160095            1    2393590           4  44931112            1           1     56876902
crudeoil_pooling_ct2          39        354300            1        1    1088     41085     58814       5729232            1         39           4  22472397            1           1     22472397
crudeoil_pooling_ct4           9        124102            1        1    1572     29185     40733       7120526            1          9           4  27789349            1           1     27789349
crudeoil_pooling_dt1      149112           178            1        1     248       175   3588476       2277307            1   24727650           4   7412452            1           1     24727650
edgecross10-010                4             4            1        1      59         1        64           164            1          4           4       226            1           1          226
edgecross10-020                9           134            1        1      55         1       135          5498            1          9           4      3713            1           1         5498
edgecross10-030               21           725            1        1      51         1      1488         11878            1         50           4     36651            1           1        36651
edgecross10-040               19         24676            1        1      55         1     22093         82558            1         59           4    540541            1           1       540541
edgecross10-050               10        183446            1        1      54         1    213084        502706            1         10           4   1923885            1           1      1923885
edgecross10-060               15        175195            1        1      52         1    372685       5567251            1         15           4   5609326            1           1      5609326
edgecross10-070               17       1039082            1        1      51         1   1601346       2446385            1         17           4  11888292            1           1     11888292
edgecross10-080               14        368848            1        1      66         1    539008       1717906            1         14           4   3613654            1           1      3613654
edgecross10-090                7          1616            1        1      51         1      2593          5167            1          7           4     57307            1           1        57307
edgecross14-019               53           180            1        1      55         1       147          4584            1         53           4      3243            1           1         4584
edgecross14-039               11       1628827            1        1      54         1    162647       6881374            1         11           4   3608689            1           1      6881374
edgecross14-058               15        452068            1        1      65         1    539673       5029663            1         15           4   7689323            1           1      7689323
edgecross14-078               16       1317380            1        1      60         1   7451957       5695984            1         16           4   7358047            1           1      7451957
edgecross14-137               19       1136990            1        1      50         1   3732712      15095185            1         19           4   3076154            1           1     15095185
edgecross14-156               19       1363612            1        1      45         1   8431866       7486548            1        112           4   8473964            1           1      8473964
edgecross14-176               43       1401989            1        1      57         1   3168162      13360960            1         43           4   6603942            1           1     13360960
edgecross20-040               86         40737            1        1      54         1     19639       3956881            1         86           4    982272            1           1      3956881
edgecross22-048               33         42600            1        1      52         1     20000       9713120            1         33           4    882644            1           1      9713120
elf                           30        207298            1        1     263     52455      4375          6382            1         30           4   1379106            1           1      1379106
ex1264a                     7436         21898            1        1      34     12021       383          2098            1  107739420           4      6514            1           1    107739420
ex1264                    134818         19580            1        1      28    117229       383          3134            1       4232           4     10068            1           1       134818
ex1265a                      149         24783            1        1      31     38190       164          3370            1        503           4      8393            1           1        38190
ex1265                      2943         17124            1        1      49    715620       164          6152            1        248           4     13047            1           1       715620
gasprod_sarawak01           1061           929            1        1     775       897      2963          9686            1        529           4     10537            1           1        10537
gasprod_sarawak16            737         24827            1        1    1585         1  16275834       1684955            1       3952           4   3449023            1           1     16275834
gasprod_sarawak81           2370        398509            1        1     190         1   3713110       1633256            1      17421           4      3108            1           1      3713110
genpooling_lee2                3        364833            1        1     322      1073     64829        511403            1          3           7   2852388            1           1      2852388
genpooling_meyer04             3       2613724            1        1     869      2163  96540685       6798825            1          3           4  19512472            1           1     96540685
hydroenergy1                2493       1903976            1        1     660       950    824431       8637896            1        984           4   7106092            1           1      8637896
hydroenergy3                2064        750672            1        1     993      2330      3323       8112851            1       6056           4   8891657            1           1      8891657
portfol_robust050_34         767       3096566            1        1     106       304      5207         17055            1        386           4      6910            1           1      3096566
portfol_shortfall050_68     4477       5345465            1        1     607      1091     37502         48945            1        921           4       234            1           1      5345465
portfol_shortfall100_04  1833981       3367525            1        1     366    215964   5095546      10467414            1        332           4    196006            1           1     10467414
portfol_shortfall200_05   555946       1074093            1        1     180     36844  10214796       5115315            1        547           4     47405            1           1     10214796
prob02                        24             1            1        1      35         1        15             1            1        387           4         1            1           1          387
prob03                        27             1            1        1      27        17         2             3            1         46           4         1            1           1           46
product                  1295641            82            1        1    5739     91398    145433         76758            1      11922          35  12436530            1           1     12436530
sep1                          41            61            1        1      77        15       412           398            1         87           4      1940            1           1         1940
smallinvSNPr1b020-022       1360         89216            1        1      67      9648       484       1269797            1         86           4   1010524            1           1      1269797
smallinvSNPr1b100-110        402        495052            1        1      97      1089       348       3601438            1         53           4    896484            1           1      3601438
smallinvSNPr1b150-165        983        650851            1        1      96      2224      1219       4654770            1        756           4    807289            1           1      4654770
smallinvSNPr1b200-220        499        482683            1        1     100       382      2003       3861182            1        132           4   1175582            1           1      3861182
smallinvSNPr2b010-011        541          6450            1        1      62       503       322         16388            1         56           4   1151826            1           1      1151826
smallinvSNPr2b020-022       1373         20479            1        1      66      1673       401        261593            1        139           4   1313668            1           1      1313668
smallinvSNPr2b050-055        803         58087            1        1      85      2682       469       1233172            1        142           4   1158880            1           1      1233172
smallinvSNPr2b100-110       3229         50381            1        1      85     10320       587       3683154            1        494           4   1072590            1           1      3683154
smallinvSNPr2b150-165        799        145064            1        1     100      1566       614      15540391            1       1193           4    847872            1           1     15540391
smallinvSNPr2b200-220       1322        246244            1        1      97      4294      1760       3906885            1        531           4    949621            1           1      3906885
smallinvSNPr3b010-011        755         16639            1        1      69       339       367         19126            1        140           4   1449634            1           1      1449634
smallinvSNPr3b020-022         94         39517            1        1      72        13       351         54076            1         76           4   1426563            1           1      1426563
smallinvSNPr3b050-055        594        100914            1        1      92       591       314       4385138            1        270           4    928410            1           1      4385138
smallinvSNPr3b100-110        770        155134            1        1      91      2609      1007       3218897            1        310           4    782196            1           1      3218897
smallinvSNPr3b150-165        602        203521            1        1      91      3604       696       3258112            1        191           4    940618            1           1      3258112
smallinvSNPr3b200-220        826        313642            1        1      88      3418       892       1318808            1        344           4   1270600            1           1      1318808
smallinvSNPr4b010-011       2403         17040            1        1      89      9408       802          8206            1        136           4   1210026            1           1      1210026
smallinvSNPr4b020-022        266         27803            1        1      80       137       258         16726            1        205           4   1417286            1           1      1417286
smallinvSNPr4b050-055       1157         72890            1        1      91      2903       437        131502            1        132           4   1179730            1           1      1179730
smallinvSNPr4b100-110        905        131484            1        1      93      1393       626       2310949            1        147           4    913905            1           1      2310949
smallinvSNPr4b150-165        452         34054            1        1      93      1135       319       3427963            1        370           4    807400            1           1      3427963
smallinvSNPr4b200-220        224        143101            1        1      93       318       319       1098859            1        381           4   1402623            1           1      1402623
smallinvSNPr5b010-011       1754         13695            1        1      95      5002      1280          6292            1        164           4    509425            1           1       509425
smallinvSNPr5b020-022        410         17781            1        1      82       442       405         13439            1        172           4   1137240            1           1      1137240
smallinvSNPr5b050-055        590         56897            1        1      85      1374       467         49722            1        202           4   1228800            1           1      1228800
smallinvSNPr5b100-110       1305         37532            1        1      92      3143       618       1491769            1        240           4    669920            1           1      1491769
smallinvSNPr5b150-165       1213         30710            1        1      95      3146       879        398558            1        411           4    867201            1           1       867201
smallinvSNPr5b200-220        257        141120            1        1      97       277       787        900640            1        853           4   1194902            1           1      1194902
sonet17v4                      3       2622145            1        1      46     90307   3232405      10114236            1          3           4   5290948            1           1     10114236
sonet21v6                      3       1365818            1        1      33     36357   2188368       6426349            1          3           4   1527877            1           1      6426349
sporttournament06             15            28            1        1      63         1        25           144            1         15           4       316            1           1          316
sporttournament08              6           266            1        1      60         1        86          1268            1          6           4       867            1           1         1268
