Absolute performance profile for SolverTime
Filter: no fail
            sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc  gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.005000        0             6            0        0       0         0       0             9            0        48          59        6            0          92            0
0.096009        0            27           20       38       4        43      30            27            7       144          60       21           32         167            0
0.187017      114            32           51       49       8        49      34            37           25       176          60       26           62         200            1
0.278026      136            35           67       52      23        59      45            41           32       189          60       31           76         215            2
0.369034      148            39           76       56      39        63      58            43           40       196          60       38           82         222            4
0.460043      157            40           82       62      59        68      70            44           43       199          60       43          101         224            6
0.551052      164            40           86       68      67        72      75            47           45       200          60       48          111         226            7
0.642060      166            41           94       72      73        76      77            52           46       207          60       48          122         233            7
0.733069      175            42          101       73      81        77      79            53           51       208          60       50          128         234            9
0.824077      177            48          103       74      87        82      79            56           52       210          60       50          130         236            9
0.915086      180            49          106       75      94        82      83            62           55       215          60       52          134         240            9
1.006095      185            50          107       77     104        86      85            63           57       216          78       53          135         244            9
1.097103      186            51          108       79     110        87      86            65           59       218          85       53          138         246            9
1.188112      187            52          111       81     112        90      88            66           62       218          85       54          144         247            9
1.279120      188            55          113       81     113        93      88            67           64       220          85       55          146         247            9
1.370129      190            56          113       83     116        95      92            68           65       220          85       55          149         250            9
1.461138      191            56          116       86     118        98      93            70           65       222          85       58          153         251           10
1.552146      195            56          120       89     121        98      94            71           66       225          85       58          155         254           11
1.643155      196            57          121       90     121        99      96            73           68       227          85       59          158         255           11
1.734163      197            57          122       92     122       101      98            75           69       228          85       59          161         257           11
1.825172      197            57          123       92     122       102     102            77           69       230          85       59          163         262           11
1.916181      198            58          126       94     122       103     103            78           71       230          85       61          164         262           11
2.007189      198            59          128       94     122       105     104            79           72       233          92       62          165         264           11
2.098198      198            60          128       95     122       107     104            79           74       234          95       63          165         264           11
2.189206      198            61          129       97     122       108     104            79           75       235          95       64          169         264           11
2.280215      198            64          132       97     123       112     105            79           75       236          95       64          170         266           11
2.371224      198            64          132       98     124       112     105            79           75       237          95       64          172         267           11
2.462232      199            64          134       99     124       113     105            79           76       237          95       64          174         267           11
2.553241      200            64          138      100     125       114     106            80           76       239          95       65          176         268           11
2.644249      200            64          141      101     125       114     108            82           76       239          95       67          178         270           11
2.735258      200            64          142      102     125       115     108            83           76       239          95       69          178         270           11
2.826267      200            65          143      102     126       116     108            83           77       239          95       69          178         270           11
2.917275      201            65          144      103     126       116     108            83           77       239          95       69          178         271           11
3.008284      201            65          144      103     127       116     108            83           78       241          95       70          182         274           11
3.099292      202            65          144      103     127       116     108            84           78       241          96       70          182         274           11
3.190301      203            65          145      104     127       116     109            85           78       242          96       70          183         275           11
3.281310      204            66          146      104     127       116     109            85           78       242          96       70          187         275           11
3.372318      204            68          146      104     128       117     110            85           80       242          96       71          188         275           11
3.463327      205            69          148      106     128       117     111            86           81       244          96       73          189         276           11
3.554335      205            69          150      108     128       117     111            87           81       244          96       73          189         279           11
3.645344      207            69          150      108     130       117     111            88           82       245          96       74          189         280           11
3.736353      208            69          150      108     130       118     111            88           82       246          96       75          190         281           11
3.827361      208            69          151      108     130       120     111            89           82       246          96       75          192         282           11
3.918370      209            69          152      110     130       122     111            90           82       247          96       75          194         284           11
4.009378      209            69          156      112     130       122     111            92           82       247         100       75          195         286           11
4.100387      210            69          158      112     130       122     112            92           83       247         100       75          195         286           11
4.191396      210            69          159      114     130       123     112            94           83       247         101       76          196         286           11
4.282404      210            69          161      114     131       123     112            94           83       247         101       78          196         286           11
4.373413      211            69          163      114     131       123     112            95           83       247         101       78          196         287           11
4.464421      211            69          163      114     132       123     113            96           83       248         101       78          197         288           11
4.555430      212            69          163      114     132       126     114            96           84       248         101       78          197         288           11
4.646439      212            70          163      114     133       128     114            97           84       248         101       78          199         288           11
4.737447      212            71          163      114     133       129     115            98           84       248         101       78          199         288           11
4.828456      212            71          164      114     133       129     115           100           87       249         101       78          200         288           11
4.919464      213            76          166      114     133       130     115           101           88       249         101       78          200         288           11
5.010473      213            76          168      114     133       131     115           101           88       249         105       78          201         289           11
5.101482      213            76          168      114     133       133     115           101           88       250         106       78          201         290           11
5.192490      213            76          169      114     134       134     115           102           88       250         106       80          201         290           11
5.283499      213            76          170      114     134       134     116           102           88       251         106       80          201         291           11
5.374507      213            76          170      114     135       134     116           102           88       251         106       80          202         291           11
5.465516      213            77          170      114     135       134     117           102           89       251         106       80          202         291           11
5.556525      213            77          170      115     135       134     117           103           89       251         106       81          202         291           11
5.647533      213            77          170      117     136       134     117           104           90       252         106       82          203         292           11
5.738542      213            77          172      117     136       134     117           104           90       252         106       82          205         292           11
5.829550      214            79          172      120     136       134     117           105           90       252         106       82          205         293           11
5.920559      214            80          172      121     137       134     117           105           90       253         106       82          205         293           11
6.011568      214            80          174      124     137       134     117           105           92       254         109       82          205         293           11
6.102576      214            80          174      124     138       134     117           105           92       254         110       82          205         293           11
6.193585      214            80          174      124     138       134     117           105           93       254         110       82          206         293           11
6.284593      214            80          174      124     138       134     117           105           93       254         110       82          206         293           11
6.375602      214            80          174      125     139       135     117           106           96       254         110       82          207         293           11
6.466611      214            80          174      125     139       135     117           106           96       254         110       82          207         293           11
6.557619      215            80          175      126     139       136     117           106           98       254         110       82          207         294           11
6.648628      215            80          176      126     139       137     117           106           99       255         110       82          208         295           12
6.739636      215            80          177      126     140       137     117           106           99       255         110       82          208         295           12
6.830645      215            80          177      127     140       138     117           107          100       255         110       82          209         296           12
6.921654      216            81          177      128     140       138     117           107          100       256         110       82          209         296           12
7.012662      216            81          177      128     140       139     117           107          100       256         112       82          209         296           13
7.103671      216            81          177      129     140       140     117           107          100       256         112       82          209         296           13
7.194679      216            82          177      129     140       141     117           108          100       257         112       82          209         296           14
7.285688      216            82          177      129     140       142     117           108          100       258         112       82          209         297           14
7.376697      216            82          178      129     140       142     118           108          101       258         112       82          210         297           14
7.467705      216            83          179      129     141       144     118           108          101       259         112       82          211         297           14
7.558714      216            83          179      129     141       145     118           109          102       259         112       82          211         297           14
