Absolute performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
            sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc  gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.005000        0             0            0        0       0         0       0             0            0        13           4        0            0          17            0
0.096009        0             0            0        0       0         1       6             0            0        38           5        0            4          43            0
0.187017       27             0            2        1       0         1       7             2            0        61           5        0            6          63            0
0.278026       30             0            3        1       2         3      16             2            0        63           5        1            7          67            0
0.369034       35             0            6        2       3         5      26             2            2        63           5        2            7          68            0
0.460043       40             0            7        3      12         8      36             2            3        66           5        4           22          69            0
0.551052       43             0            8        4      17        10      40             3            4        66           5        5           28          70            0
0.642060       45             0           10        5      20        11      41             4            4        66           5        5           36          70            0
0.733069       51             0           11        5      26        12      43             4            4        66           5        6           38          71            0
0.824077       52             0           11        6      31        14      43             6            4        66           5        6           39          71            0
0.915086       54             0           11        6      38        14      46             8            4        68           5        6           40          73            0
1.006095       57             0           11        7      44        16      46             8            4        68           9        6           40          73            0
1.097103       58             0           11        9      50        16      46             8            5        68          11        6           40          73            0
1.188112       59             1           12        9      50        17      46             8            5        68          11        6           41          73            0
1.279120       59             2           13        9      50        19      46             8            5        68          11        6           42          73            0
1.370129       61             2           13        9      51        20      48             8            5        68          11        6           44          74            0
1.461138       61             2           13        9      51        21      48             8            5        70          11        6           44          75            0
1.552146       63             2           13       10      51        21      49             8            5        72          11        6           44          76            0
1.643155       63             2           13       10      51        21      49             8            5        72          11        6           45          76            0
1.734163       64             2           13       11      52        22      50             8            6        72          11        6           46          76            0
1.825172       64             2           14       11      52        23      51             9            6        72          11        6           46          76            0
1.916181       64             2           15       13      52        23      52            10            6        72          11        7           46          76            0
2.007189       64             2           17       13      52        23      53            10            6        73          13        7           46          76            0
2.098198       64             3           17       13      52        24      53            10            7        73          13        7           46          76            0
2.189206       64             3           17       14      52        25      53            10            7        73          13        7           47          76            0
2.280215       64             4           18       14      53        27      53            10            7        73          13        7           48          76            0
2.371224       64             4           18       15      53        27      53            10            7        73          13        7           48          76            0
2.462232       64             4           19       15      53        28      53            10            7        73          13        7           49          76            0
2.553241       64             4           20       15      54        29      54            10            7        73          13        7           49          76            0
2.644249       64             4           22       15      54        29      54            10            7        73          13        7           50          76            0
2.735258       64             4           23       15      54        30      54            11            7        73          13        7           50          76            0
2.826267       64             4           24       15      54        30      54            11            7        73          13        7           50          76            0
2.917275       64             4           25       15      54        30      54            11            7        73          13        7           50          76            0
3.008284       64             4           25       15      54        30      54            11            7        74          13        8           50          77            0
3.099292       64             4           25       15      54        30      54            11            7        74          14        8           50          77            0
3.190301       64             4           25       16      54        30      55            12            7        74          14        8           50          77            0
3.281310       65             4           26       16      54        30      55            12            7        74          14        8           52          77            0
3.372318       65             4           26       16      54        31      56            12            8        74          14        8           52          77            0
3.463327       65             4           27       16      54        31      56            12            8        75          14        8           52          77            0
3.554335       65             4           27       16      54        31      56            12            8        75          14        8           52          77            0
3.645344       66             4           27       16      54        31      56            12            8        75          14        8           52          77            0
3.736353       66             4           27       16      54        32      56            12            8        75          14        8           52          77            0
3.827361       66             4           28       16      54        33      56            12            8        75          14        8           53          77            0
3.918370       66             4           28       16      54        35      56            13            8        75          14        8           53          77            0
4.009378       66             4           29       18      54        35      56            13            8        75          14        8           53          77            0
4.100387       66             4           29       18      54        35      57            13            8        75          14        8           53          77            0
4.191396       66             4           30       20      54        35      57            14            8        75          14        8           53          77            0
4.282404       66             4           32       20      55        35      57            14            8        75          14        8           53          77            0
4.373413       66             4           33       20      55        35      57            14            8        75          14        8           53          77            0
4.464421       66             4           33       20      55        35      57            14            8        75          14        8           54          77            0
4.555430       67             4           33       20      55        37      57            14            8        75          14        8           54          77            0
4.646439       67             4           33       20      56        39      57            14            8        75          14        8           55          77            0
4.737447       67             4           33       20      56        39      58            14            8        75          14        8           55          77            0
4.828456       67             4           33       20      56        39      58            15            9        75          14        8           55          77            0
4.919464       67             5           34       20      56        39      58            16            9        75          14        8           55          77            0
5.010473       67             5           34       20      56        40      58            16            9        75          16        8           55          77            0
5.101482       67             5           34       20      56        40      58            16            9        75          17        8           55          77            0
5.192490       67             5           35       20      56        41      58            17            9        75          17        8           55          77            0
5.283499       67             5           35       20      56        41      59            17            9        75          17        8           55          77            0
5.374507       67             5           35       20      57        41      59            17            9        75          17        8           55          77            0
5.465516       67             6           35       20      57        41      60            17            9        75          17        8           55          77            0
5.556525       67             6           35       20      57        41      60            17            9        75          17        8           55          77            0
5.647533       67             6           35       21      57        41      60            18            9        75          17        8           55          77            0
5.738542       67             6           36       21      57        41      60            18            9        75          17        8           55          77            0
5.829550       67             6           36       23      57        41      60            18            9        75          17        8           55          77            0
5.920559       67             6           36       23      57        41      60            18            9        75          17        8           55          77            0
6.011568       67             6           37       26      57        41      60            18           10        75          17        8           55          77            0
6.102576       67             6           37       26      58        41      60            18           10        75          18        8           55          77            0
6.193585       67             6           37       26      58        41      60            18           10        75          18        8           55          77            0
6.284593       67             6           37       26      58        41      60            18           10        75          18        8           55          77            0
6.375602       67             6           37       27      58        42      60            18           10        75          18        8           56          77            0
6.466611       67             6           37       27      58        42      60            18           10        75          18        8           56          77            0
6.557619       67             6           38       27      58        42      60            18           10        75          18        8           56          77            0
6.648628       67             6           39       27      58        43      60            18           10        75          18        8           56          77            0
6.739636       67             6           40       27      58        43      60            18           10        75          18        8           56          77            0
6.830645       67             6           40       28      58        44      60            18           10        75          18        8           57          77            0
6.921654       67             6           40       28      58        44      60            18           10        75          18        8           57          77            0
7.012662       67             6           40       28      58        45      60            18           10        75          19        8           57          77            0
7.103671       67             6           40       28      58        45      60            18           10        75          19        8           57          77            0
7.194679       67             6           40       28      58        45      60            18           10        75          19        8           57          77            0
7.285688       67             6           40       28      58        46      60            18           10        75          19        8           57          77            0
7.376697       67             6           41       28      58        46      60            18           10        75          19        8           57          77            0
7.467705       67             6           42       28      58        46      60            18           10        75          19        8           58          77            0
7.558714       67             6           42       28      58        47      60            19           10        75          19        8           58          77            0
7.649722       67             6           42       28      58        48      60            19           11        75          19        8           58          77            0
7.740731       67             6           43       28      58        48      60            19           11        75          19        8           58          77            0
7.831740       67             6           43       28      58        48      60            19           11        75          19        8           58          77            0
7.922748       67             6           44       28      58        48      61            20           11        75          19        8           58          77            0
8.013757       67             6           45       28      58        48      61            20           11        75          20        8           58          77            0
8.104765       67             6           45       28      58        48      61            20           11        75          20        8           58          77            0
8.195774       67             6           45       28      58        49      61            20           11        75          20        8           58          77            0
8.286783       67             6           45       28      58        50      61            20           11        75          20        8           58          77            0
8.377791       67             6           46       28      58        50      61            20           11        75          20        8           58          77            0
8.468800       67             6           47       28      58        50      61            20           11        75          20        8           58          77            0
8.559808       67             6           47       28      58        50      61            20           11        75          20        8           58          77            0
8.650817       67             6           47       28      58        50      61            20           12        75          20        8           58          77            0
8.741826       67             6           47       28      58        51      61            20           12        75          20        8           58          77            0
8.832834       67             6           47       29      58        51      61            20           12        75          20        8           58          77            0
8.923843       67             6           47       30      58        51      61            20           12        75          20        8           58          77            0
9.014851       67             6           47       30      58        51      61            20           13        75          20        8           58          77            0
9.105860       67             6           47       30      58        51      62            20           13        75          20        8           58          77            0
9.196869       67             6           47       30      58        51      62            20           14        75          20        8           58          77            0
