Absolute performance profile for SolverTime
Filter: within 0.102% of known optimal value and not failed
            sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc  gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
0.005000        0             6            0        0       0         0       0             9            0         5          53        4            0          54            0
0.096009        0            24           14       38       3        24      30            26            6        39          54       19           27          85            0
0.187017       33            29           32       48       5        30      34            36           13        49          54       23           43         105            1
0.278026       43            32           39       51      11        36      45            39           15        54          54       28           52         116            2
0.369034       52            36           45       55      13        37      56            41           17        56          54       35           56         124            2
0.460043       58            37           47       60      15        41      68            42           19        57          54       40           72         132            3
0.551052       62            37           48       65      19        43      73            45           19        57          54       45           78         135            3
0.642060       63            38           51       69      22        45      75            50           19        58          54       45           87         138            3
0.733069       69            39           52       70      26        45      77            51           21        59          54       47           91         141            3
0.824077       71            44           53       70      30        49      77            54           22        59          54       47           92         141            3
0.915086       74            45           54       70      35        49      79            60           24        59          54       49           93         145            3
1.006095       77            46           54       72      44        50      80            61           25        59          70       50           94         148            3
1.097103       78            47           54       73      49        50      80            63           27        60          75       50           96         150            3
1.188112       79            48           55       75      49        52      82            64           29        60          75       51           97         152            3
1.279120       80            51           56       75      50        55      82            65           29        61          75       52           98         154            3
1.370129       81            52           56       77      51        55      86            66           29        61          75       52          101         158            3
1.461138       82            52           56       80      52        57      87            68           29        61          75       53          102         159            3
1.552146       83            52           56       83      54        57      88            69           29        62          75       53          102         160            3
1.643155       84            53           56       84      54        57      89            71           30        62          75       54          105         162            3
1.734163       84            53           57       86      54        59      89            72           30        62          75       54          106         162            3
1.825172       84            53           58       86      54        60      92            73           30        62          75       54          107         165            3
1.916181       85            54           60       87      54        60      93            74           31        62          75       54          107         166            3
2.007189       85            55           61       87      54        62      94            75           31        62          80       55          108         168            3
2.098198       85            56           61       87      54        63      94            75           33        62          83       55          108         168            3
2.189206       85            56           61       88      54        63      94            75           33        63          83       56          110         168            3
2.280215       85            59           62       88      54        66      94            75           33        63          83       56          111         169            3
2.371224       85            59           62       89      54        66      94            75           33        63          83       56          113         169            3
2.462232       85            59           62       90      54        66      94            75           34        63          83       56          114         169            3
2.553241       86            59           63       91      55        67      95            76           34        63          83       56          115         170            3
2.644249       86            59           66       92      55        67      97            77           34        63          83       58          117         172            3
2.735258       86            59           67       92      55        68      97            78           34        63          83       60          117         172            3
2.826267       86            60           67       92      55        69      97            78           34        63          83       60          117         172            3
2.917275       87            60           67       93      55        69      97            78           34        63          83       60          117         173            3
3.008284       87            60           67       93      55        69      97            78           35        63          83       61          118         174            3
3.099292       87            60           67       93      55        69      97            79           35        63          84       61          118         174            3
3.190301       87            60           68       94      55        69      98            80           35        63          84       61          119         175            3
3.281310       88            61           69       94      55        69      98            80           35        63          84       61          122         175            3
3.372318       88            63           69       94      55        70      99            80           36        63          84       62          122         175            3
3.463327       89            64           71       96      55        70      99            81           37        63          84       63          123         175            3
