Relative performance profile for SolverTime
Filter: no fail
               sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc  gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000          15             7           22        2       1         1      29            13            2       190          62       10            8         326            0
1.001212          15             7           22        2       1         1      29            13            2       190          62       10            8         326            0
1.002426          15             7           22        2       1         1      29            13            2       190          62       10            8         326            0
1.003641          15             7           22        2       1         1      29            13            2       190          62       10            8         326            0
1.004857          15             7           22        2       1         1      29            13            2       190          62       10            8         326            0
1.006075          15             7           22        2       1         1      29            13            2       190          62       10            8         326            0
1.007294          15             7           22        2       1         1      29            13            2       190          62       10            8         326            0
1.008515          15             7           22        2       1         1      29            13            2       190          62       10            8         326            0
1.009737          15             7           22        2       1         1      29            13            2       190          62       10            8         326            0
1.010961          15             7           22        2       1         1      29            13            2       191          62       10            8         326            0
1.012187          15             7           22        2       1         1      29            13            2       191          62       10            8         326            0
1.013413          15             7           22        2       1         1      30            13            2       191          62       10            8         326            0
1.014642          15             7           22        2       1         1      31            13            2       191          62       10            8         326            0
1.015872          15             7           22        2       1         1      31            13            2       191          62       10            8         326            0
1.017103          15             7           22        2       1         1      31            13            2       191          62       10            8         326            0
1.018336          15             7           22        2       1         1      31            13            2       191          62       10            8         326            0
1.019570          15             7           22        3       1         1      31            13            2       191          62       10            8         326            0
1.020806          15             7           23        3       1         1      31            13            2       191          62       10            8         326            0
1.022043          15             7           23        3       1         1      31            13            2       191          62       10            8         326            0
1.023282          15             7           23        3       1         1      31            13            2       191          62       10            8         326            0
1.024522          15             7           23        3       1         1      31            13            2       191          62       10            8         326            0
1.025764          15             7           23        3       1         1      31            13            2       191          62       10            8         326            0
1.027007          15             7           23        3       1         1      31            13            2       192          62       10            8         326            0
1.028252          15             7           23        3       1         1      31            13            2       192          62       10            8         326            0
1.029498          15             7           23        3       1         1      31            13            2       192          62       10            8         326            0
1.030746          15             7           23        3       1         1      31            13            2       192          62       10            8         326            0
1.031995          15             7           23        3       1         1      31            13            2       192          62       10            8         326            0
1.033246          15             7           23        3       1         1      31            13            2       192          62       10            8         326            0
1.034498          15             7           23        3       1         1      31            13            2       192          62       10            8         326            0
1.035752          15             7           23        3       1         1      31            13            2       192          62       10            9         326            0
1.037007          15             7           23        3       1         1      31            13            2       192          62       10            9         326            0
1.038264          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.039523          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.040782          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.042044          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.043307          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.044571          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.045838          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.047105          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.048374          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.049645          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.050917          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.052191          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.053466          15             7           24        3       1         1      31            13            2       193          62       10            9         326            0
1.054743          15             7           24        3       1         1      32            13            2       193          62       10            9         326            0
1.056021          15             7           24        3       1         1      32            13            2       193          62       10            9         326            0
1.057301          15             7           25        3       1         1      32            13            2       193          62       10            9         326            0
1.058583          15             7           25        3       1         1      32            13            2       193          62       10            9         326            0
1.059866          15             7           25        3       1         1      32            13            2       193          62       10            9         326            0
1.061150          15             7           25        3       1         1      32            13            2       193          62       10            9         326            0
1.062437          15             7           25        3       1         1      32            13            2       193          62       10            9         326            0
1.063724          15             7           25        3       1         1      32            13            2       193          62       10            9         326            0
1.065013          15             7           25        3       1         1      32            13            2       193          62       10            9         326            0
1.066304          15             7           25        3       1         1      32            13            2       193          62       10            9         326            0
1.067597          15             7           25        3       1         1      32            13            2       193          62       10            9         326            0
1.068891          15             7           25        3       1         1      32            13            2       194          62       10            9         326            0
1.070186          15             7           25        3       1         1      32            13            2       194          62       10            9         326            0
1.071483          15             7           25        4       1         1      32            13            2       194          62       10            9         326            0
1.072782          15             7           25        4       1         1      32            13            2       194          62       10            9         326            0
1.074082          15             7           25        4       1         1      32            13            2       194          62       10            9         326            0
1.075384          15             7           25        4       1         1      32            13            2       194          62       10            9         326            0
1.076687          15             7           25        4       1         1      32            13            2       194          62       10            9         326            0
1.077992          15             7           25        4       1         1      33            13            2       194          62       10            9         326            0
1.079299          15             7           25        4       1         1      33            13            2       194          62       10            9         326            0
1.080607          15             7           25        4       1         1      33            13            2       194          62       10            9         326            0
1.081917          15             7           26        4       1         1      33            13            2       194          62       10            9         326            0
1.083228          15             7           26        4       1         1      33            13            2       194          62       10            9         326            0
1.084541          15             7           26        4       1         1      33            13            2       194          62       10            9         326            0
1.085856          15             7           26        4       1         1      33            13            2       194          62       10            9         326            0
1.087172          15             7           26        4       1         1      33            13            2       194          62       10            9         326            0
1.088489          15             7           26        4       1         1      33            13            2       194          62       10            9         326            0
1.089809          16             7           26        4       1         1      33            13            2       194          62       10            9         326            0
1.091130          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.092452          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.093776          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.095102          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.096429          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.097758          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.099088          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.100421          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.101754          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.103090          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.104427          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.105765          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.107106          16             7           26        4       2         1      33            13            2       194          62       10            9         326            0
1.108447          16             7           26        4       2         1      33            13            2       194          62       10           10         326            0
1.109791          16             7           26        4       2         1      33            13            2       194          62       10           10         326            0
