Relative performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
               sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc  gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000           2             0            0        0       0         0       8             0            0        65           6        1            0          82            0
1.001211           2             0            0        0       0         0       8             0            0        65           6        1            0          82            0
1.002424           2             0            0        0       0         0       8             0            0        65           6        1            0          82            0
1.003638           2             0            0        0       0         0       8             0            0        65           6        1            0          82            0
1.004853           2             0            0        0       0         0       8             0            0        65           6        1            0          82            0
1.006070           2             0            0        0       0         0       8             0            0        65           6        1            0          82            0
1.007289           2             0            0        0       0         0       8             0            0        65           6        1            0          82            0
1.008509           2             0            0        0       0         0       8             0            0        65           6        1            0          82            0
1.009730           2             0            0        0       0         0       8             0            0        65           6        1            0          82            0
1.010953           2             0            0        0       0         0       8             0            0        66           6        1            0          82            0
1.012177           2             0            0        0       0         0       8             0            0        66           6        1            0          82            0
1.013403           2             0            0        0       0         0       8             0            0        66           6        1            0          82            0
1.014630           2             0            0        0       0         0       8             0            0        66           6        1            0          82            0
1.015859           2             0            0        0       0         0       8             0            0        66           6        1            0          82            0
1.017090           2             0            0        0       0         0       8             0            0        66           6        1            0          82            0
1.018321           2             0            0        0       0         0       8             0            0        66           6        1            0          82            0
1.019555           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.020789           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.022026           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.023264           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.024503           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.025744           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.026986           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.028230           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.029475           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.030722           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.031970           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.033220           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.034471           2             0            0        1       0         0       8             0            0        66           6        1            0          82            0
1.035724           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.036978           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.038234           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.039492           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.040751           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.042011           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.043273           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.044537           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.045802           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.047068           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.048336           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.049606           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.050877           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.052150           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.053424           2             0            0        1       0         0       8             0            0        66           6        1            1          82            0
1.054700           2             0            0        1       0         0       9             0            0        66           6        1            1          82            0
1.055977           2             0            0        1       0         0       9             0            0        66           6        1            1          82            0
1.057256           2             0            0        1       0         0       9             0            0        66           6        1            1          82            0
