Relative performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
               sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc  gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
1.000000          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.001211          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.002423          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.003637          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.004853          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.006070          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.007288          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.008508          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.009729          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.010952          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.012176          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.013402          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.014629          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.015857          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.017088          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.018319          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.019552          19             7            4        8       4         7      33            15            0        73          56        7            9         218            0
1.020787          19             7            5        8       4         7      33            15            0        73          56        7            9         218            0
1.022023          19             7            5        8       4         7      33            15            0        73          56        7            9         218            0
1.023261          19             7            5        8       4         7      33            15            0        73          56        7            9         218            0
1.024500          19             7            5        8       4         7      33            15            0        73          56        7            9         218            0
1.025741          19             7            5        8       4         7      33            15            0        73          56        7            9         218            0
1.026983          19             7            5        8       4         7      33            15            0        73          56        7            9         218            0
1.028226          19             7            5        8       4         7      33            15            0        73          56        7            9         218            0
1.029472          19             7            5        8       4         7      33            15            0        73          56        7            9         218            0
