                            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
4stufen                            0.259481          0.213889     0.416861            0.309778    0.213889     0.416861
autocorr_bern20-03                 0.038908        910.000000     0.075661          910.000000    0.038908   910.000000
autocorr_bern20-05                 2.359242          0.135349     2.491171            0.170527    0.135349     2.491171
autocorr_bern20-10                68.157698          0.215579    81.391548            0.220950    0.215579    81.391548
autocorr_bern20-15               302.165629          0.548650   315.121568            0.557546    0.548650   315.121568
autocorr_bern25-03                 0.036599        910.000000     0.071210          910.000000    0.036599   910.000000
autocorr_bern25-06               253.100579          0.176047   257.745437            0.331681    0.176047   257.745437
autocorr_bern25-13               900.037246          0.673859   900.042092            0.682075    0.673859   900.042092
autocorr_bern30-04                30.039010          0.156373    30.980722            0.180361    0.156373    30.980722
autocorr_bern30-08               900.018202          0.325096   900.024955            0.352095    0.325096   900.024955
autocorr_bern35-04               151.487169          0.330498   153.959260            0.336462    0.330498   153.959260
autocorr_bern40-05               900.023791          0.320585   900.027308            0.512670    0.320585   900.027308
batch0812_nc                       0.131281          0.128300     0.327395            0.242035    0.128300     0.327395
batch_nc                           0.105426          0.100539     0.279267            0.200558    0.100539     0.279267
bchoco05                           1.603360          1.071351     2.209849            1.626058    1.071351     2.209849
bchoco06                           1.489509          1.933286     5.008048            3.118810    1.489509     5.008048
bchoco07                           2.621190          2.135440     7.753515            8.598668    2.135440     8.598668
blend029                           0.273517          0.273800     0.517849            0.406680    0.273517     0.517849
blend146                           1.271587          1.271560     4.328563            4.037461    1.271560     4.328563
blend480                           2.821919          2.829974     3.992786            3.606431    2.821919     3.992786
blend531                           3.218922          3.224064     4.091911            3.763712    3.218922     4.091911
blend721                           1.609871          1.605822     4.003949            3.709544    1.605822     4.003949
blend852                           2.963117          2.938829    10.006817            9.520744    2.938829    10.006817
carton7                            0.286676          0.287201     1.187238            0.641675    0.286676     1.187238
casctanks                         10.591920          8.119425    12.340360            8.659650    8.119425    12.340360
cecil_13                           1.329973          1.324341    43.985485           31.819568    1.324341    43.985485
chp_shorttermplan1a              905.334241        905.167146   906.867912          906.614350  905.167146   906.867912
chp_shorttermplan1b              910.000000        910.000000   910.000000          910.000000  910.000000   910.000000
chp_shorttermplan2a              910.000000        910.000000   910.000000          910.000000  910.000000   910.000000
chp_shorttermplan2b               26.846596          0.750096    40.591425            5.167151    0.750096    40.591425
chp_shorttermplan2d              910.000000        910.000000   907.331581          910.000000  907.331581   910.000000
crudeoil_lee1_05                   0.700982          0.695245     1.651186            0.861864    0.695245     1.651186
crudeoil_lee1_06                   8.062383          8.140652    10.210415            8.327383    8.062383    10.210415
crudeoil_lee1_07                   1.053728          1.045243     3.415871            1.102568    1.045243     3.415871
crudeoil_lee1_08                  11.349592         11.237485    15.294281           11.729925   11.237485    15.294281
crudeoil_lee1_09                  10.933686         11.319403    16.778056           12.115547   10.933686    16.778056
crudeoil_lee1_10                  11.389322         11.416911    16.969345           12.152112   11.389322    16.969345
crudeoil_lee2_05                  10.648711         10.634716    14.497016           10.592320   10.592320    14.497016
crudeoil_lee2_06                   2.271019          2.271071     7.385545            2.268182    2.268182     7.385545
crudeoil_lee2_07                   7.804695          7.881123    12.977277            8.334915    7.804695    12.977277
crudeoil_lee2_08                   8.335525          8.299750    13.288358            8.406323    8.299750    13.288358
crudeoil_lee2_09                  13.338875         12.791042    17.499537           12.829742   12.791042    17.499537
crudeoil_lee2_10                  13.710046         14.058877    17.429417           13.504305   13.504305    17.429417
crudeoil_lee3_05                  11.460643         12.240822    17.236205           12.010365   11.460643    17.236205
crudeoil_lee3_06                   9.126507          9.179355    16.804594           11.584058    9.126507    16.804594
crudeoil_lee3_07                  11.830535         11.857305    20.908010           15.802445   11.830535    20.908010
crudeoil_lee3_08                   8.132878          8.103629    31.533162           12.395427    8.103629    31.533162
crudeoil_lee3_09                  14.532325         14.437382    30.094969           26.222438   14.437382    30.094969
crudeoil_lee3_10                  18.816618         18.767660    36.991090           32.973683   18.767660    36.991090
