                         SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
autocorr_bern20-10             68.157698          0.215579    81.391548            0.220950    0.215579    81.391548
autocorr_bern20-15            302.165629          0.548650   315.121568            0.557546    0.548650   315.121568
autocorr_bern25-06            253.100579          0.176047   257.745437            0.331681    0.176047   257.745437
autocorr_bern25-13            900.037246          0.673859   900.042092            0.682075    0.673859   900.042092
autocorr_bern35-04            151.487169          0.330498   153.959260            0.336462    0.330498   153.959260
batch0812_nc                    0.131281          0.128300     0.327395            0.242035    0.128300     0.327395
batch_nc                        0.105426          0.100539     0.279267            0.200558    0.100539     0.279267
blend029                        0.273517          0.273800     0.517849            0.406680    0.273517     0.517849
cecil_13                        1.329973          1.324341    43.985485           31.819568    1.324341    43.985485
crudeoil_lee1_05                0.700982          0.695245     1.651186            0.861864    0.695245     1.651186
crudeoil_lee1_06                8.062383          8.140652    10.210415            8.327383    8.062383    10.210415
crudeoil_lee1_07                1.053728          1.045243     3.415871            1.102568    1.045243     3.415871
crudeoil_lee1_08               11.349592         11.237485    15.294281           11.729925   11.237485    15.294281
crudeoil_lee1_09               10.933686         11.319403    16.778056           12.115547   10.933686    16.778056
crudeoil_lee1_10               11.389322         11.416911    16.969345           12.152112   11.389322    16.969345
crudeoil_lee2_05               10.648711         10.634716    14.497016           10.592320   10.592320    14.497016
crudeoil_lee2_06                2.271019          2.271071     7.385545            2.268182    2.268182     7.385545
crudeoil_lee2_07                7.804695          7.881123    12.977277            8.334915    7.804695    12.977277
crudeoil_lee2_08                8.335525          8.299750    13.288358            8.406323    8.299750    13.288358
crudeoil_lee2_09               13.338875         12.791042    17.499537           12.829742   12.791042    17.499537
crudeoil_lee2_10               13.710046         14.058877    17.429417           13.504305   13.504305    17.429417
crudeoil_lee3_05               11.460643         12.240822    17.236205           12.010365   11.460643    17.236205
crudeoil_lee3_06                9.126507          9.179355    16.804594           11.584058    9.126507    16.804594
crudeoil_lee3_07               11.830535         11.857305    20.908010           15.802445   11.830535    20.908010
crudeoil_lee4_05               12.098959         12.022708    16.146515           12.163636   12.022708    16.146515
crudeoil_lee4_06                7.281823          7.342904    12.290616            7.376832    7.281823    12.290616
crudeoil_lee4_07               13.766405         13.726965    18.830181           12.992552   12.992552    18.830181
crudeoil_lee4_08               15.067810         15.188177    19.110251           14.982158   14.982158    19.110251
crudeoil_lee4_09               17.409173         17.544077    20.602807           17.503929   17.409173    20.602807
crudeoil_lee4_10               19.683501         19.963961    20.075439           20.945551   19.683501    20.945551
edgecross14-176                59.270805          2.310490    59.390189            2.426119    2.310490    59.390189
eniplac                         0.299623          0.306966     0.559491            0.421175    0.299623     0.559491
ex1221                          0.054192          0.055152     0.118831            0.075833    0.054192     0.118831
ex1222                          0.056416          0.039964     0.078430            0.046025    0.039964     0.078430
ex1226                          0.047542          0.044088     0.081297            0.055059    0.044088     0.081297
ex1266a                         0.085387          0.283550     0.101766           11.788908    0.085387    11.788908
ex1266                          0.069197          0.067230     0.132553            0.078336    0.067230     0.132553
fin2bb                          4.265347          4.300758    12.594567            4.533800    4.265347    12.594567
gasprod_sarawak01               0.439634          0.437553     0.569662            0.458029    0.437553     0.569662
gastrans                        0.151776          0.143470     0.250437            0.179982    0.143470     0.250437
genpooling_lee1                 0.110061          0.109338     0.301591            0.257244    0.109338     0.301591
ghg_1veh                        0.091929          0.075849     0.335790            0.175407    0.075849     0.335790
gkocis                          0.050024          0.048228     0.141957            0.108738    0.048228     0.141957
johnall                       115.070598        115.125794   908.995108          202.613865  115.070598   908.995108
lip                             0.453319          0.238567     1.859764            1.667642    0.238567     1.859764
minlphix                        0.092102          0.089700     0.228761            0.181462    0.089700     0.228761
nvs16                           0.047014          0.044635     0.087752            0.057774    0.044635     0.087752
oaer                            0.060145          0.060439     0.154957            0.123164    0.060145     0.154957
parallel                        0.066978          0.069111     0.334130            0.216071    0.066978     0.334130
