Absolute performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
0.057095                  0                 1            0                   0           1            0
0.148098                  2                 5            2                   4           7            0
0.239102                  2                10            2                   8          12            0
0.330105                  2                14            2                   9          15            0
0.421109                  2                16            2                  13          17            0
0.512112                  2                18            2                  14          19            0
0.603115                  2                19            2                  16          20            0
0.694119                  3                22            2                  19          23            0
0.785122                  4                26            2                  19          27            0
0.876126                  4                26            2                  20          27            0
0.967129                  4                27            2                  20          27            0
1.058132                  4                27            2                  20          27            0
1.149136                  5                28            2                  21          28            0
1.240139                  5                28            2                  21          28            0
1.331143                  6                29            2                  21          29            0
1.422146                  6                29            2                  21          29            0
1.513149                  7                30            2                  21          30            0
1.604153                  8                31            2                  21          31            0
1.695156                  8                31            2                  21          31            0
1.786159                  8                31            2                  21          31            0
1.877163                  8                31            2                  21          31            0
1.968166                  8                32            2                  21          32            0
2.059170                  8                32            2                  21          32            0
2.150173                  8                32            2                  21          32            0
2.241176                  8                32            2                  21          32            0
2.332180                  8                33            2                  21          33            0
2.423183                  8                33            2                  21          33            0
2.514187                  8                33            2                  23          33            0
2.605190                  8                33            2                  23          33            0
2.696193                  8                33            2                  23          33            0
2.787197                  8                33            2                  23          33            0
2.878200                  8                33            2                  23          33            0
2.969204                  9                34            2                  23          34            0
3.060207                  9                34            2                  24          34            0
3.151210                  9                34            2                  24          34            0
3.242214                  9                34            2                  24          34            0
3.333217                  9                34            2                  24          34            0
3.424220                  9                34            2                  24          34            0
3.515224                  9                34            2                  24          34            0
3.606227                  9                34            2                  24          34            0
3.697231                  9                34            2                  24          34            0
3.788234                  9                35            2                  24          35            0
3.879237                 10                35            2                  24          35            0
3.970241                 10                35            2                  24          35            0
4.061244                 11                35            2                  24          36            0
4.152248                 11                36            2                  24          36            0
4.243251                 11                36            2                  24          36            0
4.334254                 12                37            2                  24          37            0
4.425258                 12                37            2                  24          37            0
4.516261                 12                37            2                  24          37            0
4.607265                 12                37            2                  25          37            0
4.698268                 12                37            2                  25          37            0
4.789271                 12                37            2                  25          37            0
4.880275                 12                37            2                  25          37            0
4.971278                 12                37            2                  25          37            0
5.062282                 12                37            2                  25          37            0
5.153285                 12                37            2                  25          37            0
5.244288                 12                38            2                  26          38            0
5.335292                 12                38            2                  26          38            0
5.426295                 12                38            2                  26          38            0
5.517298                 12                38            2                  26          38            0
5.608302                 12                38            2                  26          38            0
5.699305                 13                39            2                  26          39            0
5.790309                 13                39            2                  26          39            0
5.881312                 13                39            2                  26          39            0
5.972315                 13                39            2                  26          39            0
6.063319                 13                39            2                  27          39            0
6.154322                 13                39            2                  27          39            0
6.245326                 13                39            2                  27          39            0
6.336329                 14                39            2                  27          40            0
6.427332                 14                39            2                  27          40            0
6.518336                 14                40            2                  27          40            0
6.609339                 14                40            2                  27          40            0
6.700343                 14                40            2                  27          40            0
6.791346                 14                40            2                  27          40            0
6.882349                 14                40            2                  27          40            0
6.973353                 14                40            2                  27          40            0
7.064356                 14                40            2                  27          40            0
7.155360                 15                41            2                  27          41            0
7.246363                 15                41            2                  27          41            0
7.337366                 16                41            2                  27          42            0
7.428370                 16                42            2                  28          42            0
7.519373                 16                42            2                  29          42            0
7.610376                 17                42            2                  29          43            0
7.701380                 18                42            2                  29          44            0
7.792383                 18                42            2                  29          44            0
7.883387                 20                43            2                  29          46            0
7.974390                 21                44            2                  29          47            0
8.065393                 22                45            2                  29          49            0
8.156397                 24                48            2                  29          52            0
8.247400                 24                48            2                  29          52            0
8.338404                 25                51            2                  31          54            0
8.429407                 26                52            2                  32          55            0
8.520410                 27                53            2                  33          55            0
8.611414                 29                54            2                  33          57            0
8.702417                 30                55            2                  34          58            0
8.793421                 30                55            2                  34          58            0
8.884424                 30                55            2                  34          58            0
8.975427                 30                55            2                  34          58            0
9.066431                 30                56            2                  34          59            0
9.157434                 34                57            2                  34          63            0
9.248438                 35                58            2                  34          63            0
9.339441                 35                58            2                  34          63            0
9.430444                 35                58            2                  34          63            0
9.521448                 35                58            2                  35          63            0
9.612451                 35                58            2                  35          63            0
9.703454                 35                59            2                  35          63            0
9.794458                 35                59            2                  35          63            0
9.885461                 36                60            2                  35          64            0
9.976465                 36                60            2                  35          64            0
10.067468                38                61            3                  35          65            1
10.158471                38                61            4                  35          65            2
10.249475                38                61            6                  35          65            4
10.340478                38                61            6                  35          65            4
10.431482                39                61            6                  36          66            4
10.522485                39                61            6                  37          66            4
10.613488                40                61            6                  38          67            4
10.704492                42                62            6                  39          68            4
10.795495                42                64            6                  39          69            4
10.886499                43                64            7                  39          70            5
10.977502                44                65            7                  39          72            5
11.068505                44                65            7                  39          72            5
11.159509                46                65            7                  39          73            5
11.250512                47                66            7                  39          74            5
11.341516                47                67            7                  39          74            5
11.432519                49                68            7                  40          75            5
11.523522                50                68            7                  40          76            5
11.614526                50                68            7                  41          76            5
11.705529                50                68            8                  41          76            6
11.796532                50                68            8                  45          76            7
11.887536                51                70            8                  45          77            7
11.978539                51                71            8                  45          77            7
12.069543                52                73            8                  46          79            7
12.160546                53                73            8                  48          79            7
12.251549                54                74            8                  49          80            7
12.342553                55                76           10                  49          81            9
12.433556                55                77           10                  51          81            9
12.524560                55                77           10                  51          81            9
12.615563                55                77           11                  51          81           10
12.706566                55                77           12                  51          81           11
12.797570                55                78           12                  51          82           11
12.888573                56                78           12                  53          83           11
12.979577                56                80           13                  54          83           12
13.070580                56                80           13                  55          84           12
13.161583                56                80           13                  56          84           12
13.252587                56                80           13                  58          85           12
13.343590                58                81           14                  60          85           13
13.434593                58                81           14                  60          85           13
13.525597                58                82           14                  62          86           13
13.616600                58                82           14                  65          86           13
13.707604                58                82           14                  65          86           13
13.798607                60                84           14                  65          86           13
13.889610                60                84           14                  66          86           13
13.980614                60                85           16                  66          86           15
14.071617                60                86           16                  66          86           15
14.162621                61                86           16                  66          87           15
14.253624                61                86           16                  66          87           15
14.344627                61                87           16                  66          87           15
14.435631                61                87           16                  67          87           15
14.526634                61                88           17                  67          88           16
14.617638                62                88           17                  69          88           16
14.708641                63                89           17                  69          89           16
14.799644                63                89           17                  69          89           16
14.890648                63                89           17                  69          89           16
14.981651                63                89           17                  69          89           16
15.072655                64                89           18                  70          90           16
15.163658                64                90           19                  71          91           16
15.254661                65                91           19                  71          91           17
15.345665                66                91           20                  71          91           19
15.436668                66                91           21                  71          91           20
15.527671                66                91           21                  71          91           20
15.618675                66                91           21                  71          91           20
15.709678                66                91           21                  71          91           20
15.800682                66                91           21                  71          91           20
15.891685                66                91           21                  74          91           20
15.982688                66                91           21                  74          91           20
16.073692                67                91           21                  75          91           20
16.164695                67                91           22                  75          91           21
16.255699                67                91           22                  75          91           21
16.346702                67                91           22                  77          91           21
16.437705                67                91           24                  77          91           23
16.528709                67                91           24                  77          91           23
16.619712                67                91           25                  78          91           25
16.710716                67                91           25                  78          91           25
16.801719                67                91           26                  78          91           26
16.892722                67                91           27                  78          91           27
16.983726                67                91           29                  78          91           29
17.074729                67                91           30                  78          91           30
17.165733                67                91           30                  78          91           30
17.256736                67                91           32                  78          91           32
17.347739                67                91           32                  78          91           32
17.438743                68                91           33                  79          92           33
17.529746                68                91           34                  80          92           34
17.620749                68                92           34                  81          92           34
17.711753                68                92           36                  82          92           36
17.802756                69                93           37                  82          93           37
17.893760                69                93           38                  82          93           38
17.984763                69                93           40                  82          93           40
18.075766                69                93           41                  82          93           41
18.166770                70                93           41                  82          94           41
18.257773                71                93           41                  82          95           41
18.348777                71                94           41                  82          95           41
18.439780                71                94           41                  82          95           41
18.530783                71                94           41                  82          95           41
18.621787                71                94           41                  82          95           41
18.712790                72                94           42                  82          95           42
18.803794                72                96           42                  82          96           42
18.894797                73                96           45                  82          96           45
18.985800                73                96           45                  82          96           45
19.076804                73                96           45                  82          96           45
19.167807                73                96           46                  82          96           46
19.258811                73                96           46                  82          96           46
19.349814                73                96           47                  82          96           47
19.440817                73                96           47                  82          96           47
19.531821                73                96           48                  82          96           48
19.622824                73                96           48                  82          96           48
19.713827                74                96           49                  82          97           49
19.804831                74                96           49                  82          97           49
