Absolute performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
0.036599                  1                 0            0                   0           1            0
0.068111                 11                 1            2                   0          12            0
0.099622                 16                 1           10                   2          17            0
0.131134                 18                 1           16                   2          19            0
0.162646                 21                 3           18                   3          23            1
0.194157                 22                 3           18                   4          24            1
0.225669                 23                 3           20                   4          25            1
0.257181                 23                 3           23                   4          25            2
0.288692                 23                 3           24                   4          25            2
0.320204                 24                 4           24                   5          26            2
0.351716                 24                 4           24                   5          26            2
0.383227                 24                 4           24                   5          26            2
0.414739                 25                 4           24                   5          27            2
0.446251                 25                 4           25                   5          27            2
0.477762                 25                 4           25                   5          27            2
0.509274                 25                 4           25                   5          27            2
0.540786                 25                 4           25                   5          27            2
0.572297                 25                 4           26                   5          27            3
0.603809                 25                 4           26                   5          27            3
0.635321                 26                 4           26                   5          28            3
0.666832                 26                 4           26                   5          28            3
0.698344                 26                 5           26                   6          30            3
0.729855                 27                 5           27                   6          30            3
0.761367                 27                 5           27                   6          30            3
0.792879                 27                 5           27                   6          30            3
0.824390                 27                 5           27                   6          30            3
0.855902                 27                 5           27                   6          30            3
0.887414                 28                 6           27                   8          31            3
0.918925                 28                 6           27                   8          31            3
0.950437                 28                 6           27                   8          31            3
0.981949                 28                 6           27                   8          31            3
1.013460                 28                 6           27                   8          31            3
1.044972                 28                 6           27                   8          31            3
1.076484                 29                 7           27                   8          32            3
1.107995                 29                 7           27                   9          32            3
1.139507                 29                 7           28                   9          32            4
1.171019                 29                 7           28                   9          32            4
1.202530                 29                 7           28                   9          32            4
1.234042                 29                 7           28                   9          32            4
1.265553                 29                 7           28                   9          32            4
1.297065                 29                 7           28                   9          32            4
1.328577                 29                 7           28                   9          32            4
1.360088                 29                 7           28                   9          32            4
1.391600                 29                 7           28                   9          32            4
1.423112                 29                 7           28                   9          32            4
1.454623                 29                 7           28                   9          32            4
1.486135                 30                 7           28                   9          33            4
1.517647                 30                 7           28                   9          33            4
1.549158                 30                 7           28                   9          33            4
1.580670                 30                 7           28                  10          34            4
1.612182                 31                 7           28                  10          34            4
1.643693                 31                 7           28                  10          34            4
1.675205                 31                 8           29                  10          34            5
1.706717                 31                 8           29                  10          34            5
1.738228                 31                 8           29                  10          34            5
1.769740                 31                 8           29                  10          34            5
1.801251                 31                 8           30                  10          34            5
1.832763                 31                 8           30                  10          34            5
1.864275                 31                 8           31                  10          35            5
1.895786                 32                 8           32                  10          35            6
1.927298                 32                 8           32                  10          35            6
1.958810                 34                 9           32                  11          37            6
1.990321                 34                 9           33                  11          37            6
2.021833                 34                 9           33                  11          37            6
2.053345                 34                 9           33                  11          37            6
2.084856                 34                 9           33                  11          37            6
2.116368                 34                 9           33                  11          37            6
2.147880                 34                 9           33                  11          37            6
2.179391                 34                 9           33                  11          37            6
2.210903                 35                 9           33                  11          38            6
2.242415                 35                 9           33                  11          38            6
2.273926                 36                10           34                  12          39            7
2.305438                 36                10           34                  12          39            7
2.336950                 36                10           34                  12          39            7
