Absolute performance profile for SolverTime
Filter: within 1.0% of known optimal value and not failed
            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
0.036599                  1                 0            0                   0           1            0
0.127504                 35                19           29                  17          42            8
0.218409                 41                22           37                  25          49           13
0.309314                 45                27           44                  27          53           17
0.400219                 46                27           47                  32          56           20
0.491124                 48                28           49                  36          59           20
0.582029                 49                28           53                  36          60           24
0.672934                 50                28           55                  38          61           25
0.763839                 51                29           56                  39          63           25
0.854744                 51                29           58                  39          63           26
0.945649                 52                30           58                  41          64           26
1.036554                 52                30           58                  41          64           26
1.127458                 53                31           59                  42          65           27
1.218363                 53                31           59                  43          66           27
1.309268                 53                31           60                  43          66           27
1.400173                 53                31           60                  43          66           27
1.491078                 54                31           60                  43          67           27
1.581983                 54                32           60                  44          69           27
1.672888                 56                33           61                  45          69           28
1.763793                 56                33           61                  45          69           28
1.854698                 56                33           63                  45          70           28
1.945603                 58                33           65                  46          72           29
2.036508                 59                34           66                  46          72           29
2.127413                 59                34           66                  47          72           29
2.218318                 60                34           66                  47          73           29
2.309223                 61                35           67                  48          74           30
2.400128                 63                36           67                  49          76           30
2.491033                 63                36           67                  49          76           30
2.581938                 64                36           68                  49          77           30
2.672842                 64                36           71                  49          77           31
2.763747                 64                36           72                  49          77           31
2.854652                 64                36           72                  49          77           31
2.945557                 64                36           72                  49          77           31
3.036462                 64                36           72                  49          77           31
3.127367                 64                36           73                  50          78           32
3.218272                 65                37           73                  50          78           32
3.309177                 65                37           74                  51          79           32
3.400082                 65                37           74                  51          79           32
3.490987                 65                38           76                  52          80           34
3.581892                 66                38           76                  52          80           34
3.672797                 66                38           76                  52          80           34
3.763702                 67                39           76                  53          81           34
3.854607                 67                39           77                  53          81           35
3.945512                 68                39           77                  54          82           35
4.036417                 68                40           77                  54          82           35
4.127322                 68                40           77                  54          82           35
4.218226                 68                40           78                  54          82           36
4.309131                 69                41           79                  54          83           37
4.400036                 69                41           79                  54          83           37
4.490941                 69                41           79                  54          83           37
4.581846                 69                41           79                  56          84           37
4.672751                 70                42           79                  56          84           37
4.763656                 70                42           79                  56          84           37
4.854561                 70                42           79                  56          84           37
4.945466                 70                42           80                  56          84           38
5.036371                 70                42           80                  56          84           38
5.127276                 70                42           80                  56          84           38
5.218181                 70                42           81                  56          84           38
5.309086                 70                42           81                  56          84           38
5.399991                 70                42           81                  56          84           38
5.490896                 71                42           81                  57          85           38
5.581801                 71                42           81                  57          85           38
5.672706                 72                44           81                  57          86           38
5.763611                 72                44           81                  57          86           38
5.854515                 72                44           81                  57          86           38
5.945420                 72                44           81                  57          86           38
6.036325                 72                44           82                  57          86           39
6.127230                 72                44           82                  57          86           39
6.218135                 72                45           82                  57          87           39
6.309040                 72                45           82                  58          87           39
6.399945                 73                45           82                  58          87           39
6.490850                 73                45           82                  58          87           39
6.581755                 73                45           83                  58          87           40
6.672660                 73                45           83                  58          87           40
6.763565                 73                45           83                  58          87           40
6.854470                 73                45           83                  58          87           40
6.945375                 73                45           83                  58          87           40
7.036280                 74                45           83                  58          88           40
7.127185                 74                46           83                  59          88           40
7.218090                 74                46           83                  59          88           40
7.308995                 75                46           83                  60          90           40
7.399899                 75                47           84                  61          90           41
7.490804                 75                49           84                  63          91           41
7.581709                 77                49           84                  63          91           41
7.672614                 77                49           84                  63          91           41
7.763519                 77                50           85                  63          92           42
7.854424                 79                50           85                  63          93           42
7.945329                 79                51           86                  64          93           43
8.036234                 79                51           87                  64          93           44
8.127139                 80                51           87                  64          94           44
8.218044                 80                52           87                  64          94           44
8.308949                 80                53           88                  64          95           45
8.399854                 81                53           88                  66          95           45
8.490759                 81                53           88                  67          95           45
8.581664                 81                53           88                  67          95           45
8.672569                 81                53           88                  67          95           45
8.763474                 81                53           88                  67          95           45
8.854379                 81                53           88                  67          95           45
8.945283                 81                54           88                  67          96           45
9.036188                 81                54           88                  68          96           45
9.127093                 82                55           88                  68          98           45
9.217998                 84                56           88                  68          98           45
9.308903                 84                56           88                  68          98           45
9.399808                 84                56           88                  68          98           45
9.490713                 84                57           88                  68          99           45
9.581618                 85                57           89                  69          99           46
9.672523                 85                57           89                  69          99           46
9.763428                 85                57           89                  69          99           46
9.854333                 85                57           89                  69          99           46
9.945238                 85                57           90                  69          99           47
10.036143                85                57           90                  69          99           47
10.127048                85                57           90                  69          99           47
10.217953                85                57           92                  69          99           49
10.308858                85                57           92                  69          99           49
10.399763                85                57           92                  69          99           49
10.490667                85                57           92                  69          99           49
10.581572                85                57           92                  69          99           49
10.672477                86                58           92                  70         100           49
10.763382                86                58           92                  70         100           49
10.854287                86                58           92                  70         100           49
10.945192                87                58           92                  70         101           49
11.036097                87                58           92                  70         101           49
11.127002                87                58           92                  70         101           49
11.217907                87                58           92                  70         101           49
11.308812                87                59           92                  70         102           49
11.399717                89                60           92                  70         103           49
11.490622                90                61           92                  70         104           49
11.581527                90                61           92                  70         104           49
11.672432                90                61           92                  71         104           49
11.763337                90                61           92                  72         104           49
11.854242                91                61           92                  73         105           49
11.945147                91                62           92                  73         105           49
12.036051                92                64           92                  74         107           49
12.126956                93                64           92                  75         107           49
12.217861                93                64           92                  77         107           49
12.308766                94                65           93                  77         108           50
12.399671                94                66           93                  78         108           50
12.490576                94                66           93                  78         108           50
12.581481                94                66           93                  78         108           50
12.672386                94                66           94                  78         108           51
12.763291                94                66           95                  78         108           52
12.854196                94                67           95                  79         109           52
12.945101                94                67           95                  79         109           52
13.036006                94                67           96                  80         110           53
13.126911                94                67           96                  80         110           53
13.217816                94                67           96                  81         111           53
13.308721                95                67           97                  81         111           54
13.399626                96                67           97                  81         111           54
13.490531                96                68           97                  81         111           54
13.581435                96                68           97                  82         112           54
13.672340                96                68           97                  82         112           54
13.763245                97                69           97                  82         112           54
13.854150                98                69           97                  82         112           54
13.945055                98                69           98                  82         112           55
14.035960                98                69           98                  82         112           55
14.126865                98                70           98                  82         112           55
14.217770                98                70           98                  82         112           55
14.308675                98                70           98                  82         112           55
14.399580                98                70           98                  82         112           55
14.490485                98                70           98                  82         112           55
14.581390                98                70           99                  82         112           56
14.672295                98                70           99                  82         112           56
14.763200                98                70           99                  82         112           56
14.854105                98                70           99                  82         112           56
14.945010                98                70           99                  82         112           56
15.035915                98                70          100                  83         114           56
15.126819                99                71          100                  83         115           56
15.217724               100                72          101                  84         115           57
15.308629               100                72          102                  84         115           58
15.399534               101                72          102                  84         115           58
15.490439               101                72          102                  84         115           58
15.581344               101                72          102                  84         115           58
15.672249               101                72          102                  84         115           58
15.763154               101                72          102                  84         115           58
15.854059               101                72          102                  85         115           58
15.944964               101                72          102                  86         115           58
16.035869               101                72          102                  86         115           58
16.126774               102                72          102                  86         116           58
16.217679               102                72          103                  86         116           59
16.308584               102                72          103                  86         116           59
16.399489               102                72          103                  86         116           59
16.490394               102                72          103                  86         116           59
16.581299               102                72          103                  86         116           59
16.672203               102                72          104                  86         116           59
16.763108               102                72          104                  86         116           59
16.854013               102                72          106                  86         116           61
16.944918               102                72          106                  86         116           61
17.035823               102                72          107                  86         116           62
17.126728               102                72          108                  86         116           63
17.217633               102                72          108                  86         116           63
17.308538               102                72          109                  86         116           64
17.399443               102                72          109                  86         116           64
17.490348               103                72          110                  86         117           65
17.581253               103                73          111                  87         117           66
17.672158               103                73          111                  87         117           66
17.763063               103                74          111                  87         118           66
17.853968               104                74          111                  87         118           66
17.944873               104                74          111                  87         118           66
18.035778               104                74          111                  87         118           66
18.126683               104                74          111                  87         118           66
18.217587               105                74          111                  87         119           66
18.308492               105                74          111                  87         119           66
18.399397               105                74          111                  87         119           66
18.490302               105                74          111                  87         119           66
18.581207               105                74          111                  87         119           66
18.672112               105                74          111                  87         119           66
18.763017               105                75          111                  87         119           66
18.853922               105                75          112                  87         119           67
18.944827               105                75          112                  87         119           67
19.035732               105                75          112                  87         119           67
19.126637               105                75          113                  87         119           68
19.217542               105                75          113                  87         119           68
19.308447               105                75          113                  87         119           68
19.399352               105                75          113                  87         119           68
19.490257               105                75          113                  87         119           68
19.581162               105                75          113                  87         119           68
19.672067               105                75          113                  87         119           68
19.762971               106                75          113                  87         120           68
19.853876               106                75          113                  87         120           68
19.944781               106                75          113                  87         120           68
20.035686               106                76          113                  87         120           68
20.126591               106                76          114                  87         120           68
20.217496               106                76          114                  87         120           68
20.308401               106                76          114                  87         120           68
20.399306               106                76          114                  87         120           68
20.490211               106                76          114                  87         120           68
20.581116               106                76          114                  87         120           68
20.672021               106                76          115                  87         120           69
20.762926               106                76          115                  87         120           69
20.853831               106                76          115                  87         120           69
20.944736               106                76          116                  87         120           70
21.035641               106                76          116                  88         120           71
21.126546               106                76          116                  88         120           71
21.217451               106                76          116                  88         120           71
21.308355               106                76          116                  88         120           71
21.399260               106                76          116                  88         120           71
21.490165               106                76          116                  88         120           71
21.581070               106                76          116                  88         120           71
21.671975               106                76          116                  88         120           71
21.762880               106                76          116                  88         120           71
21.853785               106                76          116                  89         120           71
21.944690               106                76          116                  89         120           71
22.035595               107                76          116                  89         121           71
22.126500               107                76          116                  89         121           71
22.217405               107                76          117                  89         121           71
22.308310               107                76          117                  89         121           71
22.399215               107                76          117                  89         121           71
22.490120               107                76          117                  89         121           71
22.581025               107                76          117                  89         121           71
22.671930               107                76          117                  89         121           71
22.762835               107                76          117                  89         121           71
22.853739               107                76          117                  89         121           71
22.944644               107                76          117                  89         121           71
23.035549               107                76          117                  89         121           71
23.126454               107                76          117                  89         121           71
23.217359               107                76          117                  89         121           71
23.308264               107                76          117                  89         121           71
23.399169               107                76          118                  89         121           72
23.490074               107                76          118                  89         121           72
23.580979               107                76          118                  89         121           72
23.671884               107                76          118                  89         121           72
23.762789               107                76          118                  90         121           72
23.853694               107                76          118                  90         121           72
23.944599               107                76          118                  90         121           72
24.035504               107                76          118                  90         121           72
24.126409               107                76          118                  90         121           72
24.217314               107                76          118                  90         121           72
24.308219               107                76          118                  90         121           72
24.399123               107                76          118                  90         121           72
24.490028               107                76          118                  90         121           72
24.580933               107                76          118                  90         121           72
24.671838               107                76          118                  90         121           72
24.762743               107                76          118                  90         121           72
24.853648               107                76          118                  90         121           72
24.944553               107                76          118                  90         121           72
25.035458               107                76          118                  90         121           72
25.126363               107                76          118                  90         121           72
25.217268               107                76          118                  90         121           72
