Relative performance profile for SolverTime
Filter: no fail
              SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
1.000000                  127               160            8                  24         310            3
1.000967                  132               168           13                  27         310            5
1.001935                  137               176           15                  32         310            8
1.002904                  143               185           17                  32         310            9
1.003874                  151               188           19                  35         310           11
1.004845                  161               191           19                  35         310           12
1.005817                  170               198           19                  38         310           12
1.006789                  175               204           19                  39         310           12
1.007763                  179               209           19                  39         310           12
1.008738                  184               211           20                  42         310           13
1.009713                  184               214           20                  42         310           13
1.010690                  188               217           21                  43         310           15
1.011667                  189               218           21                  44         310           15
1.012646                  193               218           21                  47         310           15
1.013625                  196               221           21                  50         310           15
1.014605                  197               223           21                  51         310           15
1.015587                  200               224           21                  52         310           15
1.016569                  200               225           21                  53         310           15
1.017552                  202               225           21                  55         310           15
1.018536                  203               229           21                  56         310           15
1.019521                  203               230           21                  56         310           15
1.020507                  205               231           22                  56         310           15
1.021494                  207               232           22                  57         310           15
1.022482                  208               232           22                  57         310           15
1.023471                  209               232           23                  58         310           15
1.024460                  211               232           24                  58         310           15
1.025451                  212               233           24                  59         310           15
1.026443                  213               236           24                  59         310           15
1.027436                  215               236           24                  59         310           15
1.028429                  217               237           24                  59         310           15
1.029424                  220               239           24                  60         310           15
1.030419                  220               239           24                  61         310           15
1.031416                  221               241           24                  61         310           15
1.032414                  222               242           24                  61         310           15
1.033412                  222               242           24                  62         310           15
1.034411                  222               245           24                  62         310           15
1.035412                  222               247           24                  62         310           15
1.036413                  222               248           24                  62         310           15
1.037415                  223               248           24                  62         310           15
1.038419                  223               249           25                  62         310           16
1.039423                  225               249           25                  62         310           16
1.040428                  225               249           26                  62         310           17
1.041435                  225               254           26                  63         310           17
1.042442                  226               254           26                  63         310           17
1.043450                  227               254           26                  63         310           17
1.044459                  228               254           26                  64         310           17
1.045469                  228               255           26                  64         310           17
1.046480                  228               256           26                  64         310           17
1.047492                  228               256           27                  65         310           18
1.048505                  228               258           27                  67         310           18
1.049519                  229               258           27                  68         310           19
1.050534                  229               258           27                  69         310           19
1.051550                  230               258           27                  69         310           19
1.052567                  230               258           27                  69         310           19
1.053585                  232               258           27                  69         310           19
1.054604                  232               258           27                  69         310           19
1.055624                  232               258           28                  70         310           20
1.056645                  232               260           28                  70         310           20
1.057667                  233               261           28                  70         310           20
1.058690                  234               262           28                  70         310           20
1.059714                  235               262           28                  70         310           20
1.060738                  235               262           28                  70         310           20
1.061764                  235               262           28                  70         310           20
1.062791                  235               262           28                  70         310           20
1.063819                  236               262           29                  71         310           21
1.064848                  236               263           30                  72         310           23
1.065878                  236               264           31                  72         310           24
1.066909                  236               264           32                  73         310           25
1.067940                  236               264           32                  75         310           25
1.068973                  236               265           32                  75         310           25
1.070007                  236               265           32                  76         310           25
1.071042                  236               265           32                  76         310           25
1.072078                  236               265           33                  76         310           26
1.073114                  236               265           33                  76         310           26
1.074152                  236               265           33                  76         310           26
1.075191                  236               266           33                  76         310           26
1.076231                  236               267           33                  76         310           26
1.077272                  236               267           33                  76         310           26
1.078314                  236               267           33                  76         310           26
1.079356                  237               267           33                  76         310           26
1.080400                  238               267           33                  76         310           26
1.081445                  238               267           33                  76         310           26
1.082491                  238               267           33                  76         310           26
1.083538                  238               267           33                  77         310           26
1.084586                  238               267           34                  77         310           27
1.085635                  238               267           34                  77         310           27
1.086685                  238               267           34                  77         310           27
1.087736                  238               267           34                  77         310           27
1.088788                  238               267           35                  77         310           28
1.089841                  238               267           35                  77         310           28
1.090895                  238               267           35                  77         310           28
1.091950                  238               267           36                  77         310           29
