Relative performance profile for SolverTime
Filter: gap <= 10.0% and not failed
            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
1.000000                 69                26            6                  20         121            0
1.000527                 70                26           10                  20         121            0
1.001054                 70                26           12                  20         121            0
1.001581                 73                28           12                  22         121            1
1.002109                 74                28           13                  23         121            1
1.002636                 75                30           14                  23         121            1
1.003164                 76                30           14                  24         121            1
1.003693                 77                31           15                  24         121            1
1.004221                 78                32           15                  24         121            1
1.004750                 81                32           15                  24         121            2
1.005280                 82                33           15                  24         121            2
1.005809                 85                34           15                  26         121            2
1.006339                 85                36           15                  26         121            2
1.006869                 88                37           15                  26         121            2
1.007399                 89                38           15                  26         121            2
1.007930                 90                39           15                  26         121            2
1.008461                 93                41           16                  27         121            2
1.008992                 93                41           17                  28         121            2
1.009523                 93                42           17                  28         121            2
1.010055                 94                45           17                  28         121            2
1.010587                 94                46           17                  28         121            2
1.011119                 94                46           17                  28         121            2
1.011652                 95                47           17                  29         121            2
1.012185                 95                47           18                  31         121            2
1.012718                 96                47           18                  31         121            2
1.013251                 96                48           18                  33         121            2
1.013785                 96                49           18                  34         121            2
1.014319                 97                50           18                  34         121            2
1.014853                 97                50           18                  35         121            2
1.015388                 99                51           18                  35         121            2
1.015923                 99                51           18                  35         121            2
1.016458                 99                51           19                  35         121            2
1.016993                 99                51           19                  36         121            2
1.017529                 99                51           20                  37         121            2
1.018065                 99                53           21                  37         121            2
1.018601                 99                54           22                  37         121            2
1.019137                 99                54           22                  37         121            2
1.019674                 99                54           22                  37         121            2
1.020211                100                54           23                  37         121            2
1.020749                100                54           23                  37         121            2
1.021286                101                54           23                  37         121            2
1.021824                101                54           23                  37         121            2
1.022362                102                54           24                  37         121            2
1.022901                102                54           24                  38         121            2
1.023440                102                54           25                  38         121            2
1.023979                102                54           26                  38         121            2
1.024518                102                54           26                  38         121            2
1.025058                102                54           26                  38         121            2
1.025598                102                54           26                  38         121            2
1.026138                102                56           26                  38         121            2
1.026678                103                56           26                  38         121            2
1.027219                103                56           26                  38         121            2
1.027760                104                56           26                  38         121            2
1.028301                104                56           26                  38         121            2
1.028843                104                56           26                  38         121            2
1.029385                105                56           26                  39         121            2
1.029927                105                56           26                  39         121            2
1.030470                105                56           26                  40         121            2
1.031012                106                56           26                  40         121            2
1.031555                106                56           27                  40         121            2
1.032099                106                56           27                  40         121            2
1.032642                107                56           27                  40         121            2
1.033186                107                56           27                  41         121            2
1.033730                107                56           27                  41         121            2
1.034275                107                57           28                  41         121            2
1.034820                107                57           28                  41         121            2
1.035365                107                58           28                  41         121            2
1.035910                107                59           28                  41         121            2
1.036456                107                59           28                  41         121            2
1.037002                107                59           28                  41         121            2
1.037548                107                59           28                  41         121            2
1.038094                107                59           28                  41         121            2
1.038641                107                59           29                  41         121            3
1.039188                107                59           29                  41         121            3
1.039735                108                59           29                  41         121            3
1.040283                108                59           29                  41         121            3
1.040831                108                59           30                  41         121            4
1.041379                108                60           30                  41         121            4
1.041928                108                60           30                  41         121            4
1.042477                108                60           30                  41         121            4
1.043026                109                60           31                  41         121            4
1.043575                109                60           31                  41         121            4
1.044125                109                60           31                  42         121            4
1.044675                109                60           31                  42         121            4
1.045225                109                60           31                  42         121            4
1.045775                109                60           31                  42         121            4
1.046326                109                60           31                  42         121            4
1.046877                109                60           31                  43         121            4
1.047429                109                60           31                  43         121            4
1.047980                109                60           32                  44         121            5
1.048532                109                60           33                  44         121            5
1.049085                109                60           33                  45         121            6
1.049637                109                60           33                  45         121            6
1.050190                109                60           33                  45         121            6
1.050743                109                60           33                  45         121            6
1.051297                109                60           34                  45         121            6
1.051850                109                60           35                  45         121            6
1.052404                109                60           35                  45         121            6
1.052959                109                60           35                  45         121            6
1.053513                109                60           35                  45         121            6
1.054068                109                60           35                  45         121            6
1.054623                109                60           35                  45         121            6
1.055179                109                60           36                  46         121            7
1.055735                109                60           36                  46         121            7
1.056291                109                60           37                  46         121            7
1.056847                109                61           37                  46         121            7
1.057404                109                61           38                  46         121            7
1.057961                110                62           38                  46         121            7
1.058518                110                62           38                  46         121            7
1.059075                110                62           38                  46         121            7
1.059633                111                62           38                  46         121            7
1.060191                111                62           38                  46         121            7
1.060750                111                62           38                  46         121            7
1.061309                111                62           38                  46         121            7
1.061868                111                62           38                  46         121            7
1.062427                111                62           38                  46         121            7
1.062986                111                62           38                  47         121            7
1.063546                111                62           39                  47         121            8
1.064106                111                62           39                  47         121            8
1.064667                111                62           39                  48         121            9
1.065228                111                62           40                  48         121           10
1.065789                111                62           41                  48         121           11
1.066350                111                62           42                  48         121           12
1.066912                111                62           42                  48         121           12
1.067474                111                62           42                  49         121           12
1.068036                111                62           42                  50         121           12
1.068599                111                63           42                  50         121           12
1.069161                111                63           42                  50         121           12
1.069725                111                63           42                  51         121           12
1.070288                111                63           42                  51         121           12
1.070852                111                63           42                  51         121           12
1.071416                111                63           43                  51         121           13
1.071980                111                63           43                  51         121           13
1.072545                111                63           43                  51         121           13
1.073110                111                63           43                  51         121           13
1.073675                111                63           43                  51         121           13
1.074240                111                63           43                  51         121           13
1.074806                111                63           43                  51         121           13
1.075372                111                63           43                  51         121           13
1.075939                111                63           43                  51         121           13
1.076505                111                63           43                  51         121           13
1.077072                111                63           43                  51         121           13
1.077640                111                63           43                  51         121           13
1.078207                111                63           43                  51         121           13
1.078775                111                63           43                  51         121           13
1.079343                111                63           43                  51         121           13
1.079912                111                63           43                  51         121           13
1.080481                111                63           43                  51         121           13
1.081050                111                63           43                  51         121           13
1.081619                111                63           43                  51         121           13
1.082189                111                63           43                  51         121           13
1.082759                111                63           43                  51         121           13
1.083329                111                63           43                  51         121           13
1.083900                111                63           44                  51         121           14
1.084471                111                63           44                  51         121           14
1.085042                111                63           44                  51         121           14
1.085613                111                63           44                  51         121           14
1.086185                111                63           44                  51         121           14
1.086757                111                63           44                  51         121           14
1.087330                111                63           44                  51         121           14
1.087902                111                63           44                  51         121           14
1.088475                111                63           44                  51         121           14
1.089049                111                63           45                  51         121           15
1.089622                111                63           45                  51         121           15
1.090196                111                63           45                  51         121           15
1.090770                111                63           45                  51         121           15
1.091345                111                63           45                  51         121           15
1.091920                111                63           45                  51         121           15
1.092495                111                63           47                  51         121           17
1.093070                111                63           47                  51         121           17
1.093646                111                63           47                  51         121           17
1.094222                111                63           47                  51         121           17
1.094798                111                63           47                  51         121           17
1.095375                111                63           47                  51         121           17
1.095952                111                63           47                  51         121           17
1.096529                111                63           47                  51         121           17
1.097107                111                63           48                  51         121           18
1.097685                111                63           48                  51         121           18
1.098263                111                63           48                  51         121           18
1.098841                111                63           48                  51         121           18
1.099420                111                63           48                  51         121           18
1.099999                111                63           48                  51         121           18
1.100579                111                63           48                  51         121           18
