Relative performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
             SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
1.000000                  67                47            5                  27         146            0
1.000729                  68                51            5                  27         146            0
1.001459                  69                53            5                  29         146            0
1.002189                  70                53            5                  30         146            0
1.002920                  70                56            7                  30         146            1
1.003652                  71                57            7                  31         146            1
1.004383                  77                58            7                  31         146            2
1.005116                  79                60            7                  31         146            2
1.005849                  83                64            7                  33         146            2
1.006582                  85                66            7                  33         146            2
1.007316                  87                66            7                  33         146            2
1.008051                  88                67            7                  33         146            2
1.008786                  91                69            7                  35         146            2
1.009522                  91                70            7                  35         146            2
1.010258                  92                73            7                  35         146            2
1.010995                  92                73            7                  35         146            2
1.011732                  93                74            7                  37         146            2
1.012470                  94                74            8                  39         146            2
1.013208                  94                75            8                  41         146            2
1.013947                  95                76            8                  42         146            2
1.014686                  96                77            8                  42         146            2
1.015426                  98                78            8                  43         146            2
1.016167                  98                78            8                  43         146            2
1.016908                  98                79            8                  45         146            2
1.017649                  98                79            9                  46         146            2
1.018391                  99                83            9                  47         146            2
1.019134                  99                83            9                  47         146            2
1.019877                  99                83            9                  47         146            2
1.020621                 100                83           10                  47         146            2
1.021365                 101                83           10                  47         146            2
1.022110                 102                83           10                  47         146            2
1.022855                 102                83           10                  48         146            2
1.023601                 103                83           10                  48         146            2
1.024348                 103                83           11                  48         146            2
1.025095                 103                84           11                  49         146            2
1.025842                 103                85           11                  49         146            2
1.026590                 104                86           11                  49         146            2
1.027339                 106                86           11                  49         146            2
1.028088                 106                86           11                  49         146            2
1.028838                 107                86           11                  49         146            2
1.029588                 108                86           11                  50         146            2
1.030339                 108                86           11                  50         146            2
1.031090                 108                86           11                  50         146            2
1.031842                 108                87           12                  50         146            2
1.032595                 110                88           12                  50         146            2
1.033348                 110                88           12                  51         146            2
1.034101                 110                88           12                  51         146            2
1.034855                 110                88           13                  51         146            2
1.035610                 110                89           13                  51         146            2
1.036365                 110                90           14                  51         146            2
1.037121                 110                90           14                  51         146            2
1.037877                 111                90           14                  51         146            2
1.038634                 111                90           15                  51         146            3
1.039392                 111                90           15                  51         146            3
1.040149                 111                90           15                  51         146            3
1.040908                 111                90           16                  51         146            4
1.041667                 111                91           16                  51         146            4
1.042427                 111                91           16                  51         146            4
1.043187                 112                91           16                  51         146            4
1.043948                 112                91           16                  52         146            4
1.044709                 112                91           16                  52         146            4
1.045471                 112                91           16                  52         146            4
1.046233                 112                91           16                  52         146            4
1.046996                 112                91           16                  53         146            4
1.047760                 112                91           17                  53         146            5
1.048524                 112                91           18                  54         146            5
1.049288                 113                91           18                  54         146            5
1.050053                 113                91           18                  55         146            5
1.050819                 113                91           18                  55         146            5
1.051585                 113                91           20                  55         146            5
1.052352                 113                91           20                  55         146            5
1.053120                 113                91           20                  55         146            5
1.053888                 114                91           20                  55         146            5
1.054656                 114                91           20                  55         146            5
1.055425                 114                91           21                  56         146            6
1.056195                 114                91           21                  56         146            6
1.056965                 114                92           22                  56         146            6
1.057736                 114                92           22                  56         146            6
1.058507                 115                93           22                  56         146            6
1.059279                 115                93           22                  56         146            6
1.060052                 116                93           22                  56         146            6
1.060825                 116                93           22                  56         146            6
1.061598                 116                93           22                  56         146            6
1.062372                 116                93           22                  56         146            6
1.063147                 116                93           23                  57         146            7
1.063922                 116                93           23                  57         146            7
1.064698                 116                93           23                  58         146            8
1.065475                 116                93           24                  58         146            9
