Relative performance profile for NumberOfNodes
Filter: gap <= 0.102% and not failed
            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
1.000000                 87                42           91                  44          94           39
1.000485                 87                42           91                  44          94           39
1.000969                 87                42           91                  44          94           39
1.001454                 87                42           91                  44          94           39
1.001940                 87                42           91                  44          94           39
1.002425                 87                42           91                  44          94           39
1.002911                 87                42           91                  44          94           39
1.003397                 87                42           91                  44          94           39
1.003883                 87                42           91                  44          94           39
1.004370                 87                42           91                  44          94           39
1.004856                 87                42           91                  44          94           39
1.005343                 87                42           91                  44          94           39
1.005831                 87                42           91                  44          94           39
1.006318                 87                42           91                  44          94           39
1.006806                 87                42           91                  44          94           39
1.007293                 87                42           91                  44          94           39
1.007782                 87                42           91                  44          94           39
1.008270                 87                42           91                  44          94           39
1.008759                 87                42           91                  44          94           39
1.009247                 87                42           91                  44          94           39
1.009736                 87                42           91                  44          94           39
1.010226                 87                42           91                  44          94           39
1.010715                 87                42           91                  44          94           39
1.011205                 87                42           91                  44          94           39
1.011695                 87                42           91                  44          94           39
1.012185                 87                42           91                  44          94           39
1.012676                 87                42           91                  44          94           39
1.013167                 87                42           91                  44          94           39
1.013658                 87                42           91                  44          94           39
1.014149                 87                42           91                  44          94           39
1.014640                 87                42           91                  44          94           39
1.015132                 87                42           91                  44          94           39
1.015624                 87                42           91                  44          94           39
1.016116                 87                42           91                  44          94           39
1.016608                 87                42           91                  44          94           39
1.017101                 87                42           91                  44          94           39
1.017594                 87                42           91                  44          94           39
1.018087                 87                42           91                  44          94           39
1.018580                 87                42           91                  44          94           39
1.019074                 87                42           91                  44          94           39
1.019568                 87                42           91                  44          94           39
1.020062                 87                42           91                  44          94           39
1.020556                 87                42           91                  44          94           39
1.021051                 87                42           91                  44          94           39
1.021545                 87                42           91                  44          94           39
1.022040                 87                42           91                  44          94           39
1.022536                 87                42           91                  44          94           39
1.023031                 87                42           91                  44          94           39
1.023527                 87                42           91                  44          94           39
1.024023                 87                42           91                  44          94           39
1.024519                 87                42           91                  44          94           39
1.025016                 87                42           91                  44          94           39
1.025512                 87                42           91                  44          94           39
1.026009                 87                42           91                  44          94           39
1.026506                 88                43           91                  45          94           40
1.027004                 88                43           91                  45          94           40
1.027502                 88                43           91                  45          94           40
1.027999                 88                43           91                  45          94           40
1.028498                 88                43           91                  45          94           40
1.028996                 88                43           91                  45          94           40
1.029495                 88                43           91                  45          94           40
1.029994                 88                43           91                  45          94           40
1.030493                 88                43           91                  45          94           40
1.030992                 88                43           91                  45          94           40
1.031492                 88                43           91                  45          94           40
1.031991                 88                43           91                  45          94           40
1.032492                 88                43           91                  45          94           40
1.032992                 88                43           91                  45          94           40
1.033492                 88                43           91                  45          94           40
1.033993                 88                43           91                  45          94           40
1.034494                 88                43           91                  45          94           40
1.034996                 89                44           91                  46          94           41
1.035497                 89                44           91                  46          94           41
1.035999                 89                44           91                  46          94           41
1.036501                 89                44           91                  46          94           41
1.037003                 89                44           91                  46          94           41
1.037506                 89                44           91                  46          94           41
1.038008                 89                44           91                  46          94           41
1.038512                 89                44           91                  46          94           41
1.039015                 89                44           91                  46          94           41
1.039518                 89                44           91                  46          94           41
1.040022                 89                44           91                  46          94           41
1.040526                 89                44           91                  46          94           41
1.041030                 89                44           91                  46          94           41
1.041535                 89                44           91                  46          94           41
1.042039                 89                44           91                  46          94           41
1.042544                 89                44           91                  46          94           41
1.043050                 89                44           91                  46          94           41
1.043555                 89                44           91                  46          94           41
1.044061                 89                44           91                  46          94           41
1.044567                 89                44           91                  46          94           41
1.045073                 89                44           91                  46          94           41
1.045579                 89                44           91                  46          94           41
1.046086                 89                44           91                  46          94           41
1.046593                 89                44           91                  46          94           41
1.047100                 89                44           91                  46          94           41
1.047607                 89                44           91                  46          94           41
1.048115                 89                44           91                  46          94           41
1.048623                 89                44           91                  46          94           41
1.049131                 89                44           91                  46          94           41
1.049639                 89                44           91                  46          94           41
1.050148                 89                44           91                  46          94           41
1.050657                 89                44           91                  46          94           41
1.051166                 89                44           91                  46          94           41
1.051675                 89                44           91                  46          94           41
1.052185                 89                44           91                  46          94           41
1.052695                 89                44           91                  47          94           41
1.053205                 89                44           91                  47          94           41
1.053715                 89                44           91                  47          94           41
1.054226                 89                44           91                  47          94           41
1.054737                 89                44           91                  47          94           41
1.055248                 89                44           91                  47          94           41
1.055759                 89                44           91                  47          94           41
1.056271                 89                44           91                  47          94           41
1.056783                 89                44           91                  47          94           41
1.057295                 89                44           91                  47          94           41
1.057807                 89                44           91                  47          94           41
