                           SHOTcpx1910nrnc SHOTcpx1910noref SHOTcpx1910 SHOTcpx1910rcnoref virt. worst
4stufen                             12.00-            1.00=      12.00-              1.00=      12.00-
autocorr_bern20-05                  14.29-            1.00=      14.29-              1.00=      14.29-
autocorr_bern20-10                 281.00-            1.00=     281.00-              1.00=     281.00-
autocorr_bern20-15              124401.00-            1.00=  124401.00-              1.00=  124401.00-
autocorr_bern25-06                 715.00-            1.00=     715.00-              1.00=     715.00-
autocorr_bern25-13                1001.00-            1.00=    1001.00-              1.00=    1001.00-
autocorr_bern30-04                  28.70-            1.00=      28.70-              1.00=      28.70-
autocorr_bern30-08                6295.49-            1.00=    6295.49-              1.00=    6295.49-
autocorr_bern35-04                  13.17-            1.00=      13.17-              1.00=      13.17-
autocorr_bern40-05                3655.40-            1.00=    3655.40-              1.00=    3655.40-
batch0812_nc                         1.00=            1.00=       1.00=              1.00=       1.00=
batch_nc                             1.00=            1.00=       1.00=              1.00=       1.00=
bchoco05                             1.00=            1.00=       1.00=              1.00=       1.00=
bchoco06                             1.00=            1.00=       1.00=              1.00=       1.00=
bchoco07                             1.00=            1.00=       1.00=              1.00=       1.00=
blend029                             1.00=            1.00=       1.00=              1.00=       1.00=
blend146                             1.00=            1.00=      14.14-             14.14-      14.14-
blend480                             1.00=            1.00=       8.00-              8.00-       8.00-
blend531                             1.00=            1.00=       4.08-              4.08-       4.08-
blend721                             1.00=            1.00=       1.36-              1.36-       1.36-
blend852                             1.00=            1.00=      13.17-             13.17-      13.17-
carton7                              1.00=            1.00=       1.00=              1.00=       1.00=
casctanks                            1.00=            1.00=       4.00-              1.00=       4.00-
cecil_13                             1.00=            1.00=       2.21-              1.09=       2.21-
chp_shorttermplan1a                  1.00=            1.03=       1.01=              1.03=       1.03=
chp_shorttermplan1b                  1.01=            1.08=       1.00=              1.09=       1.09=
chp_shorttermplan2a                  1.00=            1.01=       1.00=              1.01=       1.01=
chp_shorttermplan2b              61482.00-            1.00=   66225.00-          11273.00-   66225.00-
