                            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
autocorr_bern20-03                 0.000000                 -     0.000000                   -    0.000000            -
autocorr_bern20-05                 0.000000                 -     0.000000                   -    0.000000            -
autocorr_bern20-10                 0.000000                 -     0.000000                   -    0.000000            -
autocorr_bern20-15                 0.000000                 -     0.000000                   -    0.000000            -
autocorr_bern25-03                 0.000000                 -     0.000000                   -    0.000000            -
autocorr_bern25-06                 0.000000                 -     0.000000                   -    0.000000            -
autocorr_bern30-04                 0.000000                 -     0.000000                   -    0.000000            -
autocorr_bern35-04                 0.000000                 -     0.000000                   -    0.000000            -
bchoco05                           0.050535          0.050535     0.050535            0.050535    0.050535     0.050535
bchoco06                           0.044624          0.044624     0.044603            0.044603    0.044603     0.044624
bchoco07                           0.044537          0.044537     0.044537            0.044537    0.044537     0.044537
crudeoil_lee1_05                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee1_06                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee1_07                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee1_08                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee1_09                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee1_10                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee2_05                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee2_06                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee2_07                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee2_08                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee2_09                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee2_10                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee3_05                   0.022833          0.022833     0.022833            0.022833    0.022833     0.022833
crudeoil_lee3_06                   0.022833          0.022833     0.022833            0.022833    0.022833     0.022833
crudeoil_lee3_07                   0.022833          0.022833     0.022833            0.022833    0.022833     0.022833
crudeoil_lee3_08                   0.023419          0.023419     0.022833            0.023419    0.022833     0.023419
crudeoil_lee3_09                   0.022833          0.022833     0.022833            0.022833    0.022833     0.022833
crudeoil_lee3_10                   0.026217          0.026217     0.023419            0.026217    0.023419     0.026217
crudeoil_lee4_05                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee4_06                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee4_07                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee4_08                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee4_09                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_lee4_10                   0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
crudeoil_li06                             -                 -     0.090343            0.090343    0.090343            -
crudeoil_li11                             -                 -     0.020840            0.026561    0.020840            -
