Absolute performance profile for Gap
Filter: no fail
          SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
0.000000               90                45           92                  48          94           43
0.000200               90                45           92                  48          94           43
0.000400               90                45           92                  48          94           43
0.000600               90                45           92                  48          94           43
0.000800               90                45           92                  48          94           43
0.001000               90                45           92                  48          94           43
0.001200               90                45           92                  48          94           43
0.001400               90                45           92                  48          94           43
0.001600               90                45           92                  48          94           43
0.001800               90                45           92                  48          94           43
0.002000               90                45           92                  48          94           43
0.002200               90                45           92                  48          94           43
0.002400               90                45           92                  48          94           43
0.002600               90                45           92                  48          94           43
0.002800               90                45           92                  48          94           43
0.003000               90                45           92                  48          94           43
0.003200               90                45           92                  48          94           43
0.003400               90                45           92                  48          94           43
0.003600               90                45           92                  48          94           43
0.003800               90                45           92                  48          94           43
0.004000               90                45           92                  48          94           43
0.004200               90                45           92                  48          94           43
0.004400               90                45           92                  48          94           43
0.004600               90                45           92                  48          94           43
0.004800               90                45           92                  48          94           43
0.005001               90                45           92                  48          94           43
0.005201               90                45           92                  48          94           43
0.005401               90                45           92                  48          94           43
0.005601               90                45           92                  48          94           43
0.005801               90                45           92                  48          94           43
0.006001               90                45           92                  48          94           43
0.006201               90                45           92                  48          94           43
0.006401               90                45           92                  48          94           43
0.006601               90                45           92                  48          94           43
0.006801               90                45           92                  48          94           43
0.007001               90                45           92                  48          94           43
0.007201               90                45           92                  48          94           43
0.007401               90                45           92                  48          94           43
0.007601               90                45           92                  48          94           43
0.007801               90                45           92                  48          94           43
0.008001               90                45           92                  48          94           43
0.008201               90                45           92                  48          94           43
0.008401               90                45           92                  48          94           43
0.008601               90                45           92                  48          94           43
0.008801               90                45           92                  48          94           43
0.009001               90                45           92                  48          94           43
0.009201               90                45           92                  48          94           43
0.009401               90                45           92                  48          94           43
0.009601               90                45           92                  48          94           43
0.009801               90                45           92                  48          94           43
0.010001               90                45           92                  48          94           43
0.010201               90                45           92                  48          94           43
0.010401               90                45           93                  48          95           43
0.010601               91                46           93                  49          95           44
0.010801               92                47           94                  50          96           45
0.011001               92                47           94                  50          96           45
0.011201               92                47           94                  50          96           45
0.011401               92                47           94                  50          96           45
0.011601               92                47           94                  50          96           45
0.011801               92                47           94                  50          96           45
0.012001               92                47           94                  50          96           45
0.012201               92                47           94                  50          96           45
0.012401               92                47           94                  50          96           45
0.012601               92                47           94                  50          96           45
0.012801               92                47           94                  50          96           45
0.013001               92                47           94                  50          96           45
0.013201               92                47           94                  50          96           45
0.013401               92                47           94                  50          96           45
0.013601               92                47           94                  50          96           45
0.013801               92                47           94                  50          96           45
0.014001               92                47           94                  50          96           45
0.014201               92                47           94                  50          96           45
0.014401               92                47           94                  50          96           45
0.014601               92                47           94                  50          96           45
0.014801               92                47           94                  50          96           45
0.015002               92                47           94                  50          96           45
0.015202               92                47           94                  50          96           45
0.015402               92                47           94                  50          96           45
